Firma;Register_ID;Gruppe;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web;Aufloesung
Bechtle GmbH;B1204_HRB2766;BECHTLE;1124;12;2026-06-29;10249351774.0;734975.0;20;Neckarsulm;74172;patrick.piniek@bechtle.com;http://www.bechtle.com;handelsregister_exakt
SVA System Vertrieb Alexander GmbH;M1906_HRB10315;SVA;718;11;2026-06-29;971002850.0;589800.0;15;Wiesbaden;65205;ausschreibung@sva.de;http://www.sva.de/;handelsregister_exakt
Computacenter München Zweigniederlassung der Computacenter AG & Co. oHG;D2601V_HRA72152;COMPUTACENTER;553;11;2026-06-16;2715716179.0;2220000.0;20;Kerpen;50170;MB.KfW-KapIT@computacenter.com;https://www.computacenter.com/de-de;handelsregister_exakt
CANCOM SE;D2601V_HRB203845;CANCOM;516;11;2026-06-16;5796562255.0;633061.0;4;Hamburg;22301;SPB.CCG.BU-NORD.Ausschreibung@cancom.de;http://www.cancom.de;handelsregister_exakt
Telekom Deutschland GmbH;R3201_HRB5919;TELEKOM;436;11;2026-06-25;3740017082.0;3635251.0;2;Bonn;53227;e.delfino@telekom.de;https://www.telekom.de/start?vo=Y0109&wt_mc=sb_sososoxx_14_ko-gat_377519096_26446146296_807665432865_&wt_cc7=e_telekom&gclsrc=aw.ds&gad_source=1&gad_campaignid=377519096&gclid=EAIaIQobChMIqrjxpvb8lAMVuZJQBh0DUSXxEAAYASAAEgIoivD_BwE;handelsregister_exakt
T-Systems International GmbH;M1201_HRB55933;T-SYSTEMS;419;12;2026-06-19;7669538238.0;2666159.0;10;Berlin;10177;ausschreibungen_landberlin@telekom.de;https://www.t-systems.com;handelsregister_exakt
Deutsche Post InHaus Services GmbH;R3201_HRB6801;DEUTSCHEPOST;373;11;2026-06-02;1217331282.0;635295.0;0;Bonn;53113;DPIHS.Ausschreibung.Management@deutschepost.de;https://www.deutschepost.de/;handelsregister_exakt
Fujitsu Technology Solutions GmbH;D2601V_HRB113308;FUJITSU;356;11;2026-04-24;1142345675.0;860418.0;4;DIEGEM;1831;eupublic@publicissapient.com;http://ts.fujitsu.com;handelsregister_exakt
Deutsche Post AG;R3201_HRB6792;DEUTSCHEPOST;335;11;2026-06-22;1560417178.0;1228493.0;8;Bonn;53113;e-vergabe.ausschreibungen@deutschepost.de;http://www.deutschepost.de;handelsregister_exakt
SoftwareONE Deutschland GmbH;D2601V_HRB170008;SOFTWAREONE;323;11;2026-06-22;1306379653.0;701980.0;1;Leipzig;04329;ausschreibung@softwareone.com;https://www.softwareone.com/;handelsregister_exakt
