Firma;Niederlassungen;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web
VISUNEXTGROUP;8;50;7;2026-06-23;15087171.0;274562.0;1;Emsdetten;48282;tender@visunextgroup.com;http://www.visunext.de
GLASFASERPLUS;8;50;4;2026-06-19;458342992.0;3656023.0;0;Köln;51063;christian.beiderbeck@telekom.de;https://glasfaserplus.de/
DELTACOMPUTER;1;50;10;2026-06-04;17774475.0;306688.0;0;Reinbek;21465;sales@delta.de;http://delta.de
TRANS4MATION;2;50;8;2025-12-19;86440117.0;1546282.0;4;Dresden;01309;bidmanagement@trans4mation.de;
OPENTEXT;3;49;10;2026-06-19;8803084.0;509642.0;0;Grasbrunn;85630;thomasbb@opentext.com;https://hzd.hessen.de
NETCOM-BW;1;49;11;2026-04-10;1004053194.0;3663776.0;0;Ellwangen;73479;breitband@netcom-bw.de;http://netcom-bw.de
VIRTUAL7;1;49;10;2026-02-24;175822634.0;3729810.0;3;Karlsruhe;76227;sales@virtual7.de;http://virtual7.de
Marketing Service Magdeburg KG;1;48;11;2026-05-19;99180739.0;583111.0;0;Magdeburg;39104;michael.dauksch@biberpost.de;
Swiss IT Security Deutschland GmbH;3;48;7;2026-02-27;953483068.0;12559960.0;33;Wiesbaden;65187;ausschreibungen@sits-d.de;
D-FINE;1;47;10;2026-06-23;6292859935.0;7000000.0;2;Frankfurt am Main;60313;tenders@d-fine.de;https://www.d-fine.com/
RAIDMEDIA;3;47;11;2026-06-22;14363222.0;271430.0;0;Thalheim;09380;vertrieb@raidmedia.com;https://www.raidmedia.com
ACSGROUP;6;47;6;2026-05-18;13211745.0;249473.0;0;Ottobrunn;85521;ausschreibung@acsgroup.de;http://www.acsgroup.de
BFE;1;47;11;2026-05-07;24850805.0;541260.0;0;Mainz;55124;Eingang_Proab@bfe.tv;http://bfe.tv
ARRIVA-SERVICE;1;47;10;2026-03-23;63230640.0;931275.0;0;Singen;78224;Ausschreibung@arriva-service.de;
