Firma;Niederlassungen;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web
BECHTLE;83;1632;12;2026-06-29;13027435483.0;654745.0;33;Neckarsulm;74172;patrick.piniek@bechtle.com;http://www.bechtle.com
SVA;8;845;11;2026-06-29;1409377051.0;578731.0;17;Wiesbaden;65205;ausschreibung@sva.de;http://www.sva.de/
DEUTSCHEPOST;13;704;11;2026-06-22;2867964560.0;982712.0;8;Bonn;53113;e-vergabe.ausschreibungen@deutschepost.de;http://www.deutschepost.de
TELEKOM;50;701;11;2026-06-25;5137919735.0;2653107.0;8;Bonn;53227;e.delfino@telekom.de;https://www.telekom.de/start?vo=Y0109&wt_mc=sb_sososoxx_14_ko-gat_377519096_26446146296_807665432865_&wt_cc7=e_telekom&gclsrc=aw.ds&gad_source=1&gad_campaignid=377519096&gclid=EAIaIQobChMIqrjxpvb8lAMVuZJQBh0DUSXxEAAYASAAEgIoivD_BwE
CANCOM;21;659;11;2026-06-16;7818685940.0;769710.0;10;Hamburg;22301;SPB.CCG.BU-NORD.Ausschreibung@cancom.de;http://www.cancom.de
COMPUTACENTER;4;585;11;2026-06-16;2756451892.0;2240000.0;21;Kerpen;50170;MB.KfW-KapIT@computacenter.com;https://www.computacenter.com/de-de
T-SYSTEMS;17;480;12;2026-06-19;8240717860.0;2157000.0;10;Berlin;10177;ausschreibungen_landberlin@telekom.de;https://www.t-systems.com
FUJITSU;13;448;11;2026-06-19;1185090992.0;768254.0;6;München;80807;Team.nds@ts.fujitsu.com;https://eu.fsastech.com/de/
SOFTWAREONE;6;363;11;2026-06-22;8306586638.0;974489.0;1;Leipzig;04329;ausschreibung@softwareone.com;https://www.softwareone.com/
SAP;6;329;12;2026-06-09;610183509.0;942373.0;3;Walldorf;69190;info.germany@sap.com;https://www.sap.com/
ADESSO;6;302;11;2026-06-17;1075125874.0;1286341.0;27;Dortmund;44269;marcel.penstorf@sec.adesso-group.com;https://www.adesso.de
ACP;20;297;11;2026-06-18;141203152.0;438497.0;4;Würzburg;97076;public.wue@acp.de;http://www.acp.de
RICOH;1;271;11;2026-06-08;425971773.0;459114.0;1;Hannover;30179;tender.procedure@service.ricoh.de;https://www.ricoh.de
DEDALUS;27;262;7;2026-04-16;45318305.0;462628.0;5;Bonn;53227;ausschreibungen@dedalus.com;https://www.dedalus.com/dach/de/
IBM;2;217;11;2026-06-26;48798870805.0;412750000.0;3;Ehningen;71139;maxion@de.ibm.com;https://www.ibm.com/de-de
HAYS;3;215;11;2026-05-11;812034743.0;1508220.0;28;Mannheim;68163;Ausschreibungsmanagement@hays.de;http://www.hays.de
MATERNA;4;215;11;2026-05-20;634036215.0;1412268.0;3;Dortmund;44263;bidman@materna.group;http://www.materna.de
CRAYON;5;208;10;2026-04-02;2322612346.0;552801.0;0;Unterhaching;82008;info@crayon.de;https://www.crayon.com/de/
THINK-ABOUT;1;208;10;2026-06-23;481171734.0;403865.0;9;Münster;48155;tendermanagement@think-about.it;http://www.think-about.it
VODAFONE;4;190;11;2026-06-08;1433460998.0;1430000.0;2;Düsseldorf;40549;e.vergabe@vodafone.com;http://vodafone.com
MSG;6;184;10;2026-05-26;1527409866.0;1938000.0;14;Frankfurt am Main;60549;kfw@msg.group;https://www.msg.group/de
ITMEDIACONSULT;4;180;11;2026-05-19;238390596.0;371395.0;1;Züsch;54422;vertrieb@itmediaconsult.de;https://itmediaconsult.de/
CONET;6;179;11;2026-06-04;555363974.0;1848000.0;4;Bonn;53113;bidmanagement@conet.de;https://www.conet.de/de/
CONTROLWARE;12;177;11;2026-05-18;1008756754.0;2195000.0;3;Dietzenbach;63128;info-due@controlware.de;http://www.controlware.de
COMPAREX;4;172;10;2025-01-23;508601033.0;605997.0;1;Leipzig;04329;Ausschreibungsmanagement@comparex.de;
TRIUMPH-ADLER;5;165;11;2026-03-24;138206430.0;308895.0;0;Nürnberg;90449;Ausschreibung@triumph-adler.net;http://triumph-adler.net
MICROSOFT;4;158;11;2026-06-04;122757357.0;793782.0;0;München;80807;info@microsoft.com;www.microsoft.com
ATOS;4;155;11;2026-05-19;1075841800.0;2728000.0;8;München;81739;de-info@atos.net;
CGI;11;151;11;2026-06-15;1259531256.0;9186017.0;4;Berlin;10117;matthias.meyer@cgi.com;http://www.cgi.com
LYRECO;3;150;11;2026-06-02;106309073.0;307636.0;3;Barsinghausen;30890;DE.SFS.BidandTender@lyreco.com;https://www.lyreco.com
CHG-MERIDIAN;1;149;11;2026-04-30;393509946.0;429860.0;7;Weingarten;88250;ausschreibungchg@chg-meridian.com;http://www.chg-meridian.com
Gesellschaft für digitale Bildung mbH;1;149;8;2025-11-17;76688299.0;357973.0;8;Hamburg;22763;ausschreibung@gfdb.de;https://www.gfdb.de
SOPRASTERIA;3;148;11;2026-05-19;944794139.0;4013000.0;7;Bruxelles;1050;BidOffice-PS@soprasteria.com;https://www.soprasteria.de/
PROFI-AG;4;147;11;2026-06-16;195270965.0;307644.0;3;Darmstadt;64293;profi.public@profi-ag.de;http://www.profi-ag.de
