monat,bronze_notices,ted_api_notices,delta,delta_pct,archiv_lesbar,geprueft
2016-01,4743,0,4743,,True,Archiv komplett gelesen + TED-API
2016-02,4801,0,4801,,True,Archiv komplett gelesen + TED-API
2016-03,6038,0,6038,,True,Archiv komplett gelesen + TED-API
2016-04,6267,0,6267,,True,Archiv komplett gelesen + TED-API
2016-05,4736,0,4736,,True,Archiv komplett gelesen + TED-API
2016-06,5400,0,5400,,True,Archiv komplett gelesen + TED-API
2016-07,6919,3670,3249,88.529,True,Archiv komplett gelesen + TED-API
2016-08,6264,6264,0,0.000,True,Archiv komplett gelesen + TED-API
2016-09,5583,5583,0,0.000,True,Archiv komplett gelesen + TED-API
2016-10,6159,6159,0,0.000,True,Archiv komplett gelesen + TED-API
2016-11,5863,5863,0,0.000,True,Archiv komplett gelesen + TED-API
2016-12,7377,7377,0,0.000,True,Archiv komplett gelesen + TED-API
2017-01,5024,5024,0,0.000,True,Archiv komplett gelesen + TED-API
2017-02,6143,6143,0,0.000,True,Archiv komplett gelesen + TED-API
2017-03,7200,7200,0,0.000,True,Archiv komplett gelesen + TED-API
2017-04,6780,6780,0,0.000,True,Archiv komplett gelesen + TED-API
2017-05,6540,6540,0,0.000,True,Archiv komplett gelesen + TED-API
2017-06,6752,6752,0,0.000,True,Archiv komplett gelesen + TED-API
2017-07,7807,7807,0,0.000,True,Archiv komplett gelesen + TED-API
2017-08,7531,7531,0,0.000,True,Archiv komplett gelesen + TED-API
2017-09,7105,7105,0,0.000,True,Archiv komplett gelesen + TED-API
2017-10,7183,7183,0,0.000,True,Archiv komplett gelesen + TED-API
2017-11,6709,6709,0,0.000,True,Archiv komplett gelesen + TED-API
2017-12,8060,8060,0,0.000,True,Archiv komplett gelesen + TED-API
2018-01,6473,6473,0,0.000,True,Archiv komplett gelesen + TED-API
2018-02,7082,7082,0,0.000,True,Archiv komplett gelesen + TED-API
2018-03,8308,8308,0,0.000,True,Archiv komplett gelesen + TED-API
2018-04,7122,7122,0,0.000,True,Archiv komplett gelesen + TED-API
2018-05,7485,7485,0,0.000,True,Archiv komplett gelesen + TED-API
2018-06,7854,7854,0,0.000,True,Archiv komplett gelesen + TED-API
2018-07,8145,8145,0,0.000,True,Archiv komplett gelesen + TED-API
2018-08,8589,8589,0,0.000,True,Archiv komplett gelesen + TED-API
2018-09,7533,7533,0,0.000,True,Archiv komplett gelesen + TED-API
2018-10,8194,8194,0,0.000,True,Archiv komplett gelesen + TED-API
2018-11,7675,7675,0,0.000,True,Archiv komplett gelesen + TED-API
2018-12,8520,8520,0,0.000,True,Archiv komplett gelesen + TED-API
2019-01,7748,7748,0,0.000,True,Archiv komplett gelesen + TED-API
2019-02,7993,7993,0,0.000,True,Archiv komplett gelesen + TED-API
