notices,fragmente,beispiel_varianten
15691,14,Landeshauptstadt Muenchen || Landeshauptstadt München
11752,4,"Landesstraßenbaubehörde Sachsen-Anhalt Regionalbereich West || Landesstraßenbaubehörde Sachsen-Anhalt, Regionalbereich West"
7858,3,"Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement"
7335,3,"Bundesamt für Ausruestung, Informationstechnik und Nutzung der Bundeswehr (BAAINBw) || Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr (BAAINBw) || Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr BAAINBw)"
6441,5,Fraunhofer-Gesellschaft zur Foerderung der Angewandten Forschung E. V. || Fraunhofer-Gesellschaft zur Förderung der Angewandten Forschung e. V. || Fraunhofer-Gesellschaft zur Förderung der Angewandten Forschung e.V. || Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.
6141,59,Bundesagentur Fuer Arbeit (ba) || Bundesagentur für Arbeit (BA) || Bundesagentur für Arbeit (ba)
6116,3,SBH | Schulbau Hamburg
5970,10,Bundesanstalt Fuer Immobilienaufgaben || Bundesanstalt für Immobilienaufgaben
5757,28,Staatliches Bauamt Muenchen 1 || Staatliches Bauamt Muenchen1 || Staatliches Bauamt Muenchen2 || Staatliches Bauamt München || Staatliches Bauamt München 1 || Staatliches Bauamt München 2
5536,3,2018 Berliner Wasserbetriebe || Berliner Wasserbetriebe
5425,3,"Landesbetrieb Vermoegen und Bau Baden-Wuerttemberg, Amt Konstanz || Landesbetrieb Vermögen und Bau Baden-Württemberg, Amt Konstanz"
4874,4,"Stadt Koeln || Stadt Koeln, 27 / || Stadt Köln"
4549,21,Hessische Zentrale Fuer Datenverarbeitung || Hessische Zentrale für Datenverarbeitung
4286,3,Fraunhofer-Gesellschaft - Einkauf B12
4124,16,"Landeshauptstadt Muenchen, Baureferat || Landeshauptstadt München Baureferat || Landeshauptstadt München, Baureferat"
4057,4,Deutsches Zentrum Fuer Luft- und Raumfahrt e.V. || Deutsches Zentrum für Luft- Raumfahrt e. V. || Deutsches Zentrum für Luft- und Raumfahrt e.V.
3697,5,DAK-Gesundheit
3683,3,Techniker Krankenkasse
3357,3,DEGES Deutsche Einheit Fernstraßenplanungs- und -bau GmbH || Deges Deutsche Einheit Fernstrassenplanungs- und -Bau GmbH || Deges Deutsche Einheit Fernstraßenplanungs- und -Bau-GmbH
3159,37,Bundesagentur Fuer Arbeit || Bundesagentur für Arbeit
2879,6,Charite Universitaetsmedizin Berlin || Charite Universitätsmedizin Berlin || Charité - Universitätsmedizin Berlin
2677,4,Staatliches Bauamt Wuerzburg || Staatliches Bauamt Würzburg
2675,10,Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik (AdöR) || Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik AdöR
2625,13,Generalzolldirektion Zentrale Beschaffungsstelle der Bundesfinanzverwaltung
2616,4,AOK Bayern - Die Gesundheitskasse || AOK Bayern – Die Gesundheitskasse || Aok Bayern - die Gesundheitskasse
2584,5,"Niedersaechsische Landesbehoerde Fuer Strassenbau und Verkehr, Geschaeftsbereich Wolfenbuettel || Niedersächsische Landesbehörde für Straßenbau und Verkehr - Geschäftsbereich Wolfenbüttel || Niedersächsische Landesbehörde für Straßenbau und Verkehr Geschäftsbereich Wolfenbüttel || Niedersächsische Landesbehörde für Straßenbau und Verkehr, Geschäftsbereich Wolfenbüttel"
2548,14,Landeshauptstadt Stuttgart || Landeshauptstadt Stuttgart -
2547,4,Bundesamt Fuer Bauwesen und Raumordnung || Bundesamt für Bauwesen und Raumordnung
2485,10,"Referat 4 der Stadt Augsburg || Referat 6 der Stadt Augsburg || Stadt Augsburg || Stadt Augsburg Referat 4 || Stadt Augsburg, Referat 4 || Stadt Augsburg, Referat 5"
2429,9,"Deutsche Bundesbank, Beschaffungszentrum || Deutsche Bundesbank, Beschaffungszentrum 410"
2423,3,"Stadt Nuernberg, Hochbauamt || Stadt Nürnberg Hochbauamt || Stadt-Nürnberg, Hochbauamt"
2367,7,"Vermoegen und Bau Baden-Wuerttemberg, Amt Tuebingen || Vermögen und Bau Baden-Württemberg Amt Tübingen || Vermögen und Bau Baden-Württemberg, Amt Tübingen"
2258,7,Beschaffungsamt des BMI || Beschaffungsamt des Bmi
2119,9,Staatliche Baumanagement Niedersachsen
2065,3,"Landeshauptstadt Hannover - Fachbereich Planen und Stadtentwicklung || Landeshauptstadt Hannover — Fachbereich Planen und Stadtentwicklung || Landeshauptstadt Hannover, Fachbereich Planen und Stadtentwicklung"
1976,4,AOK PLUS - Die Gesundheitskasse für Sachsen und Thüringen || AOK PLUS 0 Die Gesundheitskasse für Sachsen und Thüringen || AOK PLUS – Gesundheitskasse für Sachsen und Thüringen || Aok Plus - die Gesundheitskasse Fuer Sachsen und Thueringen
1972,10,"Beschaffungsamt des Bundesministeriums des Innern Referat B 1 || Beschaffungsamt des Bundesministeriums des Innern, B 4.14 || Beschaffungsamt des Bundesministeriums des Innern, B 5.50 || Beschaffungsamt des Bundesministeriums des Innern, B2.42 || Beschaffungsamt des Bundesministeriums des Innern, B4.12-4825/05 || Beschaffungsamt des Bundesministeriums des Innern, B4.14"
1891,9,"Land Schleswig-Holstein End || Land Schleswig-Holstein end || Land Schleswig-Holstein, End"
1826,4,IKK classic || Ikk Classic
1823,3,Deutsche Rentenversicherung Knappschaft-Bahn-See
1800,3,Finanzbehoerde Hamburg || Finanzbehörde Hamburg
1763,3,Vivantes - Netzwerk für Gesundheit GmbH || Vivantes Netzwerk Fuer Gesundheit GmbH
1744,3,Bayer. Landesamt Fuer Steuern || Bayer. Landesamt für Steuern
1740,5,"Polizeiverwaltungsamt Logistikzentrum || Polizeiverwaltungsamt Referat 32 Logistikzentrum || Polizeiverwaltungsamt, Logistikzentrum"
1680,11,Emschergenossenschaft
1670,3,Technische Universitaet Dresden || Technische Universität Dresden
1664,3,Universitaetsklinikum Muenster || Universitätsklinikum Münster
1570,22,Senatsverwaltung für Stadtentwicklung und Umwelt
