Code;Art;Kriterium;Hauptgruppe;Gruppe;Gewichtung;Gewicht Gruppe;Gewicht Hauptgruppe;Prozent
A.1.1.1;Ausschluss;Eine Internetbasierte Bestellabwicklung (Webshop) ist verfügbar;1. Service;1.1 Web-Shop;;;;
A.1.1.2;Ausschluss;Die Zugriffe auf den Web-Shop erfolgen SSL-verschlüsselt;1. Service;1.1 Web-Shop;;;;
A.1.1.3;Ausschluss;Der Webshop kann über das Open Catalog Interface (OCI) an das E-Procurementsystem der hessischen Hochschulen (Wallmedien WPS/SAP SRM) für den direkten Zugriff (Punch-out) gemäß Anlage 6 angebunden werden.;1. Service;1.1 Web-Shop;;;;
B.1.1.4;Bewertung;Das Warenangebot kann in einer nach BMECat 1.2 formatierten XML-Datei inkl. eCl@ss 5.1.4 übermittelt und min. täglich aktualisiert werden.;1. Service;1.1 Web-Shop;50,0;;;
A.1.1.5;Ausschluss;Der Web-Shop ist ausschließlich bestückt mit den vereinbarten Produkten dieses Vertrages;1. Service;1.1 Web-Shop;;;;
A.1.1.6;Ausschluss;Hinterlegung von Systemen mit von der Hochschule festgelegten Standardkonfigurationen im Web-Shop;1. Service;1.1 Web-Shop;;;;
A.1.1.7;Ausschluss;Änderung der Systemkonfiguration durch den Besteller durch Auswahl vereinbarter, alternativer Komponenten (z.B. andere CPU) oder zusätzlicher Komponenten (z.B. alternative SSD/Festplatte);1. Service;1.1 Web-Shop;;;;
A.1.1.8;Ausschluss;Alle Systeme und alternative oder zusätzliche Komponenten müssen mit dem vereinbarten, bereits rabattierten Nettopreis ausgezeichnet sein;1. Service;1.1 Web-Shop;;;;
A.1.1.9;Ausschluss;Reporting gegenüber der bestellenden Hochschule über die von ihr erteilten Aufträge gegliedert nach Systemgruppen (Desktop Computer, Notebooks, Monitore), Form des Reportings online (Web-Oberfläche) oder per Zusendung halbjährlicher Reports;1. Service;1.1 Web-Shop;;;;
A.1.2.1;Ausschluss;Anlieferung Frei Verwendungsstelle;1. Service;1.2 Lieferung;;;;
A.1.2.2;Ausschluss;Lieferstatusverfolgung über ein Hersteller- oder Partner-Webportal, über das der gesamte Verlauf eines Einzelauftrags vom Bestelleingang bis zur Auslieferung am Verwendungsort des Auftraggebers abgebildet ist und in dem sämtliche Informationen stets aktuell bereitgestellt werden.;1. Service;1.2 Lieferung;;;;
A.1.2.3;Ausschluss;Lieferzeit: innerhalb von 10 Werktagen nach Eingang der Einzelbestellung;1. Service;1.2 Lieferung;;;;
A.1.2.4;Ausschluss;Optional: Direktlieferung zum Arbeitsplatz: Der Gerätehersteller liefert PCs, Notebooks, Monitore und Dockingstations direkt zum individuellen Arbeitsplatz, bis zur Bürotür (nicht nur zur Empfangsstelle), des Nutzers in der Hochschule .;1. Service;1.2 Lieferung;;;;
A.1.3.1;Ausschluss;Sachmängelhaftung gemäß EVB-IT Kauf;1. Service;1.3 Systemservice;;;;
A.1.3.2;Ausschluss;Hardware-Instandhaltungsservice für 36 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.3;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 12 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.4;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 24 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.5;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 48 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.6;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 60 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
B.1.3.7;Bewertung;Qualität der Ersatzteile für den jeweiligen Servicezeitraum;1. Service;1.3 Systemservice;100,0;;;
A.1.3.8;Ausschluss;Alternativ: Ersatzteillieferung ohne Austausch durch einen Servicetechniker;1. Service;1.3 Systemservice;;;;
A.1.3.9;Ausschluss;Vor-Ort-Service für A.1.3.2 - A.1.3.6 gemäß Rahmenvertrag Ziffer 5.4;1. Service;1.3 Systemservice;;;;
A.1.3.10;Ausschluss;Alternativ zu A.1.3.9:  Entfall des Vor-Ort-Service, statt dessen Reparaturservice gemäß Rahmenvertrag Ziffer 5.5 (Abhol- und Reparaturservice oder Bring-In Service).;1. Service;1.3 Systemservice;;;;
A.1.3.11;Ausschluss;Störungsannahme per Telefon?;1. Service;1.3 Systemservice;;;;
A.1.3.12;Ausschluss;Hotline deutschsprachig?;1. Service;1.3 Systemservice;;;;
A.1.3.13;Ausschluss;Kosten für die Hotline nicht mehr als 0,14 Euro pro Minute aus dem deutschen Festnetz;1. Service;1.3 Systemservice;;;;
