Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;psch;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
20;Baustelle von allen Geräten, Anlagen, Einrichtungen und dgl. räumen und entsorgen. Benutzte Flächen und Wege;1,0;psch;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
30;Schutzabdeckung für waagerechte Flächen;40,0;m2;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
40;Schutzvorrichtung als Bekleidung/Belag für Bodenflächen, aus Vlies, Masse ca.250 g/m2 und Klebeband, herstellen, vorhalten für Bauzeit  AN, anschl. rückstandslos beseitigen und entsorgen, Vergütung Entsorgung übernimmt AN,;30,0;m2;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
10;Vorhandenes Rauchschutztürelement aus Aluminiumprofilen mit verglastem Türflügel, feststehendem Seitenteil und Oberlicht einschließlich Eckelement sowie sämtlicher Profile, Verglasungen, Türschließer, Beschläge, Dichtungen, Befestigungs- und Anschlussmittel vollständig demontieren, abtransportieren ;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
20;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
30;Liefern, montieren, für die Dauer der Bauzeit vorhalten sowie nach Abschluss der Arbeiten einschließlich rückstandslosem Ausbau und Abtransport fachgerecht demontieren einer provisorischen Bautür als einflügeliges Türelement einschließlich Rahmenkonstruktion und provisorischer Verschlusskonstruktion;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
40;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
50;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
60;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
70;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
80;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
90;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
100;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
110;Objekttür als Innentür gemäß Türliste und Ausführungsbeschreibung 1;4,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
120;Zulage zu den Innentürelementen für den Einbau einer Blindrosette bei nicht abschließbaren Türen,;2,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
130;Liefern und einbauen eines provisorischen Profildoppelzylinders für die Bauzeit;7,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
140;Zulage zu vorbeschriebenen Türelementen für;7,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
150;Zulage für WC-Verriegelung Frei/Besetzt- Garnitur (WC- Garnitur),;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
160;Ein Stück oben liegender Gleitschienen-Türschließer nach DIN EN 1154.;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
10;Bodentürstopper/Türpuffer mit Einlasszapfen;5,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
20;Wandtürstopper Kunststoff, rund, weiß, einschl. Befestigungsmaterial.;5,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
30;Wandtürstopper mit zylindrischem Gummipuffer,;5,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
40;Fingerklemmschutz zur Sicherung der Band-/Gegenbandseitiger Fingerklemmschutz (je nach Türliste) an der Nebenschließkante, komplett liefern und montieren.;12,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
10;Maßgefertigten Einbauschrank liefern und montieren.;1,0;St;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
10;Liefern und betriebsfertig montieren einer mobilen Trennwandanlage mit horizontal verfahrbaren Einzelelementen zur flexiblen Raumtrennung. Die Trennwandanlage besteht aus einzelnen, oben laufenden Elementen ohne Bodenführung. Die Elemente müssen sich leichtgängig verfahren lassen und im geschlossene;1,0;Stk;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
10;Stundenlohnarbeiten durch Facharbeiter/-in;10,0;h;gaeb;Vergabeunterlagen/2026-07-14_Los12_Versandexemplar.X83
