Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Aufbauen fahrbares Gerüst,;1,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
20;Abbauen fahrbares Gerüst,;1,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
30;Umsetzen fahrbares Gerüst,;3,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
10;Schutzabdeckung der Bodenfläche, aus Parkett,;1500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
20;Befahrbare Schutzabdeckung der Bodenfläche, aus Parkett,;500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
30;Befahrbare Schutzabdeckung der Bodenfläche, aus Parkett,;1000,0;m2Mt;gaeb;Vergabeunterlagen/LV/1785-26.X83
40;Befahrbare Schutzabdeckung der Bodenfläche, aus Parkett,;1000,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
10;Böden, aus Holz, reinigen während der Bauzeit - Innenanlage, von grober Verschmutzung durch Bauschutt, aufgenommene Stoffe sammeln, und auf der Baustelle lagern,;14500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
20;Reinigen von Böden im Innenbereich, aus Holz, reinigen durch Kehren mit staubbindenden Maßnahmen, Ausführung gemäß Einzelbeschreibung,;14500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
30;Reinigen von Böden im Innenbereich, aus Holz, reinigen durch Saugen, Ausführung gemäß Einzelbeschreibung,;14500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
40;Reinigen von Böden im Innenbereich, aus Holz, reinigen durch Feuchtwischen, Ausführung gemäß Einzelbeschreibung,;14500,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
50;Treppen, aus Holz, reinigen während der Bauzeit - Innenanlage, von grober Verschmutzung durch Bauschutt, aufgenommene Stoffe sammeln, und auf der Baustelle lagern,;900,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
60;Reinigen von Treppen und Podesten im Innenbereich, aus Holz, einschl. Sockelleisten, reinigen durch Kehren mit staubbindenden Maßnahmen, Ausführung gemäß Einzelbeschreibung,;900,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
70;Reinigen von Treppen und Podesten im Innenbereich, aus Holz, reinigen durch Saugen, Ausführung gemäß Einzelbeschreibung,;900,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
80;Reinigen von Treppen und Podesten im Innenbereich, aus Holz, reinigen durch Feuchtwischen, Ausführung gemäß Einzelbeschreibung,;900,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
90;Reinigen von Geländern und Handläufen im Innenbereich, Geländer aus nichtrostendem Stahl, Handlauf aus nichtrostendem Stahl, reinigen durch Feuchtwischen.;500,0;m;gaeb;Vergabeunterlagen/LV/1785-26.X83
100;Reinigen von Heizkörpernischen im Innenbereich, Putz, Oberfläche rau, Ausführung gemäß Einzelbeschreibung,;95,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
10;Reinigen von Böden im Innenbereich, Belag aus Parkett, Oberfläche geölt, einschl. Sockelleisten, reinigen durch Saugen, Ausführung gemäß Einzelbeschreibung,;2265,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
20;Reinigen von Böden im Innenbereich, Belag aus Parkett, Oberfläche geölt, einschl. Sockelleisten, reinigen durch Nebelfeuchtwischen, Ausführung gemäß Einzelbeschreibung,;2265,0;m2;gaeb;Vergabeunterlagen/LV/1785-26.X83
30;Reinigen von Bodentanks, im Innenbereich, durch Öffnen und;70,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
40;Reinigen von Tritt- und Setzstufen im Innenbereich, Belag aus Parkett, Oberfläche geölt, einschl. Wangen und Sockelleisten, reinigen durch Saugen, Ausführung gemäß Einzelbeschreibung,;115,0;St;gaeb;Vergabeunterlagen/LV/1785-26.X83
