Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Untergrund von grober Verschmutzung reinigen, soweit diese nicht durch den Auftragnehmer verursacht wurde.;335,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
2;Abdichtung gegen Bodenfeuchte gemäß DIN 18533-1, auf Betonbodenplatte, eine Lage Bitumenschweißbahn G200 S4 mit Glasvlieseinlage, liefern und verlegen, Stöße mind. 10 cm überlappen und heiß verschweißen, vollflächig auf dem Untergrund verschweißen, Leistung inkl. Voranstrich.;150,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
3;Anschluss der Abdichtung G200 S4 an aufgehende Bauteile, Schweißbahn an den Wänden bis OK-FFB hochziehen, Ausführung sonst wie vorgehende Position, inkl. Ausbildung von Innen- und Außenecken, Höhe Fußbodenaufbau: ca. 10 cm;195,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
4;Trennschicht, einlagig, Stöße mind. 10 cm überlappt und an den Rändern entsprechend hochgezogen.;50,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
5;Bauseitig eingebaute 2-teilige Fußbodeneinläufe oder Reinigungsverschlüsse bis DN 100 in Abstimmung mit HLS, Unterteil mit Klebe- oder Klemmflansch, in die Abdichtung einbinden, Oberteil für Bodenaufbau mit Beschichtung lagegenau nach Vorgabe in den Estrich einbauen.;2,0;St;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
1;"Dämmplatten aus Steinwolle mit RAL-Gütezeichen der Gütegemeinschaft Mineralwolle e.V. gesundheitlich unbedenklich nach der Gefahrstoffverordnung und freigezeichnet nach EU-Richtlinie 97/69 Nota Q;";135,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
2;"Dämmplatten aus Steinwolle mit RAL-Gütezeichen der Gütegemeinschaft Mineralwolle e.V. gesundheitlich unbedenklich nach der Gefahrstoffverordnung und freigezeichnet nach EU-Richtlinie 97/69 Nota Q;";55,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
3;Bodendämmplatte EPS 035 DEO dh ein- oder zweilagig, als Wärmedämmung bzw. Ausgleichsschicht unter der Klettplatte, Druckspannung bei 10 % Stauchung > 150 kPa, einbauen.;30,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
4;Anpassen der unteren Lage der Wärmedämmung an Kanäle, Kabel, Heizungszuleitungen und Installationsleitungen durch Ausschnitte und gesonderte Zuschnitte, Abrechnung nach Gesamtdämmfläche.;30,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
5;Bodendämmplatte EPS 035 DEO dh einlagig, als Wärmedämmung bzw. Ausgleichsschicht unter dem Estrich, Druckspannung bei 10 % Stauchung > 150 kPa, einbauen.;25,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
6;Trennschicht mit Schrenzlage einlagig.;335,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
7;Ausgleichsschüttung um verlegte Installationsleitungen, im Bereich der Dämmebene, gem. DIN 18560-2 in gebundener Form, druckstabil und selbstverklebend, 20-30 mm dick einbauen, lose Schüttungen sind nicht zugelassen.;1,0;m3;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
8;Bekleidung der Bestandsdecke (Holzbalkendecke), umlaufende Anschlüsse starr inkl. Trennstreifen.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
9;Zulage, Unterkonztruktion nach Wahl des AN in der Dämmlage zur Befestigung der Bekleidung 1x 12,5 mm GKB-Platten.;25,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
10;Liefern und Montieren von Wandanschlussprofil umlaufend, inkl. erforderlicher Befestigungsmittel.;125,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
11;Verspachtelung von Gipsplattendecken mit erhöhten Anforderungen, in Qualitätsstufe Q3 gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V.,;30,25;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
1;Zementestrich (CT), als schwimmender Heizestrich, auf bauseitiges Rohrträgerelement mit integrierter Trittschalldämmung, zur Aufnahme von Belägen, Oberfläche gerieben und geglättet, erdfeucht eingebaut!;30,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
2;Mehrpreis für je 5 mm Mehrstärke des Zement-Estriches bei von den Positionen abweichenden Estrichdicken.;1,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
3;Minderpreis für je 5 mm Minderstärke des Zement-Estriches bei von den Positionen abweichenden Estrichdicken.;1,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
4;Verdunstungsschutz aus PE-Folie auf den frisch verlegten CT-Estrich satt und überlappt auflegen und wieder beseitigen.;30,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
1;Spannungsarme, selbstverlaufende Bodenausgleichsmasse von 10 bis 40 mm Schichtdicke.;50,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
2;Spannungsarme, selbstverlaufende Bodenausgleichsmasse von 10 bis 40 mm Schichtdicke.;175,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
3;Calciumsulfat-Ausgleichsmasse aus Werktrockenmörtel als Estrich auf Dämmschicht, in Verbindung mit dünnschichtiger Fußbodenheizung,;20,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12 Estricharbeiten.x83
