Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.10;Baustelle einrichten;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.20;Baustelle beräumen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.30;Bauzaun aufstellen und entfernen, Zaunhöhe 2,00 m *StahlgitterFT;200,0;m;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.40;Bauzaun mehrfach umsetzen, Zaunhöhe 2,00 m *StahlgitterFT;200,0;m;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.50;vorhandene Vermessungspunkte sichern;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.60;Schachterlaubnissscheine einholen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.70;Beweissicherung durchführen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.80;Prüfplan für die Eigenüberwachung erstellen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.90;Zahlungs- und Bauzeitenplan erstellen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.100;Deklarationsanalyse gemäß LAGA - M 20;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.110;Zulage für Analysen gemäß Ersatzbaustoffverordnung;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.1.120;Mehraufwand Gewässer- und Denkmalschutz;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.2.10;Verkehrssicherung längerer Dauer aufbauen, an Arbeitsstellen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.2.20;Verkehrssicherung längerer Dauer vorhalten;60,0;d;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
1.2.30;Kontrolle der Verkehrssicherung an Arbeitsstellen;60,0;d;gaeb-flat;Vergabeunterlagen/LV SLB-2026-0347.D83
