Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Anordnung sh. Wandansicht;6,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;"Frontbündig;";3,6;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;Ausschnitt zur Durchführung von Heizungsrohren (VL/RL);6,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;ein- oder mehrteilig,;0,87;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
50;"Frontbündig;";8,0;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
10;Anordnung sh. Wandansicht;2,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;für Patientenschrank Pos. 1.2.2.10;1,23;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;Ausschnitt zur Durchführung von Heizungsrohren (VL/RL);2,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;für Patientenschrank Pos. 1.2.2.10;0,29;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
50;für Patientenschrank Pos. 1.2.2.10;2,524;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
60;Anordnung sh. Wandansicht;2,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
70;für Pflegeschrank Pos. 1.2.2.50;0,82;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
80;Ausschnitt zur Durchführung einer Medienversorgungsschiene;2,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
90;für Pflegeschrank Pos. 1.2.2.50;0,25;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
100;für Pflegeschrank Pos. 1.2.2.50;2,18;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
10;Anordnung sh. Wandansicht;18,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;Anordnung sh. Wandansicht;9,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;"Frontbündig;";4,32;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;Ausschnitt zur Durchführung einer Medienversorgungsschiene;9,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
50;ein- oder mehrteilig,;2,205;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
60;"Frontbündig;";8,1;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
10;vorgesehen für folgende Räume:;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;vorgesehen für folgende Räume:;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;Vorgesehen für folgende Räume (3 Stk.):;3,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;vorgesehen für folgende Räume:;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
10;Wandansicht C;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;Befestigung unter Arbeitsplatte;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;Wandansicht D;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;Wandansicht D;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
50;ein- oder mehrteilig,;0,153;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
60;"Frontbündig;";0,24;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
70;"Frontbündig;";0,534;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
10;"Frontbündig;";0,02;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
20;Mit Flügeltüren, Links-/Rechtsanschlag;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
30;Aus ESG, 6 mm, Kanten gefast und poliert;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
40;Geeignet zur Aufnahme von ISO-Modulen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
50;bestehend aus:;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
60;Ausführung gem. Vorbemerkungen;1,75;m;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
70;Geeignet zur Aufnahme von ISO-Modulen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
80;ein- oder mehrteilig, bei mehrteiliger Ausführung sind die Stoßkanten;0,18;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
90;"Frontbündig;";0,02;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
100;"Frontbündig;";0,77;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
110;Mit;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
120;Geeignet zur Aufnahme von ISO-Modulen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
130;Mit Flügeltüren, Linksanschlag;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
140;Geeignet zur Aufnahme von ISO-Modulen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
150;Ausführung gem. Vorbemerkungen;0,76;m;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
160;"Frontbündig;";0,4;m²;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
170;zur Aufnahme eines Medikamentenkühlschrankes ca. 95 L und eines Frosters  (gem. Vorbemerkungen);1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
180;Ausführung gem. Vorbemerkungen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
190;Ausführung gem. Vorbemerkungen;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
200;Geeignet zur Aufnahme von ISO-Modulen, sowie;2,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
210;zum Einbau in vorbeschriebenem ISO-Hochschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV MLB-2026-0201.X83
