Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelle für sämtliche, in der Leistungsbeschreibung aufgeführten Leistungen einrichten und räumen.;1,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
20;Bauzaun, auf unbefestigtem Untergrund, aus Einzelelementen mit verzinktem Stahlrohrrahmen und Vergitterung, mit Standfüßen, Zaunoberkante über Oberfläche Gelände 2 m, aufstellen und räumen.;50,0;m;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
30;Chemie-Toilette aufstellen und räumen.;1,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
40;Verkehrssicherungseinrichtungen zur Aufrechterhaltung des öffentlichen und Anlieger-Verkehrs sowie für die verkehrsgerechte Sicherung von Arbeitsstellen aufgrund behördlicher Anordnungen, temporär, aufbauen und abbauen, nach den Richtlinien zur Sicherung von Arbeitsstellen an Straßen (RSA), gemäß Re;2,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
10;Abbruch der Kragplatte aus Stahlbeton, Normalbeton, Betonfestigkeitsklasse gemäß Bestandsunterlagen, eine Überschreitung der Betondruckfestigkeit(en) gemäß Bestandsunterlagen im dort zugrunde gelegten Druckfestigkeitssystem (Nennfestigkeiten bzw. charakteristische Festigkeiten) bis zu 2 Druckfestigk;6,5;m3;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
20;Abbruch des Auflagers aus Stahlbeton, Normalbeton, Betonfestigkeitsklasse gemäß Bestandsunterlagen, eine Überschreitung der Betondruckfestigkeit(en) gemäß Bestandsunterlagen im dort zugrunde gelegten Druckfestigkeitssystem (Nennfestigkeiten bzw. charakteristische Festigkeiten) bis zu 2 Druckfestigke;3,5;m3;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
30;Abbruch Geländer, aus Stahl, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;30,0;m;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
40;Abbruch der Stahlkonstruktion, korrosionsschutzbeschichtet, geschweißt und geschraubt, aus Rohrprofil, Außendurchmesser 101,6 mm, Einzellänge über 2,75 bis 3 m, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet, Abfall ist nicht gefährlich, Arbeitshöhe bis 6 m, Abbruch von Hand/mit hand;4,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
50;Abbruch der Stahlkonstruktion, korrosionsschutzbeschichtet, geschweißt und geschraubt, aus Formstahl, Doppel-T-Träger IPE, Profilhöhe 160 mm, Einzellänge über 3,75 bis 4 m, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet, Abfall ist nicht gefährlich, Arbeitshöhe bis 8 m, Abbruch von H;2,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
60;Abbruch der Stahlkonstruktion, korrosionsschutzbeschichtet, geschweißt und geschraubt, aus Rechteck-Hohlprofil, Maße H/B/D 80/50/2 mm, Einzellänge bis 2 m, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet, Abfall ist nicht gefährlich, Arbeitshöhe bis 8 m, Abbruch von Hand/mit handgefüh;12,0;St;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
70;Entglasen des Vordaches im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;13,0;m2;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
80;Abbruch des Bodenbelages, aus Steingutfliesen, kleinformatig, Dicke bis 10 mm, einschl. Entfernen von Kleberesten/Mörtelresten, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;13,0;m2;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
10;Abbruch von Bekleidungsplatten an Trennwand, aus Gipsplatten, 2-lagig, mit Spachtelung, tapeziert, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;110,0;m2;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
20;Abbruch des Einfachständerwerks der Trennwand, aus Stahlprofil, verzinkt,;55,0;m2;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
30;Abbruch der Dämmung der Innenwand, Dämmschicht aus Mineralwolle, als Matte/Filz, lose verlegt, im Rahmen einer Totalabbruchmaßnahme, schadstoffbelastet gemäß Analyse,;55,0;m2;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
40;Abbruch der Innenwand aus Mauerwerk aus Mauerziegel, einschl. Putz, 2-seitig, mit Beschichtung, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;10,0;m3;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
10;Abbruch der Außenwand aus Mauerwerk aus Leichtbetonstein, ohne Bekleidungen und Beschichtungen, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;10,0;m3;gaeb;Vergabeunterlagen/Los 1 Abbruch/VOEK 309-26_LV Los 1_Stand 15.07.2026.X83
