Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelle für die vertragsgemäße Durchführung der;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
20;Baustelleneinrichtung vorhalten, unterhalten und betreiben für;30,0;Wo;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
30;Baustelle räumen. Soweit nicht für bestimmte Leistungen;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
40;Baustellenschild nach BB anfertigen und beschriften,;2,0;St;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
50;Baustelleninformationsschild und Aufstellvorrichtung;2,0;St;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
60;Stammschutz aus Holzverschalung mit Polsterung;40,0;St;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
10;Beweissicherung liefern.;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
20;Bauzeitenplan mit einer Aufgliederung in Planung,;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
30;Sicherheits- und Gesundheitsschutzplan gemäß Par. 2,;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
40;Sicherheits- und Gesundheitsschutzkoordinator zur;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
50;Berechnungen für Ingenieurbauwerke des Hoch-, Tief-,;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
60;Ausführungszeichnungen mit allen für;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
70;Bestandszeichnungen aus den Ausführungszeichnungen/;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
80;Baubegleitende Schwingungsmessungen für das gesamte Baufeld durchführen. Für sämtliche Arbeiten bei denen Schwingungen verursacht werden. Prüf- und Dokumentationsunterlagen liefern.;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
90;Baubegleitende Vermessungsarbeiten für alle Leistungen;1,0;Psch;gaeb;Vergabeunterlagen/C_Unterlagen, die soweit erforderlich, ausgefüllt mit dem Angebot einzureichen sind/25.GEAB-Datei.X83
