Pos.;Leistung;Menge;Einheit;Quelle;Datei
0001;Vorankündigung gemäß Baustellenverordnung;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0002;Sicherheits- und Gesundheitsschutzplan (SiGe-Plan) nach;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0003;Sicherheits- und Gesundheitsschutzplan (SiGe-Plan) nach;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0004;Unterlage für spätere Arbeiten nach RAB 32 auf der;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0005;Sicherheits- und Gesundheitsschutzkoordinator während;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0006;Leistung für technologische und terminliche;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0007;Sicherung von Grenzmarken, Grenzsteinen usw. gegen;5,0;St;gaeb;Vergabeunterlagen/0074-26.X83
0008;Setzungs- und Verformungsmessungen während der Bauzeit;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0009;Baustellenhavarie- und Hochwasserschutzlan für die;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0001;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0002;Baustelle von allen Geräten, Anlagen, Einrichtungen und;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0003;Bauzaun nach Unterlagen des AG einschl. der erforderli-;150,0;m;gaeb;Vergabeunterlagen/0074-26.X83
0004;Bauzaun innerhalb der Baustelle umsetzen. Nicht wieder-;75,0;m;gaeb;Vergabeunterlagen/0074-26.X83
0005;Höhen- und Lagefestpunkt herstellen aus einem;2,0;St;gaeb;Vergabeunterlagen/0074-26.X83
0006;Übernahme und Überprüfungsmessung von Höhenfestpunkten.;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0007;Sicherung und Erhaltung von Höhenfestpunkten.;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0008;Leistungen für die technologische Koordinierung mit den;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0009;Wiederherstellung von Wegen u. Flächen;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0010;Hindernis im Boden aus Mauerwerk und Beton;5,0;m3;gaeb;Vergabeunterlagen/0074-26.X83
0011;Leistung wie Position zuvor, jedoch Stahlbeton.;5,0;m3;gaeb;Vergabeunterlagen/0074-26.X83
0001;Baubüro (Baracke oder Container) für den AG, doppelwan-;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0002;Baubüro für den AG mit allen Einrichtungen vor- und;14,0;Mt;gaeb;Vergabeunterlagen/0074-26.X83
0003;Bürowagen für den AG mit allen Einrichtungen vor- und;1,0;Mt;gaeb;Vergabeunterlagen/0074-26.X83
0001;Ausführungsplanung Umleitungsstrecke.;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0002;Fristgemäße Beantragung der verkehrsrechtlichen;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0003;Verkehrsrechtliche Anordnung auf Anweisung des AG bei;2,0;St;gaeb;Vergabeunterlagen/0074-26.X83
0004;Entgelt für die Verlängerung der;1,0;St;gaeb;Vergabeunterlagen/0074-26.X83
0005;Straßensperrung nach Anordnung der Verkehrsbehörde;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
0006;Verkehrssicherung und Beschilderung zur Umleitung des;1,0;Psch;gaeb;Vergabeunterlagen/0074-26.X83
