Pos.;Leistung;Menge;Einheit;Quelle;Datei
01010010;Dokumentation;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020010;Baustelleneinrichtung Hauptposition;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020020;Öffnungen mit OSB-Platten schließen;50,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020030;Bautür 1,01 x 2,01m;3,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020040;Vorhaltung Bautüren;30,0;StMt;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020050;Montage Profillzylinder inkl. Schlüssel;3,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020060;Schuttcontainer, Bauschutt;2,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020070;Dachöffnungen umwehren als Absturzsicherung;2,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020080;Vorhaltung Dachumwehrung als Absturzsicherung;20,0;StMt;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020090;Dachöffnungen schließen und prov. Abdichten;5,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020100;Kranstandort, Schottergemisch, d=50 cm;30,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01020110;Baustraße aufnehmen und entsorgen;30,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01030010;Herstellung und Lieferung von Schnurböcken;10,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01030020;Bauausführungsvermessung;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01030030;Absteckung für Bauausführung nach Wahl des AN;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01030040;Werkplanung Stahlbetonhalbfertigteile;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01030050;Ausführung  BII- Überwachung;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040010;Baustelleneinrichtung;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040020;Abwasserkanal PP-MD Schmutzwasser Steckverbindung OD DN110 SN 10, Plan;99,0;m;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040030;Passstück PP-MD Abwasserkanal Schnitt auf der Baustelle Steckverbindun;56,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040040;Bogen PP-MD Abwasserkanal 15Grad Steckverbindung OD DN110 SN16;4,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040050;Bogen PP-MD Abwasserkanal 30Grad Steckverbindung OD DN110 SN16;6,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040060;Bogen PP-MD Abwasserkanal 45Grad Steckverbindung OD DN110 SN16;71,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040070;Abzweig PP-MD Abwasserkanal 45Grad Steckverbindung OD DN110 SN16;17,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040080;Doppelmuffe PP-MD Abwasserkanal Steckverbindung OD DN110 SN16;18,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040090;Überschiebemuffe PP-MD Abwasserkanal Steckverbindung OD DN110 SN16;2,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040100;Muffenstopfen PP-MD Abwasserkanal Steckverbindung OD DN110 SN16;15,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040110;Dichtheitsprüfung Grundltg DN/OD110;99,0;m;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040120;Lagesicherung für während der Bauarbeiten freistehenden;19,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040130;Fundamentdurchführung aus KG 2000 DN 160/200 Länge bis 700;4,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040140;Universaltrichter;17,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040150;Regenablauf DN 100, seitlich, frostfreie Tiefe;2,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040160;Aushebevorrichtung für Geruchsverschluss System 200;1,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040170;Bestandsplan CAD;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01040180;Anfertigen von Revisionsunterlagen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01050010;Hauseinführung mit integriertem Installationsset 1-fach - 4 Meter;1,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060010;Oberboden abtragen sammeln laden transp. LKW AN entsorgen;1310,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060020;Boden Baugrube lösen fördern sammeln mit Gerät laden transp.;930,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060030;Boden Baugrube lösen und seitlich auf Baustelle zwischenlagern;180,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060040;Boden Zulage für Verwertungsklasse Z1 (Z1.1 / Z1.2);100,0;t;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060050;Boden Zulage zur Pos. für Verwertungsklasse Z2;50,0;t;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060060;Planum Abweichung +/-2cm EV2 45MPa;920,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060070;Baugrube mit Kies-Sand-Gemisch auffüllen;490,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060080;Verdichtungsnachweis;1,0;psch;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060090;Bauwerk hinterfüllen verdichten, Boden auf Baustelle gelagert;180,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060100;Bodenhindernis abbrechen;5,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060110;Sickerltg Kunststoff-Filterrohr DN100 T 0,3-0,5m Sohlen-B bis 0,3m;50,0;m;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01060120;Pumpensumpf herstellen Holzverbau Grundfläche 2-3m2 T bis 1m;2,0;St;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070010;Ortbeton Sauberkeitsschicht Streifenfundament unbewehrt;70,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070020;Gleitschicht PE-Folie D 0,3mm 2lagig Sauberkeitsschicht Beton;70,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070030;Ortbeton Streifenfundament unbewehrt C12/15 X0 B 30-40cm T 50-75cm;30,0;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070040;Schalung Streifenfundament H 0,5-1m;190,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070050;Ortbeton Sauberkeitsschicht Einzelfundament unbewehrt C8/10 D 5cm;1,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070060;Gleitschicht PE-Folie D 0,3mm 2lagig Sauberkeitsschicht Beton;1,0;m2;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
01070070;Ortbeton Einzelfundament Stahlbeton C25/30 XC2 0,25-0,5m3;0,5;m3;gaeb-flat;Vergabeunterlagen/LV NBB-2026-0314.D83
