Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.10;Wand innen, Zellulosevlies, Schadstellen partiell spachteln;1050,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.20;Decke innen, Zellulosevlies, Schadstellen partiell spachteln;300,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.30;Zwischenbesch Wand Zellulosevlieswandbekl. Dispersionsfarbe;1050,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.40;Schlussbesch Wand Zellulosevlieswandbekl. Dispersionsfarbe;1050,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.50;Zwischenbesch Decke Zellulosevlieswandbekl. Dispersionsfarbe;300,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.60;Schlussbesch Decke Zellulosevlieswandbekl. Dispersionsfarbe;300,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.70;Umfassungszarge, lackiert, Fehlstellen partiell spachteln;23,0;St;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.80;Zwischenbesch Umfassungszarge Stahl Abwickl. 20-40cm L bis 5m Alkydharzlack;23,0;St;gaeb-flat;Vergabeunterlagen/812W526B045.D83
1.1.90;Abdichtung Bauteilfuge Außenwand Fugendichtstoff Acrylatdispersion;100,0;m;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.10;Bodenbelag Linoleum abbrechen nicht schadstoffbelastet 10kN/m3 D 0,4 cm v.Hand Stoffe laden transp. LKW AN entsorgen AVV170904 Vergüt.Entsorg. AN;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.20;Sockelstreifen Linoleum abbrechen nicht schadstoffbelastet H 65-70mm 10kN/m3 D 0,4 cm v.Hand Stoffe laden transp. LKW AN entsorgen bis 10km AVV170203 Vergüt.Entsorg. AN;200,0;m;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.30;Untergrund reinigen Estrich auf Baustelle bereitstellen;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.40;Untergrund reinigen Zementestrich schleifen absaugen laden transp. LKW AN bis 10km;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.50;Boden innen Estrich Zementspachtel 1x spachteln;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.60;Untergrund ausgleichen Zementestrich faserverst.Ausgleichsmasse D 5-10mm in Teilflächen;5,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.70;Bodenbelag Linoleum Kl.34 CFL-s1 D 2,5mm marmoriert;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.80;Sockelleiste Kunststoff hart 1tlg H 65-70mm;200,0;m;gaeb-flat;Vergabeunterlagen/812W526B045.D83
2.1.90;Linoleumboden, Erstpflege / Einpflege;210,0;m2;gaeb-flat;Vergabeunterlagen/812W526B045.D83
3.1.10;Stundenlohnarbeiten, Facharbeiter, auf Anordnung der Bauaufsicht;8,0;Std;gaeb-flat;Vergabeunterlagen/812W526B045.D83
10;Wand innen, vorhandene Zellulosevlieswandbekleidung mit Dispersionsfarbbeschichtung, Untergrund vor Ausführung der Zwischenbeschichtung prüfen und örtlich vorbereiten.;1050,0;m2;gaeb;Vergabeunterlagen/812W526B045.X83
20;Decke innen, vorhandene Zellulosevliesbekleidung mit Dispersionsfarbbeschichtung, vor Ausführung der Zwischenbeschichtung partiell nacharbeiten.;300,0;m2;gaeb;Vergabeunterlagen/812W526B045.X83
30;Zwischenbeschichtung an Wand, innen, Untergrund Zellulosevlieswandbekleidung für nachträgliche Behandlung,;1050,0;m2;gaeb;Vergabeunterlagen/812W526B045.X83
40;Schlussbeschichtung an Wand, innen, Untergrund Zellulosevlieswandbekleidung für nachträgliche Behandlung,;1050,0;m2;gaeb;Vergabeunterlagen/812W526B045.X83
