Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelleneinrichtungs, -vorhaltungs und;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
20;vorhanden Bauzaun umbauen und versetzen;125,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
30;Bauzaun liefern, aufstellen, vorhalten,;300,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
40;Bauzaun liefern, aufstellen und abbauen;150,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
50;Bauzaun wie in Position 01.01.01.040 vorhalten;150,0;mWo;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
60;Bauschild als große stabile Plane am Bauzaun zu befestigen:;3,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
70;Herstellen, unterhalten, rückbauen und entfernen von ausreichend tragfähiger;200,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
80;wie Position 01.01.01.060,;400,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
90;Beratungscontainer oder Bauwagen für den AG, doppelwandig, mit;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
100;Vor Baubeginn ist eine (Foto) Dokumentation über die;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
110;Dokumentation aller gebauten Leitungen, Kanäle,;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
120;Erstellung eines Verwertungskonzeptes in tabellarischer;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
10;Bordanlagen, Gehwege und Grünstreifen sind, soweit;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
10;Stammschutz, bis 0,30 m Stammdurchmesser;5,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
20;Stammschutz, über 0,3 m bis 0,5 m;5,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los3-Tiefbau_21.07.26.x83
