Pos.;Leistung;Menge;Einheit;Quelle;Datei
010101001;Baustelle einrichten räumen;1,0;psch;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010101002;WC-Kabine;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010101003;WC-Kabine, über Grundvorhaltezeit;4,0;StWo;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010101004;Magazincontainer;1,0;Stk;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201001;Außerbetriebnahme, elektrisch Abklemmen, Entleeren des kompletten Kessels;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201002;"Demontage Gasleitung 1"" incl. Formstücken";1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201003;Demontage Warmwasserspeicher;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201004;Demontage alter Gaskessel 90 kW;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201005;Demontage Ausdehnungsgefäß;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201006;Demontage Abgasrohr;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201007;Demontage Stahlrohr DN 20-40;64,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201008;Demontage Einbauteilen in den Rohrleitungen DN 20-40;32,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201009;Demontage Wasserleitungen DN 15-40;136,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010201010;Demontage Einbauteilen in den Wasserleitungen DN 15-40;14,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202001;Außerbetriebnahme, elektrisch Abklemmen, Entleeren des kompletten Kessels;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202002;"Demontage Gasleitung 1"" incl. Formstücken";1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202003;Demontage Warmwasserspeicher;2,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202004;Demontage alter Gaskessel 65 kW;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202005;Demontage Ausdehnungsgefäß;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202006;Demontage Abgasrohr;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202007;Demontage Stahlrohr DN 20-40;64,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202008;Demontage Einbauteilen in den Rohrleitungen DN 20-40;26,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202009;Demontage Wasserleitungen DN 15-40;136,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010202010;Demontage Einbauteilen in den Wasserleitungen DN 15-40;14,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203001;Außerbetriebnahme, elektrisch Abklemmen, Entleeren des kompletten Kessels;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203002;"Demontage Gasleitung 1"" incl. Formstücken";1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203003;Demontage Warmwasserspeicher;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203004;Demontage alter Gaskessel 35 kW;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203005;Demontage Ausdehnungsgefäß;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203006;Demontage Abgasrohr;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203007;Demontage Stahlrohr DN 20-40;64,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203008;Demontage Einbauteilen in den Rohrleitungen DN 20-40;18,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203009;Demontage Wasserleitungen DN 15-40;136,0;m;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010203010;Demontage Einbauteilen in den Wasserleitungen DN 15-40;14,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
010204001;Entsorgung Absetzcontainer;2,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101001;Wandhängendes Gas-Brennwertgerät Ausführung H;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101002;Anschlussgruppe;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101003;Gas-Durchgangshahn Rp 3/4I X 22mm MOP 5;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101004;Außenfühler NTC 2k kpl.m. Befestigungs-;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101005;Erweiterungsmodul-Set;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101006;Temperaturfühler-Set NTC5k 5000mm lang;2,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101007;"Hydraulik Übergangs-Set 1""";1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101008;Systemtrennung;1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
020101009;"Schlammabscheider Rp 1 1/4""IG mit Magnet";1,0;St;gaeb-flat;Vergabeunterlagen/04_Leistungsverzeichnis Heizungstausch Schmölln Ahornring.D83
