Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Vorhandene Trinkwasserleitungen bis zu einer Nennweite von DN 65 im Unter- geschoss absperren und komplett entleeren.;2,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
2;Vorhandene Waschtischanlage einschl. der Eckventile, Schmutzwasseranschlüsse, der Armaturen und Kleinmate- rialien demontieren, aus dem Gebäude schaffen, abtrans- portieren und fachgerecht entsorgen.;20,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
3;Vorhandene Spiegel über den Waschtischen inkl. Befes- tigungen demontieren, aus dem Gebäude schaffen, abtrans- portieren und fachgerecht entsorgen.;20,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
4;Vorhandene Klosettanlage ( Wandhängend oder Stand - WC ) einschl. der Bewässerungs- und Schmutzwasseranschlüsse, der Armaturen und Kleinmaterialien und dem Spülkasten ( UP-Spülkasten oder AP-Spülkasten, Montagehöhe teilw. bis ca. 2,50 m ) oder Druckspüler demontieren aus dem Gebäude schaffen, abtran;36,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
5;Vorhandene Urinalanlage einschl. der Bewässerungs- und Schmutzwasseranschlüsse, der Armaturen und Klein- materialien und dem Spülsystem demontieren aus dem Gebäude schaffen, abtransportieren und fachgerecht entsorgen.;15,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
6;Vorhandene Urinaltrennwand demontieren aus dem Gebäude schaffen, abtransportieren und fachgerecht entsorgen.;10,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
7;Vorhandene Kleinteile wie Handtuchhaken, Mantelhaken, WC-Papier-Rollenhalter, Ersatzpapierhalter, WC-Bürste mit Halter, Papier,- oder Seifenspender, etc. einschl. Befestigungs- material demontieren aus dem Gebäude schaffen, abtransportieren und fachgerecht entsorgen.;50,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
8;Demontage Trinkwasserarmaturen DN 10 - DN 32;6,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
9;Demontage Trinkwasserarmaturen DN 40 - DN 50;3,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
10;einschließlich alukaschierter Mineralwoll-Dämmung;300,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
11;einschließlich alukaschierter Mineralwoll-Dämmung;100,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
12;Demontage Rohr DN 70 - 100 (SW);200,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
13;Demontage Rohr DN 125 - 150 (SW);80,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
1;Nennweite	  	                    : DN 50;40,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
2;Nennweite	  	                     : DN 70;40,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa recklinghausen_ sanitär_ 161474-010.x83
