Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Die bestehende Aufzugsanlage ist komplett zu demontieren und fachgerecht zu entsorgen:;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;01. Technische Daten;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;Visuelles Notrufsystem;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
10;Erstellen und Übergabe der erforderlichen Unterlagen zur Meldung der überwachungspflichtigen Anlagen an die Aufsichtsbehörden und zur Erfassung als Arbeitsmittel des Bauherrn gemäß Betriebssicherheitsordnung in Form einer Gefährdungsbeurteilung inkl. Dokumentation zur Cybersicherheit.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;Abnahme durch den Sachverständigen:;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
10;Die bestehende Aufzugsanlage ist komplett zu demontieren und fachgerecht zu entsorgen:;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;01. Technische Daten;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;Visuelles Notrufsystem;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
10;Erstellen und Übergabe der erforderlichen Unterlagen zur Meldung der überwachungspflichtigen Anlagen an die Aufsichtsbehörden und zur Erfassung als Arbeitsmittel des Bauherrn gemäß Betriebssicherheitsordnung in Form einer Gefährdungsbeurteilung inkl. Dokumentation zur Cybersicherheit.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;Abnahme durch den Sachverständigen:;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
1;Stunden eines Obermonteurs;5,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
2;Stunden eines Monteurs;5,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
3;Preis für Wartung / Notruf für 5 Jahre;5,0;Jahr;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
4;Preis für An- und Abfahrt bei Störungseinsätzen;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-27_ aa detmold_ förderanlagen_ 174123-002.x83
