Pos.;Leistung;Menge;Einheit;Quelle;Datei
01010010;Baustelle einrichten;1,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010020;Baustelle räumen;1,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010030;Baustelleneinr. vorhalten;12,0;StWo;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010040;Aufbauen fahrbares Gerüst Stahlrohr 1,5kN/m2 L 2,5 m B 1 m H 2m;1,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010050;Abbauen fahrbares Gerüst Stahlrohr 1,5kN/m2 L 2,5 m B 1 m H 2m;1,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010060;Umsetzen fahrbares Gerüst Stahlrohr 1,5kN/m2 L 2,5 m B 1 m H 2m;3,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
01010070;Gebrauchsüberlassung fahrbares Gerüst Stahlrohr 1,5kN/m2 L 2,5 m B 1 m H 2m;5,0;StWo;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010010;Untergrund reinigen Beton nicht tragfähige Besch D 0,5-1cm schleifen absaugen laden transp. LKW AN bis 1km;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010020;Untergrund anschleifen Beton in Teilflächen 4-5m2;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010030;Untergrund ausgleichen Zementestrich gewebeverst.Ausgleichsmasse D bis 3mm Grundieren;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010040;Haftbrücke auftragen 2K-Kunstharzhaftbrücke;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010050;Scheinfuge/Riss schließen 2K-Reaktionsharz-Fugenmasse;40,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02010060;Schutzabdeck. Bodenfläche Folie D 0,3mm herstellen beseitigen;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02020010;Erstbesch Boden Beton Dispersion-GBS Dispersion Dispersion;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02020020;Erstbesch Sockel Putz Abwicklung 0,1 m Dispersionsfarbe-GBS Dispersionsfarbe Dispersionsfarbe;485,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02020030;Einfarbiges Absetzen Wand Fläche;485,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030010;Einzelrisssanierung Wand B 1-2mm aufweiten grundieren verfüllen Spachtelmasse mineral.;25,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030020;Ein-Beiputzen innen Kalkzement-Normalputzm. gefilzt D 5mm B 5-10cm;24,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030030;Putzglattstrich Türeinbau Leibung B 30 cm Kalkzement-Normalputzm. D 5-10mm;110,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030040;Entfernen Ausblühung Wand Putz;29,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030050;Kreidende Schicht entfernen nicht schadstoffbelastet Decke Beton laden LKW AG ges.Vergüt.Entsorg.;400,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030060;Kreidende Schicht entfernen nicht schadstoffbelastet Wand Beton laden transp. LKW AN bis 10km ges.Vergüt.Entsorg.;1275,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030070;Wand innen Putz Dispersions-Spachtelmasse 1x spachteln;85,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030080;Decke innen Putz Dispersions-Spachtelmasse 1x spachteln;35,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030090;Egalisierungsanstrich Dispersionssilikatfarbe Decke;445,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030100;Egalisierungsanstrich Dispersionssilikatfarbe Wand;1275,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030110;Schlussbesch Wand Putz Dispersionsfarbe;1275,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030120;Schlussbesch Decke Beton Dispersionsfarbe;445,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030130;Erstbesch Umfassungszarge Stahl Abwickl. 10-20cm L bis 5m 1K-Korrosionsschutzfarbe 1K-Acrylharzlack 1K-Acrylharzlack;11,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030140;Erstbesch Eckzarge Stahl Abwickl. 20-40cm L bis 5m 1K-Korrosionsschutzfarbe 1K-Acrylharzlack 1K-Acrylharzlack;7,0;St;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030150;Erstbesch Innentür beidseitig Stahl 1K-Haftgrund 1K-Acrylharzlack 1K-Acrylharzlack;50,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030160;Erstbesch Träger Stahl 1K-Korrosionsschutzfarbe 1K-Acrylharzlack 1K-Acrylharzlack;4,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030170;Erstbesch Rohr Stahl 1K-Haftgrund 1K-Acrylharzlack 1K-Acrylharzlack;25,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02030180;Abkleben Zarge Klebeband B 15mm;100,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040010;Putzglattstrich Türeinbau Leibung B 30 cm Kalkzement-Normalputzm. D 5-10mm;20,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040020;Flächenspachtelung Dispersions-Spachtelmasse 2x Wand;25,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040030;Anschlussfuge abdichten Wand elast.Dichtstoff Acrylatdispersion B 5-10mm PE geschlossenzellig;300,0;m;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040040;Grundbesch Kleister Wand;25,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040050;Tapete Wand Glasfaserwandbekl.;22,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040060;Erstbesch Wand Glasfaserwandbekl. Dispersionsfarbe-GBS Dispersionsfarbe;22,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
02040070;Schutzabdeck. Möbel Folie D 0,3mm herstellen beseitigen;200,0;m2;gaeb-flat;Vergabeunterlagen/LV NLB-2026-0326.D83
