Pos.;Leistung;Menge;Einheit;Quelle;Datei
01010010;Baustelle einrichten aller Abschnitte*Fläche des AG Räumen nicht ges*Zufahrt vorhanden Vers.d.AN*Vorh.+Betr.n.ges.;1,0;Psch;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01010020;Baustelle räumen aller Abschnitte;1,0;Psch;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01010030;Baustelle evakuieren /räumen bei Hochwasserereignis;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01010040;Baustelle wiedereinrichten nach Hochwasserereignis;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01020010;Abfall entsorgen ... Freitext ...*... Freitext ... ... Freitext ...*... Freitext ... Wiegeschein;1,0;t;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01020020;Rasenfläche mähen 1 zu 4 bis 1 zu 3*ganzflächig Okt. bis Nov.*... Freitext ... Schnitthöhe 5 cm*Mähgut verwerten;1600,0;m2;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030010;Bäume fällen und weiterverwenden Laubbäume*DU 0,20-0,30 m ... Freitext ...*Holz verwerten;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030020;Käferbäume fällen und weiterverwenden Laubbäume*DU 0,20-0,30 m ... Freitext ...*Bäume entasten Weg 0,30-2,50 km*Lagerflächen AG;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030030;Bäume fällen und weiterverwenden Laubbäume*DU 0,30-0,50 m ... Freitext ...*Holz verwerten;23,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030040;Käferbäume fällen und weiterverwenden Laubbäume*DU 0,30-0,50 m ... Freitext ...*Bäume entasten Weg 0,25-0,50 km*Lagerflächen AG;5,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030050;Bäume fällen und weiterverwenden Laubbäume*DU 0,50-0,75 m ... Freitext ...*Holz verwerten;13,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030060;Käferbäume fällen und weiterverwenden Laubbäume*DU 0,50-0,75 m ... Freitext ...*Bäume entasten Weg 0,25-0,50 km*Lagerflächen AG;7,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030070;Bäume fällen und weiterverwenden Laubbäume*DU 0,75-1,00 m ... Freitext ...*Holz verwerten;2,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030080;Käferbäume fällen und weiterverwenden Laubbäume*DU 0,75-1,00 m ... Freitext ...*Bäume entasten Weg 0,50-1,00 km*Lagerflächen AG;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030090;Bäume fällen und weiterverwenden Laubbäume*DU 1,00-1,50 m ... Freitext ...*Holz verwerten;1,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030100;Hecken, Buschwerk fällen u. räumen Höhe über 3 m*Räumg.schreddern Wiederverw/verwer;8100,0;m2;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01030110;Hecken, Buschwerk fällen u. räumen Höhe über 3 m*Räumgut lagern Weg bis 20 m;150,0;m2;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01040010;Totholz-Haufen herstellen Holz i. fördern*... Freitext ... ... Freitext ...*Weg bis 50 m ... Freitext ...;40,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01040020;Rasenfläche mähen Horizontal*... Freitext ... ... Freitext ...*... Freitext ... Schnitthöhe 5 cm*Mähgut verwerten;17,0;m2;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01040030;Totholz-Habitat herstellen Holz a. fördern*... Freitext ... ... Freitext ...*Länge über 3-4 m Holz eingraben*Weg 100-500 m ... Freitext ...;2,0;St;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
01040040;Temp. Reptilienschutzzaun herst. Zauntrasse mähen*Zauntr.planieren Stahl, 0,80 m*undurchs. Folie ... Freitext ...*... Freitext ...;20,0;m;gaeb-flat;Vergabeunterlagen/C_260727_LV.D83
