Pos.;Leistung;Menge;Einheit;Quelle;Datei
01.1;Einrichtung, Vorhaltung und Räumung einer Innenbaustelle;1,0;psch;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.1;Brandmekdekabel J-Y(ST)Y 2x2x0,8mm rot in vorh.;80,0;m;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.2;Anschluss- und Steuerleitung 7G1,5 flexibel 300/500V in;60,0;m;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.3;N2XCH 3x1,5/1,5 qmm halogenfreies Starkstromkabel 0,6/1;60,0;m;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.4;LF-Kanal 40x60mm Minikanal Stahl reinweiss;32,0;m;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.5;Kernbohrung gemäß statischer Abstimmung, fachgerecht;8,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.6;Brandschott für erstellte Kernbohrung nach erfolgter;8,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.7;Wanddurchbohrung nach Abstimmung, fachgerecht erstellen;2,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.8;Brandschott für erstellte Wanddurchbohrung nach erfolgter;2,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.9;Bauseits vorhandene Taster / Schalter up fachgerecht;4,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.10;"Bauseits vorhandene Handmelder (BMA; Hausalarm; Amok)";4,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.11;Bauseits vorhandene a.P. Lautsprecher der ELA-Anlage;4,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.12;Bauseits vorhandene Piktogrammleuchte fachgerecht;2,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
0201.13;Bauseits vorhandenen Brandschutz-LF-Kanal bis 100 x 150;3,0;St;gaeb-flat;Vergabeunterlagen/Los 1 Rauchschürzen.D83
