Pos.;Leistung;Menge;Einheit;Quelle;Datei
010;Kombinierter Vor- und Rücklaufverteiler,;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
020;Galvanisch verzinkte Standkonsole;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
030;Wärmedämmung für Verteiler,;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
040;Entleerungsrinne zum sicheren und;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
050;Standkonsole für;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
060;Sicherheitsventil mit Flanschen,;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
070;Vorschweißflanschenpaar;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
080;Flanschenabsperrventil,;18,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
090;Leistung wie vor, jedoch:;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
100;Leistung wie vor, jedoch:;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
110;Leistung wie vor, jedoch:;4,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
120;Vorschweißflanschenpaar;18,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
130;Vorschweißflanschenpaar;2,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
140;Vorschweißflanschenpaar;2,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
150;Vorschweißflanschenpaar;4,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
160;Zeigerthermometer,;10,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
170;Druckmeßgerät,;12,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
180;Druckmeßgeräteventil,;12,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
190;"Wassersackrohr DN 15 (1/2"")";12,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
200;Bauseits beigestelltes;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
210;Vorschweißflanschenpaar;3,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
220;Hocheffizienz-Inline-Doppelpumpe mit EC-Motor;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
230;Konsolen für den Fundamentaufbau;2,0;Set;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
240;Einklemm-Rückschlagventil,;2,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
250;Vorschweißflanschenpaar;2,0;Satz;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
260;Kreiselpumpenanlage in Kompaktbauform;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
270;Steuereinheit, Hydraulik und Steuerungsmodul;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
280;Membran-Ausdehnungsgefäß für;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
290;Anschlussset;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
300;Membran-Druckausdehnungsgefäß;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
310;Anschlußgruppe AG;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
320;Motorkugelhahn als Umrüstsatz;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
330;Kappenventil für Membran-Druck-;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
340;Schmutz- und Schlammabscheider;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
350;Hochenergie-Dauermagnet;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
360;Automatischer Schnell-/Großentlüfter;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
370;Industriespeicher für Grauwasser;1,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
380;Entleerungsventil,;20,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
390;Kugelhahn mit Entleerung,;8,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
400;beigestellte Tauchhülse;16,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
010;Rohrleitung DN 150;70,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
020;Leistung wie vor, jedoch;5,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
030;Leistung wie vor, jedoch;10,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
040;Leistung wie vor, jedoch;15,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
050;Leistung wie vor, jedoch;30,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
060;Leistung wie vor, jedoch;35,0;lfdm;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
070;Einschweißbogen 90°;24,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
080;Einschweißbogen 90°;10,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
090;Einschweißbogen 90°;14,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
100;Einschweißbogen 90°;4,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
110;Einschweißbogen 90°;20,0;Stck;gaeb;Vergabeunterlagen/1 Heizzentrale für Rasenheizung.X83
