Pos.;Leistung;Menge;Einheit;Quelle;Datei
0001;Einrichten und Vorhalten der Baustelleneinrichtung;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0002;Stromversorgung;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0003;Wasserversorgung;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0004;Räumen;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0001;Erarbeitung des;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0002;Gebühr zur;1,0;psch;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0003;Verkehrsregelende Schilder entsprechend Verkehrsrechtlicher Anordnung aufstellen und vorhalten,;22,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0004;Verkehrsregelende Schilder nach Abschluss der Maßnahme zurückbauen, unter Beachtung der gesetzlichen Vorschriften (RSA).;22,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0005;Verkehrsregelende Schilder für Umleitung entsprechend Verkehrsrechtlicher Anordnung aufstellen und vorhalten,;10,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0006;Verkehrsregelende Schilder für Umleitung nach Abschluss der Maßnahme zurückbauen, unter Beachtung der gesetzlichen Vorschriften (RSA).;10,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0007;Zusatzzeichen (ZZ) gemäß StVO und HAV Nr. 1000-10, 1000-11, 1000-12, 1000-20 und 1000-22 auf Anweisung des AG bzw. Verkehrsrechtlicher Anordnung aufbauen und vorhalten, unter Beachtung der gesetzlichen Vorschriften (RSA21 und RUB21).;10,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0008;Zusatzzeichen (ZZ) gemäß StVO und HAV Nr. 1000-10, 1000-11, 1000-12, 1000-20 und 1000-22 nach Abschluss der Maßnahme zurückbauen,;10,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
0009;Zusatzzeichen (ZZ) gemäß StVO und HAV leer für Beschriftung nach Anweisung und Angabe AG aufbauen und vorhalten, unter Beachtung der gesetzlichen Vorschriften (RSA21 und RUB21).;6,0;St;gaeb;Vergabeunterlagen/02 Baubeschreibung_LV/02_2_LV_Breitscheidstr.1.BA_ ELW 02_2026_B_GAEB_XML.x83
