Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.10;Baustelle einrichten, Sämtl.LV-Abschn.;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.1.20;Baustelle räumen, Saemtl.LV-Abschn.;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.10;Einholung der verkehrsrechtlichen Anordnung;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.20;Pressemitteilung erstellen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.30;Verkehrssich. läng. Dauer aufbauen .;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.40;Verkehrssich. läng. Dauer vorhalten wie Vorposition;5,0;d;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.50;Verkehrssich. läng. Dauer abbauen;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.60;Verkehrsschild aufstellen und beseitigen Größe 2*Retroreflkt.Typ 2*Aufstv. Wahl AN;1,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.2.70;Verkehrsschild aufstellen und beseitigen Größe 2*Retroreflkt.Typ 2*Aufstv. Wahl AN;1,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.10;Lichtbilder herst. und liefern;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.20;Beweissicherung durch den AN vor Beginn der Bauarbeiten;1,0;psch;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.30;Belastungsfahrzeug bereitstellen;2,0;h;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.40;Plattendruckversuch nach DIN 18 134;1,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.50;Messreflektoren f.Kprüfg. verlegen Alu-Folie 30x100*UL=bit.Schicht;2,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
1.3.60;Bohrkern entnehmen;1,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.1.10;Asphaltbefestigung trennen Anbauber. längs*Schlitz fräsen Dicke ü. 6-12 cm;92,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.1.20;Asphaltbefestigung trennen Anbauber. quer*Schlitz fräsen Dicke ü. 6-12 cm;7,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.1.30;Asphalt fräsen ADS*Asphaltbeton*Tiefe ü.2,5-4,5cm Fahrbahn*Fräsasph. verw.;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.1.40;Asphalt fräsen ABS*Tiefe ü 6-8 cm Fahrbahn*Fräsasph. verw.;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.10;Bordanlage sichern;46,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.20;Schachtabdeckungen und Straßenabläufe abdecken;3,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.30;Unterlage Fahrbahnen reinigen;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.40;Bitumenemulsion aufsprühen Bk100-Bk3,2*Asphalt frisch C60BP4-S*Menge 250 g/m2 vor A.bindersch.;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.50;Asphaltbindersch.a. AC 16 B S herst Bk10*Dicke 8 cm*Bitumen 25/55-55A Kategorie C 95/1*Gestein SZ 18;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.60;Erschwernis infolge Einbauten Erschwer. gesamt*A.binderschicht Straßenabläufe;3,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.70;Unterlage Fahrbahnen reinigen;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.80;Bitumenemulsion aufsprühen Bk3,2 bis Bk100*Asphalt frisch C60BP1-S*Menge 250 g/m2 Vor ADS;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.90;Asphaltdecksch. aus AC 11 D S herst Bk10*Dicke 4 cm*Bitumen 25/55-55A;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.100;Erschwernis infolge Einbauten Erschwer. gesamt*A.deckschicht Straßenabläufe;3,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.110;Erschwernis infolge Einfassungen Erschwer. gesamt*A.binderschicht;46,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.120;Erschwernis infolge Einfassungen Erschwer. gesamt*A.deckschicht;46,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.130;Anschluss mit Fugenband herstellen Anschl. ADS*Anschluss quer Schichtd. 4 cm*Bis 20 m Breite 10 mm;53,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.140;Naht oder Anschluss zur Fuge aufw. Versch.Randanschl*Über 20 bis 100 m;46,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.150;Fugenfüllung herstellen Versch.Randfugen*Deckschicht Über 20 bis 100 m*Tiefe 40 mm Breite 12 mm*Fugenmasse N 1;46,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.160;Abstumpfungsmaßnahme durchführen LFK 1/3*Gestein wie Decke Menge 1 kg/m2*Maschinell;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.170;Verkehrsfläche kehren;155,0;m2;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.2.180;Einbauteile in Asphaltbef. anpassen;3,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.3.10;Längsmarkierung Typ I herstellen durchg.Fstr.begr.*Breite 0,12 m;10,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.3.20;Längsmarkierung Typ I herstellen Blockmark. 1 zu 1*Breite 0,12 m;18,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.3.30;Quermarkierung Typ I herstellen Haltlinie*mit Vormarkierung;3,5;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.3.40;Pfeilmarkierung Typ I herstellen gerad.+li.o.re.ab*mit Vormarkierung;3,0;St;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.4.10;Fuge f. Induktionsschleife herstellen, 5 Windungen, Fugenverg. bituminös;30,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
2.4.20;Induktionsschleife einbauen, 5 Windungen;60,0;m;gaeb-flat;Vergabeunterlagen/LV Bebel neu Stand 10.08.2026.D83
