Pos.;Leistung;Menge;Einheit;Quelle;Datei
01.0001;Beweissicherung Verkehrsanlagen;60,0;Stk;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
01.0002;Beweissicherung Gebäude;20,0;Stk;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
01.0003;Dokumentation Verlegearbeiten;80,0;Stk;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
01.0004;Abräumen Baugelände;45,0;m²;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
01.0005;Anliegerinformation;100,0;Stk;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
01.0006;Bestandsvermessung;50,0;Stk;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0001;Absperrung innerörtliche Straßen Regelpläne RSA21, BI;35,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0002;Absperrung innerörtliche Straßen Regelpläne RSA21, BII;25,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0003;Absperrung innerörtliche Straßen Regelpläne RSA21, BIII;2,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0004;Absperrung innerörtliche Straßen Regelpläne RSA21, BIV;5,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0005;Absperrung Landstraßen Regelpläne RSA21, CI;5,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0006;Absperrung Landstraßen Regelpläne RSA21, CII, CII/AmS;5,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0007;Automatische Ampelanlage;10,0;d;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0008;Absperrung einzelner Aufbruchpunkte, außerhalb der RSA21;50,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0009;Längsabsperrung von Gräben, außerhalb der RSA21;20,0;m;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
03.0010;Fußgängerüberwege;5,0;Stüc;gaeb-flat;Vergabeunterlagen/02.1 - Leistungsverzeichnis 2026-HV-32 d 83.D83
