Pos.;Leistung;Menge;Einheit;Quelle;Datei
00000001;Baustelle einrichten Sämtl.LV-Abschn.*Zufahrt vorh.;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00000002;Baustelle räumen Sämtl. LV-Abschn.;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00000003;Verkehrssicherung kürzerer Dauer;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00010001;Vegetationsfläche mähen, flach;1120,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00010002;Pflanzstellen kennzeichnen;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00010003;Suchschachtung;1,0;m3;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00010004;Gehölze mit Ballen einschlagen H, Al, Sol;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020001;Acer campestre liefern H 3xv mDb 14-16*VkG 2;83,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020002;Malus domestica Hybr. liefern H 3xv mDb 14-16*... Freitext ...;13,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020003;Malus domestica Hybr. liefern H 3xv mDb 14-16*... Freitext ...;12,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020004;Malus domestica Hybr. liefern H 3xv mDb 14-16*... Freitext ...;12,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020005;Malus domestica Hybr. liefern H 3xv mDb 14-16*Rhein. Bohnapfel;12,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020006;Prunus domestica Hybr. liefern H 3xv mDb 14-16*Hauszwetsche;42,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020007;Prunus domestica Hybr. liefern H 3xv mDb 14-16*... Freitext ...;42,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020008;Prunus domestica Hybr. liefern H 3xv mDb 14-16*... Freitext ...;41,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00020009;Quercus petraea liefern H 3xv mDb 14-16*VkG 2;27,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030001;Ungeeigneten Boden beseitigen;1,0;m3;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030002;Oberboden liefern und einbauen;1,0;m3;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030003;Bodenverbesserungsmittel liefern;28,4;m3;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030004;Bodenhilfsstoff Bentonit liefern;2840,0;kg;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030005;Hochstamm pflanzen;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030006;Gießrand herstellen;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030007;Aufbringen Stammschutzfarbe;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030008;Befestigung Schilfrohrmatte;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030009;Dreibock Nadelholz;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030010;Stammschutzmanschette anbringen;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030011;Pflanzscheibe mulchen Pflanzsch. DU 100*Nadelholzr. 10/40 Dicke 5 cm;284,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030012;Greifvogelstange setzen Länge 5,00 m*Zopf-DU 10-12 cm;17,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00030013;Abgrenzung von Veget.flächen herst.;50,0;St;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
00040001;Organischen Dünger liefern und ausbringen;34,08;kg;gaeb-flat;Vergabeunterlagen/Version 1/2026 07 23 LV Deetz-Dobritz.D83
