Pos.;Leistung;Menge;Einheit;Quelle;Datei
01010010;Baustelle einrichten und räumen;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01010020;Recherche Leistungsfreiheit;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01010030;Prüfung Leitungsfreiheit;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01010040;Einmessen Aufschlussansatzpunkte;62,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01010050;Bohrpunkte anzeigen;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020010;Geräteeinsatz Kleinbohrgerät;24,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020020;Kleinrammbohrungen ausführen bis 8 m unter GOK;192,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020030;Kleinrammbohrungen ausführen 8 m bis 12 m unter GOK;1,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020040;Gestörte Bodenproben entnehmen;192,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020050;Bohrloch verfüllen;192,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01020060;Dokumentation/EDV-Bearbeitung;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01030010;Baustelleneinrichtung und-räumung;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01030020;Geräteeinsatz CPT;4,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01030030;Drucksondierungen ausführen von GOK -15 m Tiefe;60,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01030040;Sondierloch verfüllen;4,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01040010;Geräteeinsatz Kleinbohrgerät;29,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01040020;Kleinrammbohrungen ausführen bis 3 m unter GOK;87,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01040030;Gestörte Bodenproben entnehmen;87,0;Stck;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01040040;Bohrloch verfüllen;87,0;lfm;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
01040050;Dokumentation/EDV-Bearbeitung;1,0;psch;gaeb-flat;Vergabeunterlagen/Version_01/Leistungsverzeichnis.GAEB90.D83
