Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Einarbeitung in das Projekt mithilfe der laut Leistungsbeschreibung zur Verfügung gestellten;1,0;psch;gaeb;Vergabeunterlagen/A26 000065.X83
10;Es ist ein Arbeits- und Sicherheitsplanes nach DGUV-Regel 101-004 (Beispiel siehe Anlage 4) zu erstellen. Dieser Plan hat sämtliche am Standort im Rahmen der Projektbearbeitung zu erbringenden Tätigkeiten zu berücksichtigen (Durchführung des Grundwassermonitorings).;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
10;Dokumentation der ausgeführten Arbeiten des Herbstmonitorings (Probenahmeprotokolle, Protokoll der Stichtagsmessung, Laborberichte), Hydroisohypsenplan, Isokonzenplänes (digital,) inkl. Plausibilitätsprüfung der Ergebnisse gem. LB Pos. 7.1.5;2,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
20;analog zu Pos. 1.2.2.10 für 2028;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
30;analog zu Pos. 1.2.2.10 für 2029;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
40;analog zu Pos. 1.2.2.10 für 2030;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
50;analog zu Pos. 1.2.2.10 für 2031;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
10;Videokonferenz;2,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
20;Magdeburg;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
30;Wolfen;1,0;St;gaeb;Vergabeunterlagen/A26 000065.X83
10;Für die Jahre 2026 und 2027;5,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
20;Optional: Projektleiter 2028;2,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
30;Projektleiter 2029;2,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
40;Optional: Projektleiter 2030;2,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
50;Projektleiter 2031;2,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
60;Für die Jahre 2026 und 2027;15,0;h;gaeb;Vergabeunterlagen/A26 000065.X83
