Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;PE-Rohr DN 150;20,0;m;gaeb;Vergabeunterlagen/1035-26_LV.X83
20;PE-Rohr DN 125;8,0;m;gaeb;Vergabeunterlagen/1035-26_LV.X83
30;PE-Rohr DN 100;52,0;m;gaeb;Vergabeunterlagen/1035-26_LV.X83
40;PE-Rohr DN 70/80;50,0;m;gaeb;Vergabeunterlagen/1035-26_LV.X83
50;PE-Rohr DN 50;10,0;m;gaeb;Vergabeunterlagen/1035-26_LV.X83
60;Passstück Länge max. 0,5 m, DN 150;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
70;Passstück Länge max. 0,5 m, DN 125;2,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
80;Passstück Länge max. 0,5 m, DN 100;10,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
90;Passstück Länge max. 0,5 m, DN 70/80;15,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
100;Passstück Länge max. 0,5 m, DN 50;4,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
110;PE-Bogen DN 150;18,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
120;PE-Bogen DN 125;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
130;PE-Bogen DN 100;45,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
140;PE-Bogen DN 70/80;52,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
150;PE-Bogen DN 50;15,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
160;PE-Abzweig DN 150 x 150;3,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
170;PE-Abzweig DN 125 x 100;3,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
180;PE-Abzweig DN 100 x 100;12,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
190;PE-Abzweig DN 100 x 70/80;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
200;PE-Abzweig DN 100 x 50;5,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
210;PE-Eckabzweig DN 100 x 100;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
220;PE-Doppelabzweig DN 100 x 100;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
230;PE-Abzweig DN 70 x 70 bzw. 80 x 80;5,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
240;PE-Abzweig DN 70/80 x 50;14,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
250;PE-Enddeckel DN 150;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
260;PE-Enddeckel DN 125;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
270;PE-Enddeckel DN 100;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
280;PE-Enddeckel DN 70/80;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
290;PE-Reduzierung DN 150 x 125;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
300;PE-Reduzierung DN 125 x 100;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
310;PE-Reduzierung DN 100 x 70/80;12,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
320;PE-Reduzierung DN 80 x 50;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
330;Dehn- und Stützmuffe für Fallleitungen DN 150;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
340;Dehn- und Stützmuffe für Fallleitungen DN 125;2,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
350;Dehn- und Stützmuffe für Fallleitungen DN 100;4,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
360;Dehn- und Stützmuffe für Fallleitungen DN 70;6,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
370;Grundplatte zur Befestigung an Decken und Wänden,;10,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
380;PE-Reinigungsrohr mit runder Öffnung, für Fallleitungen,;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
390;PE-Reinigungsrohr mit runder Öffnung, für Fallleitungen,;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
400;PE-Reinigungsrohr mit runder Öffnung, für Fallleitungen,;1,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
410;PE-Reinigungsrohr mit runder Öffnung, für Fallleitungen,;2,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
420;Übergangsmuffe für PE-Rohr DN 150 als Übergangsverbindung zum Anschluss von Fremdwerkstoffen PP-Rohr (KG2000);3,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
430;Übergangsmuffe für PE-Rohr DN 125 als Übergangsverbindung zum Anschluss von Fremdwerkstoffen PP-Rohr (KG2000);3,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
440;Übergangsmuffe für PE-Rohr DN 100 als Übergangsverbindung zum Anschluss von Fremdwerkstoffen PP-Rohr (KG2000);10,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
450;Verbinder DN 150;10,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
460;Verbinder DN 125;4,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
470;Verbinder DN 100;60,0;St;gaeb;Vergabeunterlagen/1035-26_LV.X83
