Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Liefern und montieren einer Reihenwaschtischanlage mit 2 Waschbecken, Ausladungsbereich des Sanitärausstattungsgegenstandes bis 550 mm, Breitenbereich 1.700 mm, einreihige Ausführung zur Wandmontage aus Mineralwerkstoff.;2,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
2;Liefern und montieren einer Reihenwaschtischanlage mit 4 Waschbecken, Ausladungsbereich des Sanitärausstattungsgegenstandes bis 550 mm, Breitenbereich 3.720 mm, einreihige Ausführung zur Wandmontage aus Mineralwerkstoff.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
3;Liefern und montieren einer Reihenwaschtischanlage mit 3 Waschbecken, Ausladungsbereich des Sanitärausstattungsgegenstandes bis 550 mm, Breitenbereich 3.475 mm, einreihige Ausführung zur Wandmontage aus Mineralwerkstoff.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
4;Liefern und montieren einer Reihenwaschtischanlage mit 5 Waschbecken, Ausladungsbereich des Sanitärausstattungsgegenstandes bis 550 mm, Breitenbereich 4.250 mm, einreihige Ausführung zur Wandmontage aus Mineralwerkstoff.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
5;Verborgener Abfallbehälter mit 40 Liter Volumen für den Waschtischunterbau, zur Aufnahme von gebrauchten Papierhandtüchern , die durch eine Öffnung auf dem Waschtisch oder Waschtischblende eingeworfen werden, mit seitlichen Führungsschienen, über die der Behälter zur Entleerung nach vorne herausgezo;11,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
1;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;2,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
2;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
3;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
4;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
5;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
6;Liefern und montieren einer WC-Trennwandanlage in Sandwichbauweise, bestehend aus Vorderfronten, Türen, Trennwänden und Anschlussprofilen, einschließlich aller Befestigungsmittel und Nebenleistungen.;1,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
7;Urinalschamwand 400 x 900 mm, aus dem gleichen Material wie die Kabinenelemente wandhängend. Befestigung mittels 2 eloxierter Aluminiumronden, die rückseitig unsichtbar mit der Schamwand verschraubt sind und diese zusätzlich stabilisieren. Aluminiumronden mit Auflagefläche zum Mauerwerk, die zusätzl;5,0;St;gaeb;Vergabeunterlagen/1028-26-_LV-WC Trennwände_Waschtische.X83
