Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Einrichten, Vorhalten und Räumen der Baustelleneinrichtung für die Ausführung des Metallbauers für Alu und Glas.;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Vor-Ort-Aufmaße, technische Bearbeitung, Erstellung der Werkplanung mit vermaßten Plänen mind. 1:50 und Details 1:1 bis 1:20.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
3;Staubschutzwand zum Abgrenzen der Arbeitsbereiche, bestehend aus Holzlattenkonstruktion mit Behang aus PE-Folie, d = min. 0,2 mm, h bis ca. 2,50 m. Ausführung gemäß ATV DIN 18299 – Allgemeine Regelungen für Bauarbeiten jeder Art. Fugen, Stöße, Durchdringungen und Anschlüsse an Boden, Wand und Decke ;100,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
4;Folientür, staubdicht abschließend, lichte Breite/Höhe 1,00 x 2,10 m, mit Staubschutzwand liefern, in Staubschutzwand einbauen und nach Abschluss der Arbeiten wieder ausbauen und entsorgen. Befestigungsmittel und Anschlussmaterialien sind mit auszubauen und zu entsorgen. Funktionsfähigkeit während d;4,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
5;Begehbare Schutzabdeckung von Bodenbelägen, bestehend aus Abdecken des Arbeitsbereiches gemäß ATV DIN 18299 mit Abdeckpappe mit beidseitiger PE-Beschichtung und einem Flächengewicht von mindestens;100,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
6;Vollflächiges Abfolen der Fußböden in;100,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Ausbau vorhandener Vollspantür mit Stahlumfassungszarge einschließlich Oberlicht in einem Bürogebäude. Türblatt in DIN-Standardmaß ca. 860 × 2.000 mm, Rohbauöffnung ca. 885 × 2.510 mm, inklusive zugehörigem Oberlicht in üblicher Bürostandardausführung (lichte Höhe Gesamtanlage 2.510 mm, abhängig vom;20,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Zulage zur Demontage von Türelementen;20,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
3;AVV 170603*: Anderes Dämmmaterial oder Material, das aus gefährlichen Stoffen  besteht oder solche Stoffe enthält;0,25;t;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
4;beidseitiger Rückbau von glatten GK Trockenbauunterdecken bzw. GK-Randfriesen in der Breite die notwendig ist, um die Tür- oder Glaselemente zu demontieren und die neuen Elemente einzusetzen, einschließlich der Entsorgung zu Lasten des Auftragnehmers.;40,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Lieferung und Montage eines Festverglasungselements wie beschrieben, hier: bodentief verglast mit Oberlicht.;3,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Oberlicht der vorbeschriebenen Tür als Zulage in Qualität VSG ausführen.;3,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
3;Lieferung und Montage eines Festverglasungselements wie beschrieben, hier: Wandelement ca. 3,00 x 2,30 m mit senkrechten Teilungen.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
4;Lieferung und Montage eines Festverglasungselements wie beschrieben, hier: Wandelement ca. 2,00 x 2,30 m mit senkrechten Teilungen.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
5;Bekleben der Glastrennwand mit Folienstreifen 30 x 150 mm in den Farben RAL 7016 Anthrazitgrau und RAL 9006 Lichtgrau in zwei unterschiedlichen Bereichen nach DIN 18040-1.;6,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
6;Lieferung und Montage eines Festverglasungselements wie beschrieben, hier: Wandelement ca. 2,95 x 2,60 m mit senkrechten Teilungen.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
7;Bekleben der Glastrennwand mit Folienstreifen 30 x 150 mm in den Farben RAL 7016 Anthrazitgrau und RAL 9006 Lichtgrau in zwei unterschiedlichen Bereichen nach DIN 18040-1.;3,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
8;Aufdoppelung zur Verbreiterung des Rahmenprofils z.B. im Bereich abgehängter Decken, von Mauerwerksanschlägen oder zur Aufnahme von Obentürschließern;12,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
9;wie in Vorposition beschrieben, jedoch;6,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
10;wie in Vorposition beschrieben, jedoch;6,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Rohrrahmen-Glastür, dichtschließend in Aluminiumzarge ohne Oberlicht.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Rohrrahmen-Glastür, dichtschließend in Aluminiumzarge mit Oberlicht.;12,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
3;Rohrrahmen-Glastür, dichtschließend in Aluminiumzarge mit Oberlicht.;3,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Rohrrahmentür Aluminium, T30-RS nach DIN 4102, 1--flüglig, Feuerschutzverglasung, mit verglastem Seitenteil.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Gleitschienen-Türschließer nach EN 1154.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Liefern und montieren von System-Anschlussprofilen ohne Brandschutzanforderungen zum Ausgleich von Unebenheiten, Schiefstellungen und Maßtoleranzen vorhandener Bestandswände für den fachgerechten Anschluss von Glastrennwänden. Einschließlich aller erforderlichen Befestigungs- und Dichtungsmaterialie;20,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Abdichten der Fuge, mit elastischem Dichtungsband, aus Polyurethanschaumstoff, Fugenbreite 15 - 20 mm, Fugentiefe;80,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
1;Liefern und montieren einer raumhohen Glastrennwandanlage als filigranes Trennwandsystem in zweischaliger Ganzglasbauweise mit 100 mm Wandstärke. Glaselemente sind in ein- bzw. mehrteilige Boden-/Deckenprofile eingestellt und miteinander verbunden, Ansichtshöhe der Profile 45 mm.;24,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
2;Eckausbildung 90° stumpf;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
3;Bekleben der Glastrennwand mit Folienstreifen 30 x 150 mm in den Farben RAL 7016 Anthrazitgrau und RAL 9006 Lichtgrau in zwei unterschiedlichen Bereichen nach DIN 18040-1.;6,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
4;Liefern und montieren einer raumhohen Glastrennwandanlage als filigranes Trennwandsystem in zweischaliger Ganzglasbauweise mit 100mm Wandstärke. Glaselemente sind in ein- bzw. mehrteilige Boden-/Deckenprofile eingestellt und miteinander verbunden, Ansichtshöhe der Profile 45mm.;24,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
5;Eckausbildung 90° stumpf;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
6;Bekleben der Glastrennwand mit Folienstreifen 30 x 150 mm in den Farben RAL 7016 Anthrazitgrau und RAL 9006 Lichtgrau in zwei unterschiedlichen Bereichen nach DIN 18040-1.;6,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
7;Liefern und montieren einer raumhohen Glastrennwandanlage als filigranes Trennwandsystem in zweischaliger Ganzglasbauweise mit 100 mm Wandstärke. Glaselemente sind in ein- bzw. mehrteilige Boden-/Deckenprofile eingestellt und miteinander verbunden, Ansichtshöhe der Profile 45 mm.;37,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
8;Eckausbildung 90° stumpf;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
9;Bekleben der Glastrennwand mit Folienstreifen 30 x 150 mm in den Farben RAL 7016 Anthrazitgrau und RAL 9006 Lichtgrau in zwei unterschiedlichen Bereichen nach DIN 18040-1.;8,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
10;Doppelscheiben-Alu-Rahmen-Glastür passend zum Glastrennwandsystem, flächenbündig.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Hannover_ Metallbau_ 172315-009.x83
