Pos.;Leistung;Menge;Einheit;Quelle;Datei
0001;Abdecken und besondere Maßnahmen zum Schutz von nicht;445,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0002;Fenster, Türen usw. vor den Putz- und Malerarbeiten mit Folie, Ölpapier o. ä. abkleben und während der gesamten Putzarbeiten vorhalten, erforderlichen Falls erneuern.;250,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0003;Einbauteile, Geländer, Heizkörper usw. vor den Malerarbeiten mit Folie, Ölpapier o. ä. abkleben und während der gesamten Putzarbeiten vorhalten, erforderlichen Falls erneuern.;150,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0004;Abdeckung und staubdichte Abklebung der Schalter- und Steckdosenbereiche (bis 3-fach-Dosen) zu deren Schutz während der Malerarbeiten des AN. Unterhaltung der Abdeckung und Beseitigung nach Abschluss der Arbeiten.;200,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0005;Stationäres oder mobiles Arbeitsgerüst über die Dauer der auszuführenden Arbeiten, den Sicherheits- vorschriften entsprechend, als Gerüst im Innenbereich, erforderliche Lastverteilung und mehrmaliges Aufbauen, Abbauen, Umsetzen sind im Preis enthalten;1,0;Psch;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0006;Arbeitsgerüst ( Lastklasse 4 ) als Raumgerüst, innen,;185,0;m³;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0007;Arbeitsgerüst, Raumgerüst, innen, wie zuvor beschrieben,;185,0;m³Wo;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0001;Abnahme des trockenen Oberflächenschmutzes mit einem Staubsauger von Decken und Stuckprofilen.;450,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0002;jedoch an Gewölben;38,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0003;Entfernen von altem Gips/Kalk/Kalkzementputz, Zementputz, Stärke im Mittel bis 5cm, in einer Breite von ca. 20cm, im Bereich von Rissen an Decken,  Sturzbögen über Fensternischen aus Natursteinmauerwerk, bis zu einer Höhe von 3,40m, einschließlich Abtransport und Entsorgung des Abruchmaterials.;100,0;lfm;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0004;Risse an Decken, Unterzügen und Sturzbögen aufweiten, entstauben strukturangleichend verfüllen.;100,0;m;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0005;Schließen von Rissen an Decken;50,0;m;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0006;Schließen von Rissen;50,0;m;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
0007;Punktuelle mechanische Abnahme von Farbanstrichen (der Kalktünchereste, Latexfarben, etc. (bis dreiSchichten ) ohne Beschädigung des darunterliegenden Gips-/ Kalkputzes an Decken, Gewölbebögen über Fensternischen und Laibungen, inkl. Abtransport und Entsorgung.;50,0;m²;gaeb;Vergabeunterlagen/Leistungsverzeichnis/LOS_15_V33.X83
