Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;"Die Position ""Baustellen einrichten"" bezieht sich auf das gesamte nachstehende Leistungsverzeichnis.";10,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
20;Herstellen und Ausführen der Verkehrs-, Betriebs- und Absturzsicherheit im Bereich der Baugruben während der gesamten Bauzeit.;10,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
30;Stahlplatten, t = 25 mm, bereitstellen, vorhalten u. entfernen.;5,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
40;Mantel mit Polsterung zum Schutz des Baumstammes vor mechanischer Schädigung herstellen und während der Bauzeit unterhalten. Der Stammumfang wird 1,0 m über GOK gemessen. Stammdurchmesser bis 1,00 m. Polsterung des Stammes nach Wahl AG. Mantel aus Brettern, 24 mm dick, lückenlos befestigen. Mantelhö;3,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
10;Der AN hat die Aufgabe mit den entsprechenden Trägern Öffentlicher Belange;10,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
20;Es sind von einem unabhängigen Gutachter oder zul. Prüfinstitut Proben zu nehmen,;2,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
10;Heckengehölz, Gestrüpp u. Baumbestand bis 5 cm Stammdurchmesser roden und mit dem Wurzelwerk beseitigen.;20,0;m²;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
20;Schnittstelle des Wurzelstocks vor dem Roden.;2,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
30;Geländer nach Unterlagen des AG abbauen und Verwertung nach Wahl des AN zuführen.;50,0;m;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
40;Abbruch von vorhandenen bewehrten Beton von;5,0;m³;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
50;Böschungs-/Wasserbaupflaster nach Unterlagen des AG abbrechen.;5,0;m²;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
60;Natursteinmauerwerk nach Unterlagen des AG abbrechen.;5,0;m²;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
70;Asphaltbefestigung trennen;20,0;m;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
80;Asphaltbefestigung aufbrechen und aufnehmen.;5,0;m²;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
90;Bordstein aufnehmen und laden.;50,0;m;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
100;Pflasterdecke aus Betonverbundsteinen aufnehmen, einschl. Bettung aus Baustoffgemeisch aufnehmen, wiederverwendbare Steine säubern, seitlich lagern;10,0;m²;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
110;Stufen der Böschungstreppe einschließlich Unterbeton nach Unterlagen des AG aufnehmen und ausbauen.;2,0;St;gaeb;Vergabeunterlagen/LV - Zeitvertrag BW-Unterhaltung.x83
