Pos.;Leistung;Menge;Einheit;Quelle;Datei
0101.1;Pfeilwegweiser liefern;10,0;St;gaeb-flat;Vergabeunterlagen/GAEB_X83_LÖ116_26.D83
0201.1;Themenroutenplaketten liefern;8,0;St;gaeb-flat;Vergabeunterlagen/GAEB_X83_LÖ116_26.D83
0301.1;Rohrpfosten mit Fußplatte liefern;1,0;St;gaeb-flat;Vergabeunterlagen/GAEB_X83_LÖ116_26.D83
0301.2;Rohrpfosten mit Bodenhülse liefern;1,0;St;gaeb-flat;Vergabeunterlagen/GAEB_X83_LÖ116_26.D83
0401.1;Fertigfundament mit Ankerkorb liefern;1,0;St;gaeb-flat;Vergabeunterlagen/GAEB_X83_LÖ116_26.D83
1;Pfeilwegweiser zzgl. notwendiges Befestigungsmaterial zum;10,0;St;gaeb;Vergabeunterlagen/GAEB_X83_LÖ116_26_V33.X83
1;Themenrouteneinschub nach Vorgabe des AG anfertigen und liefern. Vor Anfertigung und Lieferung ist ein Bildabzug entsprechend mit dem AG abzustimmen.;8,0;St;gaeb;Vergabeunterlagen/GAEB_X83_LÖ116_26_V33.X83
1;Rohrpfosten für Zielwegweiser mit Fußplatte und Abdeckkappe liefern. Pfosten mit Fußplatte, Abmaße;1,0;St;gaeb;Vergabeunterlagen/GAEB_X83_LÖ116_26_V33.X83
2;Rohrpfosten für Zielwegweiser;1,0;St;gaeb;Vergabeunterlagen/GAEB_X83_LÖ116_26_V33.X83
1;Maße;1,0;St;gaeb;Vergabeunterlagen/GAEB_X83_LÖ116_26_V33.X83
