Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Kombinations-Lüftungsgerät Anlage Sanitärbereich;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Transportieren, Einbringen und Aufstellen des Lüftungsgerätes;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Verkabelung der mitgelieferten und direkt am/neben dem RLT Gerät montierten Bauteile mit der internen Regelung (Kabel zum Teil steckerfertig vorkonfektioniert) nach Werksvorgaben:;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Dachhaube aus verzinktem Stahlblech, RAL 7021 lackiert Fortluft;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Dachhaube aus verzinktem Stahlblech, RAL 7021 lackiert, Außenluft;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Inbetriebnahme, Einregulierung und Prüfung des vorbeschriebenen Lüftungsgerätes durch den Werkskundendienst des Herstellers;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
10;Koordinierung mit Gewerk Trockenbau;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Tellerventil für Zuluft NW 150;8,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Tellerventil für Zuluft NW 100;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Tellerventil für Abluft NW 150;9,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Tellerventil für Abluft NW 125;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Tellerventil für Abluft NW 100;3,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
70;Tellerventil für Abluft NW 200;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
80;Tellerventil für Abluft NW 125;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
10;Gerade Kanalleitung, Kantenlänge bis 500 mm;2,0;m²;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Formstücke bis 500 mm;2,0;m²;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Wickelfalzrohr NW 100;10,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Wickelfalzrohr NW 125;42,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Wickelfalzrohr NW 150/160;17,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Wickelfalzrohr NW 180;1,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
70;Wickelfalzrohr NW 200;2,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
80;Wickelfalzrohr NW 224;7,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
90;Wickelfalzrohr NW 250;3,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
100;Wickelfalzrohr NW 280;6,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
110;Wickelfalzrohr NW 300/315;2,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
120;Rohrbogen NW 100;7,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
130;Rohrbogen NW 125;20,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
140;Rohrbogen NW 150/160;17,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
150;Rohrbogen NW 180;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
160;Rohrbogen NW 200;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
170;Rohrbogen NW 224;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
180;Rohrbogen NW 250;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
190;Rohrbogen NW 280;20,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
200;Rohrbogen NW 300/315;3,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
210;Abzweigstück NW 125, Abgang NW 125;10,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
220;Abzweigstück NW 150/160, Abgang NW 100;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
230;Abzweigstück NW 150/160, Abgang NW 125;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
240;Abzweigstück NW 150/160, Abgang NW 150/160;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
250;Abzweigstück NW 180, Abgang NW 100;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
260;Abzweigstück NW 180, Abgang NW 125;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
270;Abzweigstück NW 180, Abgang NW 150/160;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
280;Abzweigstück NW 180, Abgang NW 180;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
290;Abzweigstück NW 200, Abgang NW 150/160;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
300;Abzweigstück NW 250, Abgang NW 250;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
310;Reduzierung (symmetrisch / asymmetrisch), NW 100/80;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
320;Reduzierung (symmetrisch / asymmetrisch), NW 125/100;12,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
330;Reduzierung (symmetrisch / asymmetrisch), NW 150/100;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
340;Reduzierung (symmetrisch / asymmetrisch), NW 150/125;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
350;Reduzierung (symmetrisch / asymmetrisch), NW 180/100;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
360;Reduzierung (symmetrisch / asymmetrisch), NW 180/125;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
370;Reduzierung (symmetrisch / asymmetrisch), NW 180/150;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
380;Reduzierung (symmetrisch / asymmetrisch), NW 200/180 oder 150;3,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
390;Reduzierung (symmetrisch / asymmetrisch), NW 225/200 oder 180 oder 150;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
400;Reduzierung (symmetrisch / asymmetrisch), NW 250/180;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
410;Reduzierung (symmetrisch / asymmetrisch), NW 280/50 oder 180;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
420;Reduzierung (symmetrisch / asymmetrisch), NW 315/280 oder 250;5,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
430;Nippel NW 80 zum Verbinden von Rohren;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
440;Nippel NW 100 zum Verbinden von Rohren;5,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
450;Nippel NW 125 zum Verbinden von Rohren;21,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
460;Nippel NW 150/160 zum Verbinden von Rohren;9,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
470;Nippel NW 180 zum Verbinden von Rohren;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
480;Nippel NW 200 zum Verbinden von Rohren;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
490;Nippel NW 125 zum Verbinden von Rohren;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
500;Nippel NW 250 zum Verbinden von Rohren;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
510;Nippel NW 280 zum Verbinden von Rohren;3,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
520;Nippel NW 300/315 zum Verbinden von Rohren;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
530;Muffe NW 80 zum Verbinden von Formteilen;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
540;Muffe NW 100 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
550;Muffe NW 125 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
560;Muffe NW 150/160 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
570;Muffe NW 180 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
580;Muffe NW 200 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
590;Muffe NW 250 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
600;Muffe NW 300/315 zum Verbinden von Formteilen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
610;Enddeckel mit Handgriff NW 150/160;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
620;Flexibles Rohr NW 100;2,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
630;Flexibles Rohr NW 125;1,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
640;Flexibles Rohr NW 150/160;5,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
650;Rohrschelle für Wickelfalzrohr NW 100;7,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
660;Rohrschelle für Wickelfalzrohr NW 125;28,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
670;Rohrschelle für Wickelfalzrohr NW 150/160;12,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
680;Rohrschelle für Wickelfalzrohr NW 180;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
690;Rohrschelle für Wickelfalzrohr NW 200;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
700;Rohrschelle für Wickelfalzrohr NW 224;5,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
710;Rohrschelle für Wickelfalzrohr NW 250;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
720;Rohrschelle für Wickelfalzrohr NW 280;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
730;Rohrschelle für Wickelfalzrohr NW 300/315;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
760;Anschluss Abluftkanal aus verzinktem Wickelfalzrohr NW 150;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
770;Thermometer für Kanaleinbau, Klasse 1;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
780;Thermometer für Kanaleinbau, Klasse 1;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
790;Revisionsdeckel 200 x 100 mm, Wickelfalzrohre bis;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
10;Brandschutzklappe NW 280;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Brandschutzklappe NW 280, mit Abschlussgitter entgegen der Bedienseite und flexibler Stutzen;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Brandschutzklappe NW 160, ohne Abschlussgitter, mit flexiblem Stutzen auf der Einbauseite und Rauchmelder;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Brandschutzklappe NW 125, mit Abschlussgitter und Rauchmelder;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Brandschutzklappe NW 125, mit flexiblem Stutzen;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Brandschutzklappe NW 100, mit Abschlussgitter und Rauchmelder;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
70;Deckendurchbruch Ø 400 mm schließen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
80;Deckendurchbruch Ø 250 mm schließen;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
90;Wanddurchbruch Ø 250 mm schließen;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
100;Wanddurchbruch Ø 250 mm schließen;8,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
110;Rohreinbauschalldämpfer Ø 280/950/100 mm;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
120;Rohreinbauschalldämpfer Ø 280/500/100 mm;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
130;Volumenstromregler NW125;7,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
140;Volumenstromregler NW100;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
10;Wärme-/Kältedämmung für Wickelfalzrohr NW 300/315, Dämmstärke 2 x 25 mm;2,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Wärme-/Kältedämmung für Wickelfalzrohr NW 250, Dämmstärke 2 x 25 mm;4,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Wärme-/Kältedämmung für Rohrbogen NW 300/315, Dämmstärke 2 x 25 mm;2,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Wärme-/Kältedämmung für Rohrbogen NW 250,;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Wärme-/Kältedämmung für Reduzierung NW 300-315/250, Dämmstärke 2 x 25 mm;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Wärme-/Kältedämmung für Schalldämpfer da=480,;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
70;Wärme-/Kältedämmung für Schalldämpfer da=480,;4,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
80;Körperschalldämmung;4,0;m²;gaeb;Vergabeunterlagen/1017-26_LV.X83
10;Demontage Abluftventilator für WC-Räume 1.400 m³/h;1,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
20;Demontage von Lüftungsrohren NW 100 - 315 einschließlich Formstücke aus verzinktem Stahlblech (Wickelfalzrohre) oder Aluminium-Flexrohre;54,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
30;Demontage von Lüftungsrohren NW 100 - 315 einschließlich Formstücke aus verzinktem Stahlblech (Wickelfalzrohre) mit Wärmedämmung aus Mineralfasermatten Dicke bis 30 mm;4,0;m;gaeb;Vergabeunterlagen/1017-26_LV.X83
40;Demontage von Tellerventilen bis NW 200 aus einer Trockenbau-, Raster- bzw. Paneeldecke einschließlich der flexiblen Anschlussleitungen bis 1 m.;12,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
50;Demontage von Lüftungskanälen und Luftkanalformstücken aller Art;6,0;m²;gaeb;Vergabeunterlagen/1017-26_LV.X83
60;Demontage;2,0;St;gaeb;Vergabeunterlagen/1017-26_LV.X83
