Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelleneinrichtung inkl. Gerätestellung (Sauger, Rollgerüste, etc.) in ausreichender Anzahl und Größe, die nicht gesondert in Positionen erfasst sind, für die termingerechte Durchführung der Arbeiten anliefern, betriebsfertig anschließen, vorhalten, warten und reinigen.;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
20;Sanitärcontainer als Einzelcontainer. Auf- und Abbauen einer WC- und Waschanlage im Baustellenbereich in Standardausführung für Baustellenpersonal entsprechend den baulichen Anforderungen und den Anforderungen an die Einrichtung nach §47 Arbeitsstättenverordnung und der Arbeitsstättenrichtlinie 47/1;1,0;Stk;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
30;Betrieb und Vorhalten eines Einzel-Sanitär-Waschcontainers einschl. arbeitstäglicher Reinigung.;4,0;StkW;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
40;Container als Tagesunterkunft aufstellen, einschl. Unterbau und Anschluss Haustechnik, stapelbar, evtl. Nutzung durch Subunternehmer, 4 Wochen vorhalten und räumen.;1,0;Stk;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
50;Container für Tagesunterkunft vorhalten und unterhalten. Die Kosten für Energie, Heizung, Wartung und tägliche Reinigung sind im Preis einzukalkulieren.;4,0;Wo;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
60;In ausreichender Größe und Anzahl, einschl. Heizung, Beleuchtung und Einrichtung auf- und abbauen und für die Dauer der Bauzeit vorhalten.;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
70;Container für Lagerhaltung vorhalten und unterhalten. Die Kosten für Energie, Heizung, Wartung und tägliche Reinigung sind im Preis enthalten.;4,0;Wo;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
80;Bauzaun, auf befestigtem Untergrund, aus Einzelelementen mit verzinktem Stahlrohrrahmen und Vergitterung, mit Standfüßen, Zaunoberkante über Oberfläche Gelände 2 m, aufstellen und räumen.;100,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
90;Bauzaun, auf befestigtem Untergrund, aus Einzelelementen mit verzinktem Stahlrohrrahmen und Vergitterung, mit Standfüßen, Zaunoberkante über Oberfläche Gelände 2 m, vorhalten,;400,0;mWo;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
100;Behelfsmäßiges Tor, abschließbar, einflügelig, aus Metallgitter, vorgefertigt, im Bauzaun, Breite über 2,75 bis 3 m, Höhe über 1,75 bis 2 m, einbauen und ausbauen.;1,0;Stk;gaeb;Vergabeunterlagen/Version 1/26-07-21_ AA Montabaur_ Schadstoffsanierung_ 146314-008.x83
