Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Staubwand aus 12 mm OSB-Platten auf;200,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
2;Staubtüren b x h 100 x 200 cm,;4,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
3;Staubwandsystem;200,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
4;Demontage von Sanitärobjekten;28,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
5;Ausbau und Entsorgung;160,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
6;Schutz der fest verklebten Wandspiegel,;4,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
7;Ausbau und Entsorgung;35,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
8;Abbruch und Entsorgung;10,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
9;Abbruch und Entsorgung;35,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
10;Abbruch und Entsorgung;20,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
11;Abbruch und Entsorgung;60,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
12;Abbruch und Entsorgung;20,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
13;Demontage und Entsorgung;25,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
14;Abbruch und Entsorgung;30,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
15;Abbruch und Entsorgung;55,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
1;Schließen der Öffnungen;35,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
2;Zulage zur Post. 01;30,0;lfm;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
3;Mauerwerk wie Pos. 01,;10,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
4;Wandflächen Bestand gem. Vorbemerkungen behandeln:;60,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
5;Deckenanschlüsse der Bestandswände;20,0;lfm;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
6;Innenputz auf Wandflächen der Pos. 01;40,0;m2;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
7;Löcher in den Stb-Decken schließen: einschalen, Bausteifen stellen,;20,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
8;Rohrdurchführungen in den Wänden;25,0;St;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
9;Absturzsicherung als Tagessatz;2,0;d;gaeb;Vergabeunterlagen/GAEB Los 1 Abbruch und Innenausbau.X83
