Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Dokumentarische Aufnahme des Ist-Zustandes der vorhandenen Au;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
2;Beweissicherung;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
3;Baustromanschluss bis 120A durch VNB herstellen lassen. Baustromz;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
4;Baustromverteiler DIN EN 61439-4 (VDE 0660-600-4), als Anschlussverteilerschrank, mit Ber;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
5;Mietpreis Anschlussverteilerschrank pro Woche vorhalten inkl. monatliche Wiederholungspr;4,0;StWo;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
6;Bauwasseranschluss durch den;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
7;Anbindung an bauseits vorhandenen Anschluss der;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
8;Systemtrenner BA;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
9;Bauwasserverteiler f;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
10;Bauzaun aus mobilen Stahlrahmenelementen mit Rund -stahlf;50,0;m;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
11;Bauzaun gem;100,0;mMt;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
12;Kontrolle der Bauzaunstellung.;4,0;Wo;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
13;Liefern, Aufstellen, Vorhalten und R;1,0;paus;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
14;Liefern, Aufstellen, Vorhalten und R;1,0;paus;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
15;Ber;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
16;Liefern und Herstellen einer staubdichten Schutzwand aus Holzunterkonstruktion mit doppellagiger PE-Folie bzw. OSB Beplankung einschlie;25,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
17;Abdecken s;150,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
18;Herstellen von Schutzverschalungen einschlie;9,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
19;Vorhalten von Kettenz;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
20;Liefern, Einrichten, Vorhalten, Umsetzen eines Minikrans/Raupenkrans w;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
21;Fotografische Erfassung des gesamten Arbeitsbereiches vor Beginn der Bauarbeiten einschlie;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
22;Erstellen einer vollst;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
23;Einrichten s;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
24;Aufnahme aller f;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
25;Digitale Rissmonitore liefern, montieren, nummerieren und dokumentieren.;15,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
26;Ersch;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
27;Messungen w;10,0;Std;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
28;Pr;1,0;paus;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
29;Zus;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
30;Vollst;1,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
1;Abbau und seitliche Lagerung der bestehenden Gel;2,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
2;Verf;3,9;m³;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
1;Ersch;2,0;m³;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
2;Manuelle Reinigung freigelegter Fundament-, Naturstein- und Mauerwerksoberfl;22,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
3;Herstellen der f;5,0;m³;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
4;Verdichtung der Arbeitsraum- und Sohlenbereiche mit geeigneten handgef;20,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
5;Sicherung kleiner Arbeitsr;25,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
6;Herstellen einfacher tempor;10,0;m²;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
7;Herstellen und Vorhalten einfacher Zugangseinrichtungen zu den Arbeitsr;1,0;psch;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
8;Tempor;15,0;m;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
9;Abschnittsweise Aufnehmen statisch freigegebener Mauerwerksbereich am Pfeilerfu;2,5;m³;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
10;Reinigen loser und gesch;30,0;m;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
1;Liefern und Einbauen von Edelstahlankern M12 zur Sicherung der Giebelwand einschlie;7,0;St;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
2;Liefern und Montieren von Windrispenband 80/2,0 einschlie;42,0;m;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
3;Herstellen der konstruktiven Anschl;1,0;paus;gaeb;Vergabeunterlagen/20_2026-08-11_60-2026-07-01_LV_geändert.X83
