Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Wandaufbauschrank für die Innenraummontage mit VDE-Gutachten (Fertigungsüberwachung);1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
20;Sammelschienenbaustein mit Sammelschienenträger zum Aufbau einer Niederspannungsverteilung;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
30;Reihenklemmen- oder REG-Geräte Baustein;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
40;Reihenklemmen- oder REG-Geräte Baustein mit Hutschiene;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
50;Leerbaustein als Platzreserve;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
60;Leerbaustein als Platzreserve zum Aufbau einer Niederspannungsverteilung;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
70;Tragschienen aus profiliertem und verzinktem Stahlblech.;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
80;PE/N-Schienenträger zur Befestigung von Sammelschienen mit einer Breite/Dicke von 12mm.;3,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
90;Sammelschienen zum Schrankeinbau.;5,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
100;Blindabdeckung für D-Reiter-Sicherungsunterteile;5,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
110;Abschottung für Sammelschienenträger 60mm;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
120;Elektro-Installationskanal-System Rangierkanal aus Kunststoff,;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
130;Isolierstoffgekapselte Niederspannungs-Schaltgerätekombination in Kastenbauform nach IEC 61439 -2 für Wandaufbau.;1,0;2;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
140;Lasttrennschalter für die Montage auf Hutschiene;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
150;Überspannungsableiter vom Typ 2 in 3+1-Schaltung,;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
160;D0-Sicherungslasttrennschalter dreipolig schaltbar für D02 Sicherungen,;5,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
170;D0-Sicherungslasttrennschalter dreipolig schaltbar für D02 Sicherungen,;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
180;Fehlerstrom-Leitungsschutzschalter nach DIN EN61009-1 (VDE 0664-20) und DIN EN 61009-2-1 (VDE 0664-21). Berührungsschutz nach DIN VDE 0660 Teil 514. Bi-Connect-Klemmen unten, blaue Test-Taste und Fehlerstromanzeige. Einfache Entnahme aus dem Phasenschienenverbund. Mit VDE Zeichen. Geeignet zum nacht;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
190;Fehlerstrom-Leitungsschutzschalter nach DIN EN61009-1 (VDE 0664-20) und DIN EN 61009-2-1 (VDE 0664-21). Berührungsschutz nach DIN VDE 0660 Teil 514. Bi-Connect-Klemmen unten, blaue Test-Taste und Fehlerstromanzeige. Einfache Entnahme aus dem Phasenschienenverbund. Mit VDE Zeichen. Geeignet zum nacht;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
200;"Fehlerstrom-Schutzschalter (FI) nach EN 61008-1, DIN EN 61008-2-1; VDE 0664 Teil 10 + 11,";2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
210;Leitungsschutzschalter DIN EN 60898-1 (VDE 0641-11), als Reiheneinbaugerät, Maße DIN 43880, fingersicher DIN EN 50274 (VDE 0660-514),;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
220;Leitungsschutzschalter DIN EN 60898-1 (VDE 0641-11), als Reiheneinbaugerät, Maße DIN 43880, fingersicher DIN EN 50274 (VDE 0660-514),;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
230;Energiezähler zur 4-Quadrantenmessung;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
240;Genauigkeitsklasse: 1;3,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
250;Plantasche, Stahlblech, mit Befestigungsschrauben für;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
260;Plantasche, Klarsicht, DIN A4, selbstklebend;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
270;Nennstrom: 160A;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
280;Nennstrom: 100A;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
290;Bemessungsspannung: 230 V;24,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
300;Bemessungsspannung: 230 V;5,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
310;Bemessungsstrom In: 57 A;12,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
320;Bemessungsstrom In: 57 A;4,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
330;Bemessungsstrom In: 57 A;4,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
340;Abdeckstreifen für Verteilerfeld.;4,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
350;Warnzeichen Warnung vor elektrischer Spannung.;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
10;Spannungsfreischalten Energievertieilung für Anpassungsarbeiten;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
20;Leitungsanschluss,;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
30;Leitungsanschluss,;4,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
40;Leitungsanschluss,;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
50;Leitungsanschluss,;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
60;Leitungsanschluss,;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
70;Leitungsanschluss, 1x6 mm²;12,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
80;Leitungsanschluss, 1x16 mm²;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
90;Leitungsanschluss,  Leiterquerschnitt bis 7x1,5 mm²;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
100;Leitungsanschluss,  Leiterquerschnitt bis 5x2,5 mm²;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
110;Leitungsanschluss,  Schwachstrom- und Steuerleitungen bis 4x2x0,8mm;1,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
10;Datenanschlussdose,;6,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
20;Verbindungsdose,;5,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
30;Potentialausgleichsschiene R15 Ausführung C;2,0;St;gaeb;Vergabeunterlagen/LV_Betriebshof-Friedhof-PV_20260327.x83
