Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Einrichten, Vorhalten über die Leistungszeit sowie Räumung der Baustelle und Verunreinigungen, mit folgenden in den Pauschalpreis einzurechnenden Leistungen:;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
2;Mieten eines Sanitärcontainers für einen Zeitraum bis zu 30 Tagen inkl. allen nötigen Anschlüssen.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
3;Mieten eines Aufenthaltscontainer für einen Zeitraum bis zu 30 Tagen.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
4;Der zu sanierende Bereich ist während der gesamten Bauzeit durch geeignete Staubschutzwände, Staubschutzfolien und Teleskopstangensysteme vollständig von den weiterhin genutzten Gebäudebereichen abzuschotten. Sämtliche Ein- und Ausgänge des Sanierungsbereiches, die für den Personenverkehr genutzt we;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
5;Ventilator mit Kombiverteiler und Schläuche, 2 stk.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
6;Um eine Verbreitung mikrobiell belasteter;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
7;Schutzausrüstung der Mitarbeiter für den gesamten Zeitraum des Rückbau und des schimmelbehafteten Rückbau;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
8;Bauschuttrutsche einschließlich Staubschutz, komplett;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
1;Rückbau Abhangdecken einschließlich Einbauten;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
2;Rückbau Wandfliesen einschließlich Untergrund bis Rohbau;265,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
3;Zulage Rückbau Wandfliesen an zylinderförmiger Stütze;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
4;Rückbau Wandfliesen in Fensterlaibungen;35,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
5;Rückbau Wandputz bis Rohbau;115,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
6;Rückbau Putz in Fensterlaibungen;10,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
7;Zulage für Leitungserkundung und erschwerten Rückbau an Wandflächen;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-28_ AA Iphofen_ Abbruch_ 171142-008.x83
