Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Allgemeine Baustelleneinrichtung liefern, aufstellen und betriebsfertig einrichten, inkl. aller für den Baubetrieb notwendigen Anlagen unter Einbeziehung aller Lade- und Frachtkosten.;1,0;psch;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
20;Vorhalten und Betreiben der gesamten Baustelleneinrichtung gemäß vorstehender Position über die geplante Bauzeit.;6,0;Wo;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
30;"Einholen aller erforderlichen Schachterlaubnisscheine bei den zuständigen Versorgungsträgern; anfallende Gebühren werden auf Nachweis gesondert durch den AG erstattet; einschließlich ggf. erforderlicher Abstimmungen mit den Eigentümern/Versorgungsträgern inkl. aller notwendigen Ortstermine; Vorhalte";1,0;psch;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
40;20-Fuß-Sanitär- und WC-Container (ca. 6 m x 2,5 m x 2,6 m) liefern und einrichten.;1,0;psch;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
50;Container gemäß Position 1.1.040 warten und betreiben, einschließlich aller Anschluss- und Verbrauchskosten.;6,0;Wo;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
60;Abwasserbehälter mind. 10 m³ zur Sammlung der Abwässer aus dem Sanitärcontainer und der Baustelleneinrichtung aufstellen, vorhalten, instandhalten u. nach Abschluss der Baumaßnahme entfernen.;1,0;psch;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
70;Herstellen einer ausreichend dimensionierten Baustromversorgung (z. B. Stromaggregat) und Vorhalten während der geplanten Bauzeit für alle Stromabnehmer, bestehend aus:;1,0;psch;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
80;Liefern und Verlegen eines Geotextils als Trennlage GRK 3, min. 300 g/m² auf der GOK. Das Textil ist an den Stößen mit einer Überlappung von >= 50 cm einzubauen und muss über die Randbereiche des Mineralgemischs ebenfalls >= 50 cm überstehen (A=600 m²).;560,0;m²;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
90;Nach Abschluss der Maßnahme Rückbau der Schottertragschicht und des Geotextils und fachgerechte Entsorgung/Verwertung.;560,0;m²;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
100;Vorbereitung der anzusäenden Rasenflächen durch Vertikutieren und Profilierung der Flächen. Rasen ansäen mit gebietseigenem Saatgut als Trocken-Ansaat DIN 18918, Saatverfahren SD (Saatgut mit Düngemittel) DIN 18918, Regiosaatgutmischung, RSM Regio 7.2.2 Landschaftsrasen - Trockenlagen mit Kräutern, ;600,0;m²;gaeb;Vergabeunterlagen/C_mit Angebot einzureichen/260713-LV Zaunbau Neudietendorf.x83
