Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Bauzaun;300,0;m;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
2;Bauzaun;14400,0;mWo;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
3;Baustellenschilder;5,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
4;Verschließbare Baustellentore;2,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
5;Bauzaun;50,0;m;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
6;Bauzaun;300,0;m;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
7;Stundenlohnarbeiten Facharbeiter einschl. aller Nebenkosten, wie Auslösung, Fahr- und Wegegeld, Unternehmerzuschlag etc.;10,0;h;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
8;Stundenlohnarbeiten Helferstunden einschl. aller Nebenkosten, wie Auslösung, Fahr- und Wegegeld, Unternehmerzuschlag etc.;10,0;h;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
9;Antrag auf Straßensperrgenehmigung;1,0;psch;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
10;Verkehrslenkungs- und Wegweisertafel;5,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
11;Lieferung und Verlegung von;60,0;m2;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
13;Bäume einschließlich aller Wurzeln beseitigen und entsorgen.;2,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
14;Roden von Bewuchs;40,0;m2;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
15;Schutz des Wurzelbereiches und der Stämme von Großgehölzen und Bäumen vor Druckschäden für befristete Belastung durch Befahren,;2,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
16;Humoser Oberboden der Vegetationsflächen in ganzer Dicke abtragen;120,0;m3;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
17;Brechkornmineralgemisch 0/45,;80,0;m3;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
18;Provisorische;460,0;m2;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
1;Baustrom-Verteilerschrank mit Messung entsprechend der Forderungen des Energie-Versorgers und der aktuellen Vorschriften für Baustellensicherheit.;1,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
2;Gebrauchsüberlassung des vorbeschriebenen;14,0;Mona;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
3;Baustrom-Endverteilerschrank;1,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
4;Gebrauchsüberlassung des vorbeschriebenen Verteilerschrankes mit Messungen/Wartungen,;56,0;St W;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
5;Baustromverteiler DIN VDE 0612 als Leihschrank,;1,0;St;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
6;Gebrauchsüberlassung des vorbeschriebenen Verteilerschrankes mit Messungen/Wartungen,;56,0;St W;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
7;Schwere Gummischlauchleitung gemäß;20,0;m;gaeb;Vergabeunterlagen/Blankett zum Los 1 BE_Rohbau_2024-14 Kita Tucheim_09.07.26_V32.X83
