Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur vertragsgemäßen Durchführung der Bauleistungen erforderlich sind, auf die Baustelle bringen, bereitstellen und - soweit der Geräteeinsatz nicht gesondert berechnet wird - betriebsfertig aufstellen einschl. der dafür notwendigen Arbeiten. Die erf;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
2;Baustelle von allen Geräten, Anlagen, Einrichtungen und dgl. räumen. Benutzte Flächen und Wege entsprechend dem ursprünglichen Zustand unter Wahrung der landschaftspflegerischen Belange ordnungsgemäß herrichten. Verunreinigungen beseitigen. Soweit nicht für bestimmte Leistungen (z.B. Bedarfsleistung;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
3;Fußgängerbrücke zur Aufrechterhaltung des Fußgängerverkehrs liefern, aufbauen und während der gesamten Bauausführung vorhalten.;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
4;wie Vorposition, jedoch umsetzen.;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
5;Stahlplatte zur Aufrechterhaltung des Fahrzeugverkehrs liefern, aufbauen und während der gesamten Bauausführung vorhalten.;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
6;wie Vorposition, jedoch umsetzen.;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
7;Rampen, Auffüllungen in ausgekofferten Bereichen usw. für die;20,0;m³;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
8;TP-Punkt sichern, einmessen, ausbauen, seitlich lagern und nach Fertigstellung der Straßenbauarbeiten wieder setzen. Die Einmessung muss durch einen Vermessungsingenieur erfolgen.;3,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
9;Verkehrssicherung entlang der Baustelle und aller zugehörigen;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
10;Beweissicherung durch einen öffentlich bestellten Gutachter;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
11;Hin- und Rücktransport der Abfallbehälter bzw. Abfallsäcke zum zentralen Sammelpunkt (wird vom AG benannt).;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
1;Pfosten liefern und nach Vorgabe des AG fachgerecht montieren einschl. Fundamentarbeiten und bauseits gestelltes Infoschild zur Baumaßnahme (Größe: A0) anbringen inkl. Lieferung entsprechendes Montagematerial;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
2;Vorh. Sraßenbeleuchtung während der Bauphase sichern einschließlich aller anfallenden Materialien und Arbeiten. Sicherungsmaterial vorhalten und nach Beendigung der Baumaßnahme rückstandslos entfernen, wieder in Eigentum des AN übernehmen und von der Baustelle entfernen.;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
3;Vorh. Betonmast (Strommast) während der Bauphase sichern einschließlich aller anfallenden Materialien und Arbeiten. Sicherungsmaterial vorhalten und nach Beendigung der Baumaßnahme rückstandslos entfernen, wieder in Eigentum des AN übernehmen und von der Baustelle entfernen.;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
4;Sicherung der Armaturen während der Bauzeit mit Schachtring, DN 1000 oder ähnlichem,;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
5;Auf der Grundlage der vom Ingenieurbüro übergebenen Absteckungsunterlagen und der Lage derHöhenfestpunkte:;1,0;PSCH;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
6;Schutz für Baumstamm herstellen;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
7;Position wie vor, jedoch:;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
8;Position wie vor, jedoch:;3,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
9;Paralleles Arbeiten zu erdverlegten Leitungen im Bereich der Fahrbahn sowie in den angrenzenden Bereichen,  einschließlich;100,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
10;Abhängungen und Sicherungsmaßnahmen im Bereich kreuzender Versorgungsleitungen (Kanäle, Trinkwasser, Gas).;3,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
11;Abhängungen und Sicherungsmaßnahmen im Bereich kreuzender Kabel (Nieder-, Hoch- und Mittelspannungskabel Elt-Versorgung).;5,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
1;Die Wurzelstöcke bereits gefällter Bäume freilegen, roden und in einer dafür geeigneten Deponie ablagern/entsorgen.Die anfallenden Deponiegebühren sind einzurechnen.;5,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
2;Vorh. Fahrbahn mittels geeignetem Schneidgerät einschneiden.;19,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
3;Asphaltdecke mit pneumatischen / hydraulischen Werkzeugen fräsen/abbrechen;634,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
4;Plasterdecke aus Großpflaster aufnehmen und entsorgen;768,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
5;Betonsteinpflasterdecke aufnehmen und schadlos entsorgen.;31,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
6;Oberboden ggf. einschließlich Vegetationsdecke abtragen und lagern. Ansaat und Mähen einer Decksaat werden gesondert vergütet.;400,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
7;Boden aus Abtragsbereichen profilgerecht lösen, getrennt aufnehmen, laden, transportieren und schadlos von der Baustelle entfernen.;600,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
8;Boden aus Abtragsbereichen profilgerecht lösen, getrennt aufnehmen, laden, transportieren und schadlos von der Baustelle entfernen.;300,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
9;Boden als Handschachtung für Suchgräben ausheben zur Freilegung von Kabeln und Rohrleitungen nach Abtrag des Oberbodens bzw. der Oberflächenbefestigung.;50,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
10;Boden für Suchgraben ausheben als  Handschachtung zur Freilegung von Kabeln und Rohrleitungen, nach Abtrag des Oberbodens bzw. der Oberflaechenbefestigung,;10,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
11;Baugrundverbesserung;280,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
1;Planum herstellen und verdichten.;1520,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
2;Frostschutzschicht hestellen in Verkehrsflächen der Belastungsklasse Bk 1,0 einbauen und verdichten.;470,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
3;Shottertragschicht herstellen.in Verkehrsflächen der Belastungsklasse Bk 1,0 einbauen und verdichten.;185,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
4;Schottertragschicht herstellen.in Verkehrsflächen;8,0;m3;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
5;Asphalttragschicht AC 32 TN;900,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
6;Zulage Handeinbau Asphalttragschicht AC 32 TN;100,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
7;Verschmutzte bituminöse Flächen mit Kehrmaschinen bzw. bei kleineren Flächen von Hand reinigen. Das Kehrgut geht in Eigentum des AN über und ist schadlos zu beseitigen. Die Fläche ist bei Bedarf vor dem Reinigungsgang zu wässern.;800,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
8;Asphaltdeckschicht liefern und einbauen.;800,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
9;Handeinbau Asphaltdeckschicht;100,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
10;Oberfläche (Asphaltdeckschicht) absanden.;800,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
11;Oberfläche (Asphaltdeckschicht) absanden.;100,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
12;Straßenfläche kehren;900,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
13;Vorhandene Asphaltbefestigung mittels geeignetem Schneidgerät 4-6 cm tief einschneiden.;230,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
14;Geschnittenen Fugenspalt in bituminösen Flächen mit geeigneter Vergussmasse heiß vergießen. Das Primern der Kontaktflächen ist als Nebenleistung mit auszuführen.;230,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
15;Schachtdeckel auf Höhe setzen;1,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
16;Armaturen auf Höhe setzen.;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
17;Einbaugarnitur für Erdeinbau, höhenverstellbar;2,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
18;Hochbordstein liefern und einbauen;60,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
19;Wie Vorposition, aber auf Lücke setzen.;75,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
20;Beton-Absenksteine liefern und nach DIN 18318 fachgerecht setzen:;6,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
21;Rundbordstein liefern und einbauen;66,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
22;Tiefbordsteine 8/25, 1,0 m lang;150,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
23;ZB-Dehnscheibe aus Neukautschuk- Recyclingmaterial, fest eingepresst einbauen, einschl. liefern;41,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
24;Raumfuge durch gesamte Bordanlage (Bordstein, gegebenenfalls einschl. Bordrinne, Rückenstütze und Betonunterbettung) herstellen,;41,0;St;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
25;Betonsteinpflasterdecke herstellen inkl. liefern;53,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
26;Betonsteinpflasterdecke herstellen inkl. liefern.;185,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
27;Betonsteinpflasterdecke herstellen inkl. liefern.;144,0;m2;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
28;Pflastersteine auf Paßmaß trennen und zugearbeitete Steine an Kanten und Einfassungen bzw. an Aussparungen und Einbauten verlegen.;150,0;m;gaeb;Vergabeunterlagen/P+R-Platz Ditfurt.X83
