Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
2;Liefern, Herstellen, Vorhalten und Unterhalten aller;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
3;Liefern, Montieren, Vorhalten und nach Abschluss der;8,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
4;Herstellen eines temporären, witterungsbeständigen;105,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
1;Fachgerechte Demontage der bestehenden Fassadenpaneele;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
2;Fachgerechte und beschädigungsfreie Demontage des;56,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
3;Herstellen des neuen Befestigungssystems für das;9,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
4;Fachgerechte Demontage der vorhandenen;4,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
5;Fachgerechte Demontage der vorhandenen;4,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
6;Demontage der innenliegenden Abdeckungen der;55,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
7;Fachgerechte Demontage der bestehenden Fassadenelemente;105,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
8;Ausbau, Aufnahme, Zwischenlagerung, Abtransport und;165,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
1;Herstellung, Lieferung und Einbau von Fenstersystem;105,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
2;Liefern, montieren, anschließen, parametrieren und;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
3;Liefern, montieren, anschließen und betriebsbereit in;4,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
4;Liefern, montieren, anschließen und betriebsbereit in;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
5;Liefern, montieren, anschließen und betriebsbereit in;2,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
6;Liefern, montieren, anschließen und betriebsbereit in;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
7;Aluminiumwinkel (30/30/2 mm) als innerer Fenster- und;160,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
8;Aluminiumwinkel (30/30/2 mm) als innerer Fenster- und;160,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
1;Erstellen und Vorlegen der vollständigen prüffähigen;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
2;Werkplanung ist die Umsetzung der Ausführungsplanung;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
3;Arbeiten, welche nicht in den Positionen erfasst sind;8,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
4;Arbeiten, welche nicht in den Positionen erfasst sind;8,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
5;An- und Abfahrtspauschale des Montagetrupps einschl.;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-07-29_ aa gelsenkirchen_ metallbau_ 159840-009.x83
