Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;"Einrichten, Gerätevorhaltung, örtliches Umsetzen und Räumen der Baustelle (im Sinne der VOB/C, Abs. 4.1) für sämtliche nachfolgend aufgeführten Leistungen, inkl. aller erforderlichen Arbeits- und Gesundheitsschutzmaßnahmen; außerdem für die nachstehend beschriebenen Leistungen (innen und außen):";1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
2;"innenliegendes Verschattungssystem aus Vertikallamellen (Poly­estervlies) an stranggepressten Aluminiumschienen in  verschiedenen Längen an Wandkonsolen (Stahlwinkel) demontieren und entsorgen; Führungsschiene inkl. Befestigungsmittel ausbauen und sortenrein entsorgen";6,0;m;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
3;"Vertikale Bohrung durch das Rahmenbrett und den Mauer­werks­sturz der Kasten­fenster und Durch­führung der Strom- und Steuer­kabel für die nachfolgend beschriebenen Rollos;";17,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
4;"elektrisch angetriebenes Innenrollo ohne Kasten mit einem von außen blickdichten Behang mit Aluminiumendstab, im Fenster­zwischenraum montieren; inkl. Befesti­gungselemente (Rollo­halter und Dübeldurchsteckmontage durch 30mm Sturzbrett)";12,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
5;"Sonnenschutzsteuerung je Raum bzw. für 2 Behänge für eine zentrale und raum­weise Bedienung gemäß Vor­bemerkungen; inkl. system­zu­ge­hörigem Steuer­gerät (bedarfsweise inkl. Netzteil); Installation auf dem Sturz und dem Mauerwerk im Bereich des Oberlichts (siehe Foto Bestands­fenster);";6,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
6;"systemzugehöriger Funkhandsender für die vorbe­schrie­benen Funk­motoren und Steuerung der Sichtschutzrollos;";8,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
7;"Einrichtung aller Sichtschutzsteuerungen durch Herstellung der Verbindungen der Handsender und Motorfunkempfänger, Zu­ordnung der Kanäle; raumweise Kopplung der Rollos ,";1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
8;sinngemäß wie Sichtschutzrollo jedoch;5,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
9;"Steuerung für 3 vorbe­schriebene Verdunkelungsrollos; für eine zentrale und raum­weise Bedienung gemäß Vor­bemerkungen; inkl. system­zu­ge­hörigem Steuer­gerät (bedarfsweise inkl. Netz­teil); Installation auf dem Sturz und dem Mauerwerk im Bereich des Oberlichts (siehe Foto Nachbau­fenster); inkl. L";1,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
10;wie vor, jedoch für 2 vorbe­schriebene Verdunkelungsrollos;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB AA Dessau-Rosslau - Sonnenschutz - 173055-051.x83
