Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelleneinrichtung herstellen,;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
20;Baustelleneinrichtung vorhalten, unterhalten und betreiben.;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
30;Räumen der Baustelle von allen Geräten,;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
40;Verkehrsflächen zur Aufrechterhaltung des öffentlichen;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
50;Absperrung herstellen.;3,0;St;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
60;Reguläre Beschilderung der Baustelle selbst, erforderl. Sicherungen, Absperrungen und Beleuchtung, einschl. deren Unterhalt. Beschilderung aufstellen, vorhalten, unterhalten und wieder abbauen. Die Position gilt für die gesamte vertragliche Bauzeit.;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
70;Bereitstellungsfläche herrichten, betreiben und;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
80;Bau- bzw. Schutzzaun einschließlich Eckpfosten und;25,0;m;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
90;Absperrung herstellen inkl. Fußplatten, nach Erfordernis an Stellen wie offenen Baugruben etc., um den Fußgängerverkehr zu sichern.;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
100;Stählerne Behälter mit dichter Abdeckung für Abfall;5,0;d;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
110;Fußgängerbrücke mobil herstellen, unterhalten, umsetzen und abbauen, Fußgängerbrücke zum fußläufigen Überqueren von Gräben / Gruben bei Zugängen, Brücke aus Holz oder Metall, Belag rutschfest, z. B. Riffelblech, beidseitig Geländer, Breite ca. 80 cm.;20,0;St;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
120;Einholung der Graberlaubnis durch den AN vor Beginn der;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
130;Durchführung der Lagebestimmung von allen Erdkabeln,;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
140;Information der Anlieger durch den AN, z. B. durch Wurfzettel und Aushang etc.;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
150;Bestandsunterlagen in digitaler Form nach;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
160;Aufwandsvergütung für getrennte Aufmaß- und;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
170;Vorankündigung gemäß Baustellenverordnung;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
180;Sicherheits- und Gesundheitsschutzplan;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
190;Sicherheits- und Gesundheitsschutzunter-;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
200;Koordinierung der Belange der Arbeits-;15,0;d;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
10;Vermessungsarbeiten für die Absteckung von Bauteilen nach Unterlagen des AG einschließlich aller Geräte- und Personalkosten durchführen.;1,0;psch;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
20;Gebundenen Oberbau aufbrechen und auf-;3,5;m3;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
30;Asphaltoberbau geradlinig trennen;35,0;m;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
40;Im Bereich von Leitungsgräben den bituminösen Oberbau in anstehender Dicke nach dem Einbau der ungebundenen Tragschicht nach ZTVA-StB nachschneiden und ausbauen, Asphaltverwertungsklasse A, Asphaltdicke bis 20 cm, bestehend aus Trag- und/oder Deckschichten.;35,0;m;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
50;Vorhandene Unterlage reinigen.;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
60;Schichtenverbund durch Ansprühen der Unter-;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
70;Zulage zu Schichtenverbund herstellen;10,0;m;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
80;Frostschutzschicht (FSS) herstellen,;10,0;m3;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
90;Asphalttragschicht aus Asphalttragschichtmischgut;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
100;Asphaltdeckschicht aus Asphaltbeton AC 8 D S;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
110;Abstumpfung maschinell herstellen.;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
120;Straßenfläche mit einer selbstaufnehmenden Kehr-;25,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
130;Anschluss an bestehende Decken oder Bauteile in der;35,0;m;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
140;Verbau für Gräben und Schächte nach DIN 18303 und 4124;1250,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
150;Verbau aus Stahlspundbohlen für Baugruben von Schächten und dgl. bei besonderen Anforderungen herstellen und beseitigen.;10,0;m2;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
160;Boden der Homogenbereiche B1-B3 gem. DIN 18300 für Rohrgräben, Schächte, Baugruben usw. senkrecht ausschachten, laden, zur Zwischenlagerfläche fördern und in Haufwerken abladen, Transportentfernung bis ca. 1000 m, Selektion der Böden bereits an der Entnahmestelle, ggf. auch in Schichten bei Belastun;810,0;m3;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
170;"Zulage zum Rohrgrabenaushub wie vor beschrieben, für Homogenbereich X1, schwer lösbarer Fels, sonst wie in der Position ""Rohrgrabenaushub"" der Homogenbereiche B1-B3 beschrieben.";10,0;m3;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
180;Erschwerniszulage zum Rohrgrabenaushub, für das;1,0;St;gaeb;Vergabeunterlagen/2026-4_1_AUSBAU DER LORENZENGASSE UND LEHMGRUBENGASSE.X83
