Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.10;Runddraht V4A 10 mm;50,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.20;Oberleitung, Rd 8 mm, AIMgSi;300,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.30;Ableitung Rd 8 AIMgSi auf der Fassade;100,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.40;Ableitung Rd 8 AIMgSi mit Isolierung;100,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.50;Trennstellenkasten;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.60;Trennklemmen;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.70;Auffangstange, rd 16 mm AIMgSi;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.80;Überbrückungsseil;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.90;Dachrinnenklemme, AI;10,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.100;Falzklemme, verzinkt;50,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.110;KS-Verbinder 8/10 mm, St/tZn, einfach;30,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.120;Trägeranschlußklemme, St/tZn;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.130;Verbinder, aus Aluminium M10, für Rd 8;25,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.140;Regen- und Dunstrohrschelle mit Sicke;25,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.150;Regen- und Dunstrohrschelle;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.160;Wandstütze, 8/16 mm, VA;60,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.170;Dachleitungshalter, Flachdach;220,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.180;Anschlußlasche, Alu, 30x3 mm;50,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.190;Überbrückungslasche;50,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
1.200;Fangspitze, rd 10 mm;35,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.10;Fundament- / Ringerder, Rd 10 mm Edelstahl V4A;400,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.20;Verbinder, Rd 10/10 mm, V4A-Stahl;25,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.30;Korrosionsschutzbinde;25,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.40;Erdgraben;50,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.50;Prüfkupplung/Trennstelle, Niro;12,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.60;Nummernschilder;12,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.70;Potential-Ausgleichsschiene, 10x2,5-95 mm²;7,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.80;Einzelader, 50 mm², anklemmen;7,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.90;Halter für Erdeinführungen 10-16 mm;24,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.100;Mauerdurchbruch, bis 60 cm Wandstärke;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.110;Mauerdurchführung für Erder;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.120;Verbindung zwischen der Erdungsanlage und der HPA;3,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.130;Anschlußfahne, Rd 10 mm, V4A;7,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.140;U-Verbinder als Stangenanschluß;7,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.150;Tiefenerder, NIRO, Rd 20 mm, komplett mit Schlagspitze,;4,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.160;Erdeinführungsstange, Rd 16 St/tZn;12,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.170;Montagegrube für Tiefenerder / Erdeinführung;16,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.180;Potentialleiter;270,0;m;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.190;Kreuzverbinder, FI. 30 / Rd 10 mm, St/tZn;30,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.200;Armierungs-Klemme;220,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.210;Verbindung Ringerder zum Potentialleiter im Beton;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.220;Dichtmanschette;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.230;Schutzkappe aus Kunststoff für Anschlußfahnen;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
2.240;Dehnungsband VA mit Styroporblock;15,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
3.10;Messen und Prüfen der Blitzschutzanlage / Potenzialausgleich;1,0;psch;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
3.20;Messen und Prüfen der Erdungsanlage;1,0;psch;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
3.30;Blitzschutz-Prüfbuch;1,0;Stk;gaeb-flat;Vergabeunterlagen/LV_NBB-2026-0324.D83
10;Runddraht V4A 10 mm;50,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
20;Oberleitung, Rd 8 mm, AIMgSi;300,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
30;Ableitung Rd 8 AIMgSi auf der Fassade;100,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
40;Ableitung Rd 8 AIMgSi mit Isolierung;100,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
50;Trennstellenkasten, Ausführung PVC;2,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
60;Trennklemmen;2,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
70;Auffangstange, rd 16 mm AIMgSi;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
80;Überbrückungsseil;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
90;Dachrinnenklemme, AI;10,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
100;Falzklemme, verzinkt;50,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
110;KS-Verbinder 8/10 mm, St/tZn, einfach;30,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
120;Trägeranschlußklemme, St/tZn;5,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
130;Verbinder, aus Aluminium mit Niroschraube M10, für Rd 8;25,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
140;Regen- und Dunstrohrschelle mit Sicke;25,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
150;Regen- und Dunstrohrschelle;5,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
160;Wandstütze, 8/16 mm, VA Clip;60,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
170;Dachleitungshalter, Flachdach;220,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
180;Anschlußlasche, Alu, 30x3 mm;50,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
190;Überbrückungslasche;50,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
200;Fangspitze, rd 10 mm;35,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
10;Fundament- / Ringerder, Rd 10 mm;400,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
20;Verbinder, Rd 10/10 mm, V4A-Stahl;25,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
30;Korrosionsschutzbinde;25,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
40;Erdgraben;50,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
50;Prüfkupplung/Trennstelle, Niro;12,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
60;Nummernschilder;12,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
70;Potential-Ausgleichsschiene, 10x2,5-95 mm²;7,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
80;Einzelader, 50 mm², anklemmen;7,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
90;Halter für Erdeinführungen 10-16 mm;24,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
100;Mauerdurchbruch, bis 60 cm Wandstärke;5,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
110;Mauerdurchführung für Erder;2,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
120;Verbindung zwischen der Erdungsanlage und der HPA;3,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
130;Anschlußfahne, Rd 10 mm, V4A;7,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
140;U-Verbinder als Stangenanschluß;7,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
150;Tiefenerder, NIRO, Rd 20 mm, komplett mit Schlagspitze,;4,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
160;Erdeinführungsstange, Rd 16 St/tZn;12,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
170;Montagegrube für Tiefenerder und Erdeinführung;16,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
180;Potentialleiter;270,0;m;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
190;Kreuzverbinder, FI. 30 / Rd 10 mm, St/tZn;30,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
200;Armierungs-Klemme;220,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
210;Verbindung Ringerder zum Potentialleiter im Beton;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
220;Dichtmanschette;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
230;Schutzkappe aus Kunststoff für Anschlußfahnen;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
240;Dehnungsband VA mit Styroporblock;15,0;Stk;gaeb;Vergabeunterlagen/LV_NBB-2026-0324.X83
