Pos.;Leistung;Menge;Einheit;Quelle;Datei
00000001;Baustelle einrichten Sämtl.LV-Abschn.*Zufahrt vorh.;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
00000002;Baustelle räumen Sämtl. LV-Abschn.;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
00000003;Säuberung von Fahrbahnen;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
00010001;Bauvermessung durchführen;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
00010002;Deckenbuch erstellen;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
00020001;Fräsgutanalyse Deck-, Binder- und / oder Tragschicht;5,0;St;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01000001;Erst. d. Verkehrskonzeptes;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01000002;Einholen der Verkehrsrechtlichen Anordnung;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01000003;Verteilung Anwohnerinformation bis 12 Haushalte;1,0;Psch;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01010001;Deaktivieren VZ und Wegweiser;30,0;St;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020001;VZ n. Detailplan aufstellen, betr. u. abbauen - 1 VZ am Schilderpf. bis 3 Fußplatten bzw. K3;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020002;VZ n. Detailplan aufstellen, betr. u. abb. - 1 bis 2 VZ am Schilderpf. inkl. Fußplattentr. bis K6;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020003;VZ n. Detailplan aufstellen, betr. u. abb. - 1 bis 3 VZ am Schilderpf. inkl. Fußplattentr. lange Bauform größer K6 bis 2 x K9;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020004;VZ n. Detailplan aufstellen, betr. u. abb. - 1 VZ bis 0,60 m2 Fläche am Schilderpf. - Erdanker / Einschlagfuß;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020005;VZ Plantafel n. Detailplan herst., aufstellen, betreiben und abbauen Fußplattenträger lange Bauform bis 2 x K9;168,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01020006;VZ Zusatzzeichen n. Detailplan herst., anbringen, betr. u. abb. an vorh. Schilderpfosten;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01030001;Absperrschranke Typ RA2 Aufbau B;260,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01030002;Leitbaken doppelseitig Typ RA2 Aufbau B;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01040001;Warnleuchte WL1 Rotlicht auf Absperrschranke anbringen, betreiben, abbauen;400,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01040002;Warnleuchten WL2 Gelblicht auf doppelseitige Leitbake anbr., betr. u. abb.;280,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01050001;Transp. LSA f. Engstellen Typ C;28,0;Std;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
01060001;Kontrolle nach ZTV-SA durchf. Dok. mittels Echtzeitkontrollsystem;28,0;d;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02000001;Bankett im Randbereich d. Asphaltschichten abtragen;3700,0;m;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02010001;Längsmarkierung entfernen durchg.Fb.begr.*Breite 0,12 m Farbe*a.Asphaltdecksch. Deckenerneuerung*feinstfräsen Abf.d. Verw.zuf.;4030,0;m;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02010002;Längsmarkierung entfernen Leitlinie 1zu2*Breite 0,12 m ... Freitext ...*a.Asphaltdecksch. Deckenerneuerung*feinstfräsen Abf.d. Verw.zuf.;570,0;m;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02010003;Markierungszeichen entfernen sonst.Markierung*a.Asphaltdecksch. Deckenerneuerung*feinstfräsen Abf.d. Verw.zuf.;15,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02010004;Asphalt fräsen ... Freitext ...*... Freitext ... ... Freitext ...*Fahrbahn Fräsasph. verw.*Unebenheit 4 mm;12700,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02010005;Asphalt fräsen ... Freitext ...*... Freitext ... ... Freitext ...*Fahrbahn Fräsasph. verw.*Unebenheit 4 mm;3200,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02020001;Unterlage reinigen gefr. Asphaltsch.*lose Teile aufn. zus. Flächen*selb.aufn.Kehrm.;12700,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02020002;Unterl. reinigen gefr. Asphaltsch. mind. 2,30 m breite Hochdr.- Dreh-Jet-Wasch-Sauganlage;12700,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02020003;Unterlage reinigen gefr. Asphaltsch.*lose Teile aufn. Flächen 400 bis 600 m2 selb.aufn.Kehrm.;3200,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
02020004;Unterl. reinigen gefr. Asphaltsch. mind. 2,30 m breite Hochdr.- Dreh-Jet-Wasch-Sauganlage Flächen 400 bis 600  m2;3200,0;m2;gaeb-flat;Vergabeunterlagen/Version 1/20_07_2026_L172.D83
