Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Einrichten, Vorhalten und vollständiges Räumen der Baustelleneinrichtung für alle vertraglich vereinbarten Leistungen des AN für den 1. Bauabschnitt. Die Position umfasst sämtliche in der Leistungsbeschreibung aufgeführten Leistungen und Nebenleistungen, die zur ordnungsgemäßen uns sicheren Durchfüh;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
2;Liefern, fachgerechtes Auslegen und Befestigen von geeigneten, strapazierfähigen Schutzabdeckungen (z.B Malervlies, PE-Folie o.Ä.) auf den zu schützenden Fensterbänken im gesamten Arbeitsbereich des 1. BA, zur Vermeidung von Verschmutzungen, Kratzern und Beschädigungen während der gesamten Bauzeit.;100,0;m2;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
3;Liefern, Aufstellen, Vorhalten und Abholen eines geeigneten Abfallcontainers für den 1. BA zur Aufnahme von Abbruchmaterialien, Sperrmüll oder ähnlichen Baustellenabfällen wobei dem Auftraggeber freigestellt bleibt, die ausgebauten Materialien alternativ auch auf andere Weise fachgerecht und nachwei;1,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
1;Ausbauen, Ausbringen aus dem Gebäude und fachgerechtes, umweltschonendes Entsorgen von vorhandenen, innenliegenden Sicht- und Sonnenschutzanlagen (Bestandsjalousien) im 1. Bauabschnitt. Die Arbeiten haben unter Beachtung der geltenden Arbeitsschutz und Entsorgungsvorschriften zu erfolgen. Inklusive ;194,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
2;Nach der Demontage der alten Sonnenschutzanlagen sind alle bestehenden, für die Neumontage nicht mehr nutzbaren Befestigungslöcher und Bohrungen fachgerecht und dauerhaft zu verschließen und optisch anzugleichen.;388,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
1;Aluminium Jalousie, 25 mm, frei verschiebbar, betriebsfertig montieren, 100 cm x 120 cm, Typ Invidia IB252;192,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
2;Aluminium Jalousie, 25 mm, freiverschiebbar, betriebsfertig montieren, 70 cm x x 120 cm, Typ Invidia IB252;2,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
1;Bauendreinigung der vom Austausch im 1. Bauabschnitt betroffenen Bereiche. Die Leistung umfasst das spurenfreie Beseitigen von angefallenem Schmutz, Bohrstaub, Fingerabdrücken sowie eventuellen Klebe- und Silikonresten, direkt nach der Montage der neuen Sonnenschutzanlagen.;194,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
1;Einrichten, Vorhalten und vollständiges Räumen der Baustelleneinrichtung für alle vertraglich vereinbarten Leistungen des AN für den 2. Bauabschnitt. Die Position umfasst sämtliche in der Leistungsbeschreibung aufgeführten Leistungen und Nebenleistungen, die zur ordnungsgemäßen uns sicheren Durchfüh;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
2;Liefern, fachgerechtes Auslegen und Befestigen von geeigneten, strapazierfähigen Schutzabdeckungen (z.B Malervlies, PE-Folie o.Ä.) auf den zu schützenden Fensterbänken im gesamten Arbeitsbereich des 2. BA, zur Vermeidung von Verschmutzungen, Kratzern und Beschädigungen während der gesamten Bauzeit.;100,0;m2;gaeb;Vergabeunterlagen/Version 1/26-08-05_ GAEB HdBA Schwerin - Sonnenschutz - 171358-004.x83
