Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Der AN hat bei Auftragserteilung einen mit entsprechenden Vollmachten ausgestatteten Koordinator mit Ingenieur- oder vergleichbarer Ausbildung sowie einen ständigen mit ausreichenden Vollmachten versehenen Vertreter zu benennen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
20;Digitale Werkstatt - und Montageplanung prüffähig durch den;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
30;Digitale Ausführungszeichnungen für den Ersatz des Treppenlaufs als Grundlage für die Werkplanung für die Treppe prüffähig aufstellen, ggf. fortschreiben und zur Prüfung einreichen. Grundlage bilden die Unterlagen der Ausschreibung sowie das durch den AN durchzuführende Aufmaß.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
40;Elektrofachplanung für die Neuinstallation der  Treppenhausbeleuchtung inkl. Leitungsverlegung gem. DIN VDE und den anerkannten Regeln der Technik aufstellen. Planung der Anschlüsse, Leuchtenanordnung, Auslegung der Stromkreise, Planung der Schalt- und Steuerungstechnik mittels Tastern inkl. Erstell;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
50;Ausführungsstatik für CPC-Treppenlauf prüffähig aufstellen und zur Prüfung einreichen, inkl. Durchführung der stat. Prüfung.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
60;Fortschreibung der erstellten Statikunterlagen für die CPC-Elemente für eine ggf. erforderliche Einholung einer ZiE für die Treppenkonstruktion.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
70;Entwurf, Ausführungszeichnungen und Statik/Standsicherheits- nachweise für sämtliche Gerüste, Bauzustände und Baubehelfe, schwimmende Arbeitsebenen, Übergangs-/ Übergabekonstruktion Leitwerk, Sicherheitseinrichtungen, Kranstellfläche, jeweils unter Berücksichtigung des vom AN gewählten Gerätes etc. ;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
80;Bauzeitenplan mit einer Aufgliederung in Planung,;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
90;Baustelleneinrichtungsplan mit Darstellung;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
100;Konzepte inkl. Material und Personal gem. Baubeschreibung;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
110;Ausführungskonzept für Putz- und Spritzputzarbeiten;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
120;Betonierpläne gem. ZTV- W LB 219 für jede Betonage und Betoniertagebuch aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
130;Ausführungspläne für Mörtel- (RM) und Spritzmörtelarbeiten (SRM) gemäß ZTV-W LB 219 aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
140;Ausführungspläne für Putz- und Spritzputzarbeiten;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
150;Ausführungspläne für Rissinjektion gemäß ZTV-W LB 219;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
160;Ausführungspläne für Mauerwerksinjektion gemäß WTA Merkblatt 4-10-24 aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
170;Ausführungspläne für OS-Systeme gemäß ZTV-W LB 219 aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
180;Korrosionsschutzpläne für jede Baugruppe gemäß ZTV-W LB 218 aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
190;Schweißpläne gem. DIN EN 1090-2 für jede Baugruppe aufstellen und fortschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
200;Prüfanweisung/Schweißprüfpläne für die Schweißnahtprüfung;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
210;Gefälleplan für Entwässerung sämtlicher Bauteile und Aufbauschichten inkl. Drainage- und Entwässerungsleitungen forschreiben und dem AG 10 Werktage vor dem jeweiligen Ausführungsbeginn zur Abstimmung vorlegen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
220;Bestandsunterlagen aus den Ausführungszeichnungen/;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
230;Qualitätssicherungsplan für die Erst- oder Eignungs-;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
240;Dokumentation für Qualitätssicherung liefern.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
250;Die Baustelle ist vom AN bei den zuständigen Stellen der;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
260;Durchführung der Betonprüfungen entsprechend der Überwachungsklasse 2 einschl. Dokumentation für Qualitätssicherung liefern.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
270;Einholen sämtlicher Genehmigungen, es sei denn sie sind in einzelnen Positionen explizit mit aufgeführt, bei den zuständigen Behörden, die für die Durchführung der Bauarbeiten erforderlich sind.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
280;Erstellung und Übergabe eines Dokumentationsordners in zweifacher Ausführung (Papierausführung und digital als PDF auf Datenträger (USB-Stick)). Hierin sind als Druckexemplare sämtliche für die Maßnahme relevanten Dokumente anzuführen, mindestens jedoch:;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
10;Vorankündigung nach Baustellenverordnung Par. 2, Abs. 2;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
20;Fachbeitrag als Grundlage zur Erstellung des;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
10;Fotodokumentation aus digitalen Lichtbildern vom Bau-;1000,0;St;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
20;Zu Beginn der Baumaßnahme ist im Beisein des AG eine fotografische Dokumentation im Sinne einer Beweissicherung der durch den AN genutzten Flächen (Wege, Grünflächen, Bauwerke, etc.) zu erstellen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
30;Vorhandene Kabel und Leitungen im Baufeld sind in Höhe und;115,0;m;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
40;Zum Leistungsumfang dieser Position gehören alle zur;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
10;Baustelle für die vertragsgemäße Durchführung der;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
20;Baustelleneinrichtung vorhalten, unterhalten und be-;15,0;Mt;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
30;Baustelle räumen. Soweit nicht für bestimmte Leistungen;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
40;Einmalige und zeitunabhängige Gemeinkosten der Bau-;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
50;Zeitabhängige Gemeinkosten der Baustelle ausweisen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
60;Bauzaun einschl. der erforderlichen Tore und Pfosten;528,0;m;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
70;Bauzaun einschl. der Tore und Pfosten abbauen und;528,0;m;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
80;Baucontainer zur Nutzung durch den AG aufbauen und abbauen. Standplatz einschl. der erf. Einzelfundamente und Erdarbeiten anlegen und herrichten. Ver- und Entsorgungsanschlüsse herstellen, anschließen und nach Abschluss der Baumaßnahme zurückbauen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
90;Baucontainer für den AG mit allen Einrichtungen unterhalten und betreiben, wie z. B. mit Strom und Wasser versorgen und heizen. Ver- und Entsorgung sicherstellen. 2 mal wöchentlich reinigen. Zufahrt und befestigte Flächen unterhalten.;15,0;Mt;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
100;Anlage zur Erfassung, Förderung, Behandlung und Ein-;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
110;Längervorhaltung der erforderlichen Auffang- und;2,0;Wo;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
120;Anfallendes Wasser aus dem Abbruchvorgang (z.B. mit;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
130;Behandeltes, für den Abbruchvorgang nicht wiederver-;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
140;Einrichten, vorhalten und rückbauen einer Peripherie zur Beschickung/Versorgung der Materialeinbaustellen für die Umsetzung der Beton-/ Mörtel- und Putzarbeiten im Treppenhaus und Mittelbau mit entsprechendem Material u.a. über Leitungskonstruktionen, Pumpen etc.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
150;Intensive Reinigung der Baustelle sowie alle an das Baufeld angrenzende Geh- und Fahrwege (auch auf der Brücke) nach Beendigung der Instandsetzungsarbeiten. Die Reinigung beinhaltet alle Bauteile bzw. Bauteilbereiche und Ausrüstungen (bspw. Beleuchtung, Beschilderung) des Löwenkäfigs.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
160;Stillstand der Baustelle bei ungünstigen Witterungsbedingungen  in den Wintermonaten nach Rücksprache mit dem AG und Anweisung durch den AG.;14,0;d;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
170;Maßnahmen zur Einhaltung der Mindestfrischbetontemperatur;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
180;Maßnahmen zur Einhaltung der Frischbetontemperatur von;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
190;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von Mörtel / Spritzmörtel  (RM / SRM) gemäß ZTV-W LB219 bzw. Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Sommer nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
200;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von Mörtel / Spritzmörtel (RM / SRM) gemäß ZTV-W LB219 bzw. Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Winter nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
210;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von Putz / Spritzputz gem.  Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Sommer nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
220;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von Putz / Spritzputz gem.  Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Winter nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
230;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von OS-Systemen gemäß ZTV-W LB219 bzw. Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Sommer nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
240;Maßnahmen zur Einhaltung der zulässigen Luft- und Bauteiltemperatur bei der Applikation von OS-Systemen gemäß ZTV-W LB219 bzw. Herstellerangaben an der Einbaustelle herstellen, betreiben und entfernen. Maßnahmen zur Einhaltung der Grenztemperatur im Winter nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
250;Schutz bereits hergestellter Bereiche / Bauteile zur Vermeidung von Verschmutzung und Beschädigung während aller auszuführenden Arbeiten aufstellen, unterhalten und wieder abbauen. Ausführung nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
260;Schutzmaßnahmen für die verbleibenden Einbauten zur Vermeidung von Verschmutzung und Beschädigung während aller auszuführenden Arbeiten aufstellen, unterhalten und wieder abbauen. Ausführung nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
270;Schutzmaßnahmen für Brückengeländer inkl. Ansichtsflächen im Bereich des Treppenturms und Lastenaufzugs zur Vermeidung von Verschmutzung und Beschädigung während aller auszuführenden Arbeiten aufstellen, unterhalten und wieder abbauen. Ausführung nach Wahl des AN.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
280;Kabeltrassen und Kabel während der Baumaßnahme nach Wahl des AN vor Beschädigung, Verunreinigung u.dgl. sichern.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
290;Kabelkanäle / Schächte während der Baumaßnahme nach Wahl des AN vor Beschädigung, Verunreinigung u.dgl. sichern.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
300;Auf- und Abbau eines wirksamen Strahl- und;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
310;Auf- und Abbau eines wirksamen Strahl- und;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
10;Schwimmendes Gerät inkl. Arbeits- und Gerätearbeitsebene für das Ein- und Ausheben von Materialien und Geräten liefern und abtransportieren.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
20;Schwimmende Umschlags- / Lagerebene (Schute o.ä.) für das An- und Abfördern und (Zwischen-)Lagern von Materialien und Geräten liefern und abtransportieren.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
30;Übergangs-/Übergabekonstruktion auf dem Leitwerk als Stahlkonstruktion herstellen und nach Ende der Arbeiten wieder zurückbauen. Dimensionierung für die durch den AN vorgesehenen Belastungen. Sämtliche Schutzmaßnahmen und Absturzsicherungen für Arbeiten auf der Fläche sind einzukalkulieren.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
40;Übergangs-/Übergabekonstruktion auf Leitwerk vorhalten, unterhalten und betreiben.;15,0;Mt;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
50;Geeigneten mobilen Teleskopkran, inkl. Fahrer/Bedienpersonal auf einem ausgewiesenen Kranstellplatz/Übergabepunkt aufstellen und abfahren.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
60;Aufbauen und Abbauen einer Hebevorrichtung innerhalb des Mittelbaus und/oder Treppenhauses einschließlich Gründung/ Verankerung nach statischen, konstruktiven und sicherheitstechnischen Erfordernissen.;1,0;Psch;gaeb;Vergabeunterlagen/10_LV_Löwenkäfig_REV1.X83
