Pos.;Leistung;Menge;Einheit;Quelle;Datei
0001;Erstellen und Fortschreiben einer Abbruchkonzeption / Betriebsanweisung;1,0;psch;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0002;Einrichten, Vorhalten über die gesamte Bauzeit sowie;1,0;psch;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0003;Aufstellen, Vorhalten eines Rollgerüstes  über die;1,0;psch;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0004;Bauzaun aus mobilen Stahlrahmenelementen;50,0;m;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0005;Vorhaltung, auch für Folgegewerke, des vorgenannten Bauzaunes;600,0;mWo;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0006;Beantragung einer Sondernutzungserlaubnis für öffentlichen Verkehrsraum, inkl. Gebühr über die Bauzeit der Leistungen des AN.;1,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0007;Einholung und Abstimmung einer verkehrsrechtlichen Anordnung für die Arbeiten/Zufahrt im öffentlichen Verkehrsraum, inkl. Gebühr.;1,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0008;Verkehrszeichen aller Art aufstellen, vorhalten, umsetzen und abbauen. Die Verkehrssicherung hat nach verkehrsrechtlicher Anordnung zu erfolgen.;4,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0009;Absperrung quer zur Verkehrsrichtung aufstellen, vorhalten, umsetzen und abbauen.;12,0;m;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0010;Baustelle und alle zugehörigen Baustellenteile nach den Vorschriften der StVO mit den erforderlichen Verkehrs- und Hinweiszeichen, Schutz- und Sicherheitseinrichtungen (mind. Absperrgitter h=1,0m KST)  ausrüsten und kennzeichnen.;30,0;m;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0011;Warnleuchte, elektrisch, einschl. Installation, bestehend aus gelber Dauerleuchte mit Lichtquelle, aufstellen, betreiben, für die Dauer der vertraglichen Leistung vorhalten und beseitigen.;4,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0001;Bodenfliesen, einschl.;136,25;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0002;Sockelfliesen, einschl.;60,0;m;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0003;Abbruch von Zementestrichen, Unterbeton;3,656;m3;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0004;Wärmedämmung, Mineralwolle,;81,25;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0005;Sockelleiste aus Holz, profiliert und beschichet,;70,0;m;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0006;Bodenbelag, elastisch verklebt, inkl. armiertem Spachtel ausbauen und;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0007;Abbruch von Gußaspahltestrichen,;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0008;Trittschalldämmung, elastisch verklebt,;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0009;Wärmedämmung, Hartschaumplatten,;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0010;Bodenabdichtung aus Bitumenbahnen, einlagig, mechnanisch lösen und entsorgen.;501,25;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0011;Abbruch von Wandfliesen, im Dünnbett vermörtelt,;100,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0012;Abbruch von Wandfliesen, im Dünnbett vermörtelt,;80,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0013;Innentüren aus Holz, Spanplatten, bzw. Spanplatten kombiniert mit Schichtstoffen, einschl. Stahlzargen abbrechen und entsorgen, einschl. Transport zum Container, Abfuhr und Deponiegebühren.;10,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0014;Innenwand aus verputztem Mauerwerk abbrechen und Bauschutt entsorgen. Leistung einschl. der Abstütz- und Sicherungsmaßnahmen im Bauwerk.;17,98;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0015;Abschlagen von vorhandenem Innenwandputz an;50,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0016;Abbruch von Deckenbekleidungen, bestehend aus;81,25;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0017;Wandbekleidungen aus Holz (Verschalungen, Bekleidungen);165,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0018;Wandbekleidungen Gipskarton (Vorwände, Trockenputze), einschl. UK;73,5;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0019;Abbruch von Trennwänden ( Toilette );13,2;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0001;Sanitäraustattungen wie Waschbecken, WC, Urinale, etc. mit Zubehör ausbauen, abtransportieren und entsorgen inkl. Deponiegebühr;20,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0002;Sanitäraustattungen wie Abfalleimer, WC-Bürtsen, etc. mit Zubehör ausbauen, abtransportieren und entsorgen inkl. Deponiegebühr;20,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0003;Rückbau der Wasser- und Heizungsinstallationsleitungen einschl. Verteilung wie folgt:;560,63;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0004;Zulage Ausführung für Rückbau Heizungsinstallation an Hallendecke für Arbeits- und Schutzgerüste;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0005;Rückbau der Abwasserinstallationsleitungen wie folgt:;140,63;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0006;Hauptverteiler mit Zubehör ausbauen, Kabel und Leitungen abklemmen, auf der Baustelle zwischenlagern und entsorgen inkl. Deponie.;1,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0007;Unterverteiler mit Zubehör ausbauen, Kabel und Leitungen abklemmen, auf der Baustelle zwischenlagern und entsorgen inkl. Deponie.;3,0;St;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0008;Rückbau der Elektroanlage einschl.;560,63;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
0009;Zulage Ausführung für Rückbau Elt-Installation (ohne Leuchten) an Hallendecke;420,0;m2;gaeb;Vergabeunterlagen/16 LV_Los1_Abbruch.x83
