Pos.;Leistung;Menge;Einheit;Quelle;Datei
01.1;Baustelle einrichten und räumen;1,0;St;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.2;Abdeckung Fußboden m. Hartfaserplatten d=5mm;10,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.3;Abdeckung Fußboden m. Folie d=0,3mm;10,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.4;Abdeckung Fußboden m. Abdeckvlies, 280g/m2;200,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.5;Abdeckung Fußboden m. Abdeckvlies, 180g/m2;200,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.6;Staubschutzwänden, Folie + Holz-UK;30,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.7;Folientür in Staubschutzwand;5,0;St;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.8;TH01 u. TH02 - Treppengeländer mit Folie schützen;85,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.9;1OG, 2OG, 3OG - Küchenzeilen mit Folie staubdicht abkleben;60,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.10;Arbeitsgerüst als Innengerüst aufbauen, vorhalten u. abbauen;103,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.11;zulage zur vorh. Pos., für Ausführung letzter Treppenläufe;2,0;psch;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
01.12;Vorhalten des Innengerüstes, für jede weitere Woche;103,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.1;EG bis 3OG_Prüfung der Oberflächen auf Tragfähigkeit;1,0;psch;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.2;EG bis 3OG_Fenster und Türen mit Folie d=0,2mm abkleben, umlaufend;410,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.3;EG bis 3OG_Wände - Untergrundvorbereitung, Tapeten- u. Farbreste entfernen;3656,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.4;EG bis 3OG_Instal.-Schlitze mit GHP schließen, i.M. b/t=4/4cm, geglätt;165,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.5;EG bis 3OG_wie Pos. zuvor nur mit Zementspachtel;20,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.6;EG bis 3OG_Gipsputz auf Teilflächen, 1-lagig, IW, geglättet Q2;50,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.7;EG bis 3OG_Wände - Unebenheiten beispachteln - Wandflächen;3620,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.8;EG bis 3OG_Wände - Unebenheiten beispachteln im Bereich der Sockelleis;1481,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.9;EG bis 3OG_Wände - Untergrund mit Tiefgrund streichen;4070,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.10;EG bis 3OG_Wände - Raufasertapete, mittel, kleben / Dispersionskleber;4070,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.11;EG bis 3OG_Wände - Zwischen- und Schlussbeschichtung - Dispersionsfarb;4070,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.12;EG bis 3OG_Decken - Untergrund mit Tiefgrund streichen;1590,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.13;EG bis 3OG_Decken - Raufasertapete, mittel, kleben / Dispersionskleber;1590,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.14;EG bis 3OG_Decken - Zwischen- und Schlussbeschichtung - Dispersionsfar;1590,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.15;EG bis 3OG_Zulage für Laibungen/ Nischen von Fenstern und Türen;245,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.16;EG bis 3OG_Verfugung, elasto-plastisch;1860,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.17;EG bis 3OG_Heizungsrohre Überholungsanstrich, inkl. anschleifen;500,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.18;EG bis 3OG_PU-Verfugung, 10-30mm, inkl. PE-Füllschnur 20mm;10,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.19;EG bis 3OG_Wände - Zellstoff-Vlies, 120g, NAB-K1, kleben / Dispersions;20,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.20;EG bis 3OG_Wände - Betonkontakt für Teilflächen Gipsputz;10,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.21;EG bis 3OG_Einzelrisssanierung, in Putz Bestand, b=1-2mm;10,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.22;EG bis 3OG_Verunreinigungen, Staub u. losen Beton entfernen;5,0;St;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0201.23;EG bis 3OG_Betoninstandsetzung druch Reprofilierung, für Teilflächen:;5,0;St;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.1;EG bis 3OG_Flur-Wände - Prüfung der Oberflächen auf Tragfähigkeit;1,0;psch;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.2;EG bis 3OG_Flur-Wände - Altbeschichtung entfernen;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.3;EG bis 3OG_Flur-Wände - Leim- o. Binderfarbe abwaschen und entsorgen;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.4;EG bis 3OG_Flur-Wände - Eckschutz, (Außenecke), verzinktem Stahlblech,;30,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.5;EG bis 3OG_Flur-Wände - Aluminiumkantenschutz, (Außenecke);826,5;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.6;EG bis 3OG_Flur-Wände - Armierungsgewebe für Teilflächen;53,5;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.7;EG bis 3OG_Flur-Wände - Haftgrund, pigmentiert-wasserverdünnbar;5,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.8;EG bis 3OG_Flur-Wände - Putzfestiger, Grundierung, lösemittelhaltig;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.9;EG bis 3OG_Flur-Wände - Instal.-Schlitze mit GHP schließen, i.M. b/t=4;95,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.10;EG bis 3OG_wie Pos. zuvor nur mit Zementspachtel;20,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.11;EG bis 3OG_Flur-Wände - Unebenheiten beispachteln im Bereich der Socke;370,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.12;EG bis 3OG_Flur-Wände - vollflächige Verspachtelung, Q3;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.13;EG bis 3OG_Flur-Wände - Schleifen vertikal, fein, Spachtelung vorherig;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.14;EG bis 3OG_Flur-Wände - Untergrund mit Universalgrundierung streichen;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.15;EG bis 3OG_Flur-Wände - Glasgewebe verkleben mit Dispersionskleber;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.16;EG bis 3OG_Flur-Wände - Zwischen- und Schlussbeschichtung - Dispersion;1325,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.17;EG bis 3OG_Flur - Verfugung, elasto-plastisch, Acryl;985,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.18;EG bis 3OG_Flur - Kantenschutz Edelstahl, Winkel 25x25mm, h=1,20m;100,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.19;EG bis 3OG_Flur-Decke - Gipsputz auf Teilflächen, 1-lagig, IW, geglätt;1,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.20;EG bis 3OG_Flur-Decke - Teilflächen Verspachtelung,Dispersion, Q3;1,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.21;EG bis 3OG_Flur-Decke - Grundieranstrich / Haftgrund pigmentiert;1,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.22;EG bis 3OG_Flur-Decken - Untergrund mit Tiefgrund streichen;526,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.23;EG bis 3OG_Flur-Decken - Glasgewebe verkleben mit Dispersionskleber;526,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0202.24;EG bis 3OG_Flur-Decke - Zwischen- und Schlussbeschichtung - Dispersion;526,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.1;EG bis 3OG_Sanitärr. - Prüfung der Oberflächen auf Tragfähigkeit;1,0;psch;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.2;EG bis 3OG_Sanitärr. - Fenster und Türen mit Folie d=0,2mm abkleben, u;55,5;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.3;EG bis 3OG_Sanitärr. -  Tapete inkl. Beschichtung entfernen u. entsorg;152,0;m2;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.4;EG bis 3OG_Sanitärr. -  Instal.-Schlitze mit GHP schließen, i.M. b/t=4;52,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.5;EG bis 3OG_Sanitärr. - Gipsputz auf Teilflächen, 1-lagig, IW, geglätte;81,0;m2;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.6;EG bis 3OG_Sanitärr. - Wände - Untergrund mit Tiefgrund streichen, 2x;184,5;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.7;EG bis 3OG_Sanitärr. - Wände - Vollflächige Verspachtelung,Dispersion,;81,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.8;EG bis 3OG_Sanitärr. - Wände - Glasgewebe verkleben mit Dispersionskle;156,5;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.9;EG bis 3OG_Sanitärr. - Wände - Zwischen- und Schlussbeschichtung - Dis;156,5;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.10;EG bis 3OG_Sanitärr. - Zulage für Laibungen/ Nischen von Fenstern und;31,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.11;EG bis 3OG_Sanitärr. - Heizungsrohre Überholungsanstrich, inkl. anschl;61,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0203.12;EG bis 3OG_Sanitärr. - Verfugung, elasto-plastisch;204,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.1;TH01_Prüfung der Oberflächen auf Tragfähigkeit;1,0;psch;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.2;TH01_Fenster, Türen mit Folie d=0,2mm abkleben, umlaufend, einseitig;80,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.3;TH01-Wände - Altbeschichtung entfernen;200,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.4;TH01_Wände - Leim- o. Binderfarbe abwaschen und entsorgen;200,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.5;TH01_Treppen - nicht tragfähige Beschichtung durch Abbeizen entfernen;73,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.6;TH01_Treppen - Leim- o. Binderfarbe abwaschen und entsorgen;73,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.7;TH01_Treppen - Instal.-Schlitze mit GHP schließen, i.M. b/t=4/4cm, geg;30,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.8;TH01_Treppen - wie Pos. zuvor nur mit Zementspachtel;30,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.9;TH01_Wände, Treppen - Aluminiumkantenschutz, (Außenecke) mit Dispersio;125,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.10;TH01_Wände, Treppen - Haftgrund, pigmentiert-wasserverdünnbar;20,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.11;TH01_Wände, Treppen - Putzfestiger, Grundierung, lösemittelhaltig;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.12;TH01_Wände, Treppen - Vollflächige Verspachtelung,Dispersion, Q3;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.13;TH01_Wände, Treppen - Schleifen vertikal, fein, Spachtelung vorherige;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.14;TH01_Wände, Treppen - Untergrund mit Universalgrundierung streichen;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.15;TH01_Wände, Treppen - Glasgewebe verkleben mit Dispersionskleber;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.16;TH01_Wände, Treppen - Zwischen- und Schlussbeschichtung - Dispersionsf;273,0;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.17;TH01_Decke - Grundieranstrich / Haftgrund pigmentiert;17,8;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.18;TH01_Decke - Glasgewebe verkleben mit Dispersionskleber;17,8;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.19;TH01_Decke - Zwischen- und Schlussbeschichtung - Dispersionsfarbe, mat;17,8;m²;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.20;TH01_Decke - Verfugung, elasto-plastisch, Acryl;150,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
0301.21;TH01_Kantenschutz Edelstahl, Winkel 25x25mm, h=1,20m;20,0;m;gaeb-flat;Vergabeunterlagen/LV MLB-2026-0321.D83
