Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Untergrundvorbehandlung: Untergrund auf Eignung, Trag-;550,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
2;Untergrundvorbehandlung: Untergrund auf Eignung, Trag-;530,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
3;Dispersionsfarbe wie vor beschrieben einschie;20,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
4;Untergrundvorbehandlung: Untergrund auf Eignung, Trag-;180,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
5;Zulagepreis f;300,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
6;Zulagepreis f;200,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
7;Absetzen eines farbigen Striches oberhalb eines abgesetzten Sockels als Begleitstrich;150,0;m;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
8;Absetzen eines farbigen Bandes auf einer Wand mit Grundfarbe;150,0;m;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
1;Ausbesserung von Untergrundsch;200,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
2;Grundanstrich mit Dispersionsfarbe, Schlussanstrich mit Dispersionsfarbe;200,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
1;Spachtelung von Bestandsw;10,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
2;Spachtelung von Bestandsw;80,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
3;Untergrundvorbehandlung: Untergrund auf Eignung, Trag- und Haftf;25,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
4;Untergrundvorbehandlung: Untergrund auf Eignung, Trag- sowie Haftf;25,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
5;Tapezierung: Raufaser auf Sto;25,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
6;vorh. Rauhfasertapete mit Sch;5,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
7;Untergrundvorbehandlung: Untergrund auf Eignung, Trag- und Haftf;5,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
8;Untergrundvorbehandlung: Untergrund auf Eignung, Trag- sowie Haftf;5,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
9;Tapezierung: Raufaser auf Sto;5,0;m²;gaeb;Vergabeunterlagen/02 LV_GAEB/02_2__014.X83
