Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.10;Baustelle einrichten aller Abschnitte*Fläche des AG Zufahrt vorhanden*Vers.d.AN Vorh.+Betr.ges.;1,0;Psch;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.1.20;Baust.einrichtung vorh.u.betreiben;1,0;Psch;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.1.30;Baustelle räumen und einrichten (Umzug);1,0;Psch;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.1.40;Baust.einrichtung vorh.u.betreiben;1,0;Psch;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.1.50;Baustelle räumen aller Abschnitte;1,0;Psch;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.2.10;Bohrschablone herstellen;1,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.2.20;Schachtabdeckung herstellen;12,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.10;Bohrung für Stabanker herstellen ... Freitext ...*bis 20 kg/m3 ... Freitext ...*Diamantbohrkrone ... Freitext ...*... Freitext ...;36,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.20;Bohrungen für Träger/ sonst. ausf. Tragelement*... Freitext ... ... Freitext ...*Endt. bis 10m ... Freitext ...*... Freitext ... vertikal;155,0;m;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.30;Bohrungen für Träger/ sonst. ausf. Tragelement*... Freitext ... ... Freitext ...*Endt. bis 10m ... Freitext ...*... Freitext ... vertikal;54,0;m;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.40;Bohrung für Stabanker herstellen ... Freitext ...*bis 20 kg/m3 ... Freitext ...*Schlagbohrverf. ... Freitext ...*... Freitext ...;4,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.50;Bohrloch herstellen;4,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.60;Bohrloch herstellen Fundament*... Freitext ... 0-10 Gon steig.*Tiefe 0,3-0,6 m DU = 40 - 50 mm;2,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.70;Stabanker einbauen ... Freitext ...*... Freitext ... ... Freitext ...*... Freitext ... ... Freitext ...*Vergussmörtel;18,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.80;Stabanker einbauen;18,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.90;Stabanker einbauen;4,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.100;Ankerplatte mit Anschlußrohr herstellen;36,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.110;Stabanker-Verspannung herstellen;36,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.120;Zugversuch an Anker durchführen Bauwerk*... Freitext ... ... Freitext ...;36,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.130;Stabanker-Abdeckung herstellen;36,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.140;Stabanker-Abschluss herstellen;4,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.150;Bohrloch herstellen ... Freitext ...*Stahlbeton ... Freitext ...*... Freitext ... ... Freitext ...;12,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
1.3.160;Verbundanker herstellen ... Freitext ...*Stahlbeton ... Freitext ...*... Freitext ... Mit Bohrloch*... Freitext ...;12,0;St;gaeb-flat;Vergabeunterlagen/05 LV GAEB 90.D83
