Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Frontpassstück;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
20;Unterschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
30;Unterschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
40;Front;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
50;Spülenunterschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
60;Unterschrank für Kühlschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
70;Frontpassstück;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
80;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
90;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
100;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
110;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
120;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
130;Oberschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
140;Sockelblende;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
150;Arbeitsplatte 38 mm;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
160;Wandpaneel;3,55;m;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
10;Kochfeld 2 Platten;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
20;Mikrowelle;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
30;Einbau-Kühlschrank;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
40;Geschirrspüler;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
50;Einbauspüle;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
60;Küchenarmatur;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
70;Besteckeinsatz 60 cm;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
80;Unterbauleuchte Küche LED;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
10;Werk- und Montageplanung;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
20;Inbetriebnahme des Gesamtsystems;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
30;Dokumentation als Ringordner mit folgenden Inhalten:;2,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
40;Übergabe und Einweisung;1,0;Stk;gaeb;Vergabeunterlagen/LV NLB-2026-0318.X83
