Pos.;Leistung;Menge;Einheit;Quelle;Datei
01.1;Baustelleneinrichtung und Räumung;1,0;psch;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
01.2;Bauzaun, Stahlrahmen (mobil), h=2,00 m;20,0;m;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
01.3;Chemie-Toilette;1,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
01.4;Geotextil als Schutzflies;120,0;m2;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
01.5;Hinweisbeschilderung aller Art bis ca. DINA3;6,0;St.;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
02.1;Standgerüst, LK 3,SW06/2,50,längsorient.;2090,0;m²;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
02.2;Gerüsttreppenturm 0,64 m, Treppenklasse A;1,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
02.3;Überbrückung Brückenträger;2,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.1;Rückbauarbeiten Fenster 1,33/2,35;17,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.2;Rückbauarbeiten Fenster 1,36/2,35;12,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.3;Rückbauarbeiten Fenster 2,50/2,35;8,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.4;Rückbauarbeiten Fenster 1,30/2,35;2,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.5;Rückbauarbeiten Fenster 1,33/2,25;36,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.6;Rückbauarbeiten Fenster 1,15/2,25;41,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.7;Holzfenster 1,33 x 2,35 m;18,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.8;Holzfenster 1,36 x 2,35 m;13,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.9;Holzfenster 2,50 x 2,35 m;8,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.10;Holzfenster 1,30 x 2,35 m;2,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.11;Holzfenster 1,33 x 2,25 m;36,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.12;Holzfenster 1,15 x 2,25 m;41,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.13;Zulage Holzfenster;1,0;St;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
03.14;Fensterbank, MDF, kunststoffbeschichtet;165,0;m;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
04.1;Bauteile abdecken/abkleben, Folie;240,0;m²;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
04.2;Fensterleibungen innen beiputzen;695,0;m;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
04.3;Beschichtung scheuerbeständig, Dispersion;695,0;m;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
05.1;Stundenlohn für Facharbeiter;8,0;h;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
05.2;Stundenlohn für Helfer;8,0;h;gaeb-flat;Vergabeunterlagen/13.07.2026_Fenster.D83
1;Einrichten, Vorhalten über die gesamte Bauzeit sowie;1,0;psch;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
2;Bauzaun aus mobilen Stahlrahmenelementen mit;20,0;m;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
3;"Toilettenkabine, chemisch, mobil, ohne Kanalanschluss;";1,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
4;Geotextil als Flies zum Schutz von bestehenden;120,0;m2;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
5;Wegweiser- und Hinweisschilder aller Art anfertigen,;6,0;St.;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
1;Arbeits- und Schutzgerüst nach DIN EN 12811-1 als Stand­gerüst, längs­orien­tiert (Fas­sa­den­gerüst nach DIN EN 12810-1), mit Bord­brett, Zwi­schen­seiten­schutz und Ge­länder­holm und Seiten­schutz für Putz­ar­beiten), für senk­rech­te Außen­flächen. Be­festi­gung mit Gerüst­ankern, mit Be­klei­du;2090,0;m²;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
2;Gerüsttreppenturm nach DIN EN 12811-1;1,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
3;Überbrückung von Durchfahrten, Eingängen, nicht;2,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
1;Fenster aus Holz ausbauen, inklusive:;17,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
2;Fenster aus Holz ausbauen, inklusive:;12,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
3;Fenster aus Holz ausbauen, inklusive:;8,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
4;Fenster aus Holz ausbauen, inklusive:;2,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
5;Fenster aus Holz ausbauen, inklusive:;36,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
6;Fenster aus Holz ausbauen, inklusive:;41,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
7;Holzfenster, mit Oberlicht Rundbogen, Rahmen und Glashalteleiste aus Kiefer, Holzgüte für deckende Beschichtung, Profile und Holzdicken DIN 68121, dickenverleimt, Flügel nach innen öffnend,;18,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
8;Holzfenster, mit Oberlicht Rundbogen, Rahmen und Glashalteleiste aus Kiefer, Holzgüte für deckende Beschichtung, Profile und Holzdicken DIN 68121, dickenverleimt, Flügel nach innen öffnend,;13,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
9;Holzfenster, mit Oberlicht Korbbogen, Rahmen und Glashalteleiste aus Kiefer, Holzgüte für deckende Beschichtung, Profile und Holzdicken DIN 68121, dickenverleimt, Flügel nach innen öffnend,;8,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
10;Holzfenster, mit Oberlicht, Rahmen und Glashalteleiste;2,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
11;Holzfenster, mit Oberlicht, Rahmen und Glashalteleiste;36,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
12;Holzfenster, mit Oberlicht, Rahmen und Glashalteleiste;41,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
13;Zulage für die Ausführung der;1,0;St;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
14;Fensterbank aus MDF, Vorderkante abgerundet, Eckausbildung rechtwinklig gefasst, Sichtflächen und Oberfläche kunststoffbeschichtet, Sichtkanten;165,0;m;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
1;Staub- und schmutzempfindliche Gegenstände wie Fenster,;240,0;m²;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
2;Fensterleibungen nach Einbau der Elemente nachträglich einputzen, einlagig, senkrechte und waagerechte Flächen, Putz an Bestandsflächen angleichen und glatt spachteln.;695,0;m;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
3;Leibungen volldeckend mit einer Zwischen- und einer;695,0;m;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
1;Für evtl. erforderliche Arbeiten, die nicht im;8,0;h;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
2;Für evtl. erforderliche Arbeiten, die nicht im;8,0;h;gaeb;Vergabeunterlagen/13.07.2026_Fenster.X83
