Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Laufschienenanlage,;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
20;Gleitregal für Akten;2,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
30;Gleitregal für Histo-Eimer;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
40;Gleitregal für Histo-Dosen;2,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
50;Endregal für Histo-Dosen;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
60;Zulage für die Ausstatung aller vorgenannten Regale mit einer Frontblende, pulverbeschichtet;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
10;Technische Vorklärung inkl. Bemusterung;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
20;Zusammenfassung der Ergebnisse der Technischen Vorklärung:;1,0;Stck;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
30;Für vom AG genehmigte Leistungen auf Zeitnachweis werden berechnet für:;5,0;h;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
40;Für vom AG genehmigte Leistungen auf Zeitnachweis werden berechnet für:;5,0;h;gaeb;Vergabeunterlagen/LV_SLB-2026-0333.X83
