Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Demontage Sicherheitsbeleuchtungszentrale und Komponenten im Stahlblechschrankstandschrank nach Baufortschritt. Demontage des Standschrankes 600x400x2100mm.;2,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
20;Entsorgung der alten Sicherheitsbeleuchtungszentrale sowie deren Komponenten aus vorheriger Position, erbringen Entsorgungsnachweis.;2,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
30;Abbruch stationäre Batterie, geschlossen, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;36,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
40;Batterien und Akkumulatoren,;360,0;kg;gaeb;Vergabeunterlagen/LV/1840-26.X83
50;Demontage Batterienschrank. Demontage des Standschrankes 800x800x2100mm.;2,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
60;Entsorgung der Batterienschrank aus vorheriger Position, erbringen Entsorgungsnachweis.;2,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
70;Abbruch Anbauleuchte, Gehäuse aus Kunststoff, für Decke, Wand, Bauform rechteckig, einschl. einem Leuchtmittel, im Rahmen einer Teilabbruchmaßnahme, nicht schadstoffbelastet,;260,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
80;Abbruch Niederdruck-Entladungslampe, mit Stiftsockel,;260,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
90;Abfälle aus elektrischen und elektronischen Geräten,;0,78;t;gaeb;Vergabeunterlagen/LV/1840-26.X83
100;Siedlungsabfälle, getrennt gesammelte Fraktionen,;50,0;kg;gaeb;Vergabeunterlagen/LV/1840-26.X83
110;Abbruch Niederspannungskabel, Kabelleiter aus Kupfer, Leiterquerschnitt 1,5 mm2,;4500,0;m;gaeb;Vergabeunterlagen/LV/1840-26.X83
120;Abbruch des Installationsrohres aus Kunststoff, Außendurchmesser 20 mm, im Rahmen einer Totalabbruchmaßnahme, nicht schadstoffbelastet,;400,0;m;gaeb;Vergabeunterlagen/LV/1840-26.X83
10;Zentrales Stromversorgungssystem ohne Leistungsbegrenzung (CPS) DIN EN 50171 (VDE 0558-508) für Sicherheitsbeleuchtungsanlage,;1,0;St;gaeb;Vergabeunterlagen/LV/1840-26.X83
