Pos.;Leistung;Menge;Einheit;Quelle;Datei
01.001;Staubschutzwand;20,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.002;90° Ecke;8,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.003;Planen als Staubschutz;100,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.004;Reißverschlusstür 1,00 x 2,00;4,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.005;Möbel schützen;100,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.006;Fußboden schützen, Vlies;570,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.007;Fußboden schützen, Platten;220,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.008;Fußböden schützen, Abdeckkarton;420,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.009;Treppenstufen schützen;55,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.010;Treppengeländer abkleben;15,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.011;Abkleben von Fenstern/ Türen;400,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.012;Abkleben von Wänden und Gegenstände;200,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.013;Schutz von Kanälen, 25;60,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.014;Schutz von Kanälen, 40;30,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.015;Abbruch/Entsorgung Wandfliesen;36,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.016;Abbruch/Entsorgung Trockenbauwände, bis 15cm;40,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.017;Schneidearbeiten Trockenbauwände;15,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.018;Handlauf Treppe KG demontieren, entsorgen;3,4;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.019;Abbruch/Entsorgung Sockelfliesen;10,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.020;Abbruch/Entsorgung Wandfliesen;5,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
01.021;Abbruch/Entsorgung Innentüren, 2-flg.;3,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.001;Metallständerwand 12,5 cm;60,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.002;Metallständerwand 12,5 cm, Kleinflächen;3,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.003;Gewebe, Rissüberbrückung;10,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.004;Wandverjüngung;3,2;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.005;Türöffnungen 88,5/201;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.006;Türöffnungen 101/201;1,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.007;Türöffnungen 126/201;1,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.008;UA-Profile;15,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.009;Holzschichtplatten;5,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.010;Wandanschlüsse;20,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.011;Anschluss oben;20,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.012;Metallständerwand 12,5 cm, F30;5,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.013;Türöffnungen 88,5/201;1,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.014;Wandanschlüsse, F30;7,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.015;Anschluss oben, F30;1,3;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.016;Dosen/Schalter, F30;4,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.017;Verkofferungen, senkrecht,  2-seitig;20,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.018;Verkofferungen, senkrecht 3-seitig;6,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.019;Installationskanal, I 30, 2-seitig, 150/200 mm;3,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.020;Trockenputz, GKB, 12,5 mm;15,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.021;Trockenputz Öffnungsleibungen;22,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.022;Dämmung Innenwand;230,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.023;Vorsatzschale, Holzständerwerk;360,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.024;zementgebunde Bauplatte;70,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.025;Anarbeiten an Türöffnungen;40,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.026;Freies Wandende;50,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.027;Eckausbildung 90°, Innenecke;69,87;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.028;Eckausbildung 90°, Außenecke;60,79;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.029;Dosen/Schalter;25,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.030;Rohrdurchführungen;30,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.031;Holzschichtplatte;45,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.032;Schachtwand F 30;20,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.033;Feuerschutzplatte als Deckenbekleidung;680,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.034;Rasterdecke;215,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.035;Wandwinkel;175,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.036;Deckenknick 90°;6,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.037;Rasterdecke, Feuchtraum;62,0;m²;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.038;Wandwinkel, Feuchtraum;80,0;m;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.039;Anarbeiten an Verkofferung, 2-seitig;2,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.040;Aussparungen Decken, rund Dm 150-200;30,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
02.041;Verstärkung für Einbauteile;5,0;Stk;gaeb-flat;Vergabeunterlagen/LV/2026-07-22_LV Los 09 Trockenbau- und Malerarbeiten_ks.D83
