Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Einrichten und Räumen der Baustelle, Vorhalten und Räumen der Baustelleneinrichtung für sämtliche in der Leistungsbeschreibung aufgeführten Leistungen.;1,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
2;Dem Auftragnehmer wird nach der Auftragserteilung die Ausfüh-rungsplanung des Planers übergeben.;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
3;Stundenlohnarbeiten nach gesonderter Aufforderung und Bestätigung durch die Bauleitung. Die Abrechnung zum Einzelnachweis ist nur mit Vorlage des durch die Bauleitung bestätigten Stundenzettels möglich.;14,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
4;Stunden-Zuschläge für Arbeiten außerhalb der Regelarbeitszeit;8,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
5;Leistung wie Pos. 3 , jedoch für einen Helfer;10,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
6;Stunden-Zuschläge für Arbeiten außerhalb der Regelarbeitszeit;6,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
7;Material zum Einzelnachweis aus den vorbeschriebenen Positionen mit einem vorläufig kalkulierten Gesamtwert;1,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
8;Alle Kosten für An-/Abfahrten und Transporte zur;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
1;Wartung der Fenster mit einfachen Tätigkeiten;2,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
2;Ausführung wie Pos. 1, jedoch als Fenster mit Dreh-/Dreh-/Drehflügel ohne Kurbel-Drehkippbeschlag;2,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
3;Ausführung wie Pos. 1 ,;1,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
4;Ausbau + Sicherung von Beschlagteilen an auszubauenden Fenstern zur Übergabe an den Eigentümer zwecks Wieder-verwendung bei defekten Teilen von noch bestehenden Fenstern im Objekt;2,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
5;Fensterbeschlag-Getriebe an vorh. Holzfenster mit Alu-Deckschale erneuern;1,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
6;Demontage des Bestandes, bestehend aus Aufnahmebuchse und Vierkantstift, einschl. Entsorgung;9,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
1;Die Holzfenster mit Alu-Deckschale sowie sonstige Bauteile sind im Rahmen eines optimierten produktspezifischen Recyclingprozesses (A/U/F oder gleichwertig) zu verwerten.;274,0;m2;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
2;Holzfenster 6-tlg. mit Alu-Deckschale herstellen, liefern und einbauen, Fenstergröße 3.200 x 2.340 mm (BxH);35,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
3;Holzfenster 4-tlg. mit Alu-Deckschale wie vor beschrieben, jedoch Fenstergröße 1.900 x 2.340 mm (BxH);2,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
4;Holzfenster 2-tlg. mit Alu-Deckschale wie vor beschrieben, jedoch Fenstergröße 1.050 x 2.340 mm (BxH);1,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
5;Lieferung und Montage eines Fenstergriffes mit Rastung auf ovaler Rosette;110,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
6;Aufpreis für Fenstergriff aus Pos. 5 bei abschließbarer Ausführung;110,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
7;Mehrkosten bei Ausführung von Fenstern an der Ost-/Süd-und Westfassade mit einem Sonnenschutz-3-fach-Glas;98,0;m2;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
8;Zulage für Fensterverglasung in Satino, matt;20,0;m2;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
9;Ausbau Innenfensterbank, bestehend aus Natur-/Werkstein,;10,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
10;Fensterbank aus Natur-/Werkstein, passend zum Bestand;10,0;lfdm;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
11;"Vorhandenes Blendschutzrolle mit Kassette und Führungs-schienen, innenseitig auf dem Fensterflügelholz montiert, demontieren und dem AG zur Einlagerung übergeben;";18,0;Stck;gaeb;Vergabeunterlagen/Version 1/26-08-06_ AA Hamburg Fenster-Verglasung 172473-002.x83
