Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
20;Die Baustelle von allen Geräten, Anlagen, Einrichtungen;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
30;Bauzaun aus mobilen Stahlrahmenelementen mit Rundstahlfüllstäben,;20,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
40;Bauzaun, auf unbefestigtem Untergrund, Zaunoberkante über;50,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
50;Tor, verschließbar, zweiflügelig, passend zu o.g. Bau­zaun, einschl.;1,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
60;Beantragung Schachtscheinverfahren;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
70;Überfahrschutz für Rohrgräben, Kabelkanäle, Gehwege,;10,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
80;Beweisaufnahme vorhandener Gebäude, Straßen-, Wege,;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
90;Kameraüberwachung der Baustelle über gesamte Bauzeit;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
10;Vermessung vorgefundenes Urgeländes der Oberflächenhöhen,;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
20;Bauschild als große stabile Plane am Bauzaun zu befestigen:;3,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
30;Bauabsteckung entsprechend Ausführungsplanung;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
40;Es ist eine vollständige Abnahmedokumentation in;1,0;psch;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
50;Erläuterungstafel für Fördermittelvorhaben;1,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
10;Die Zufahrt zur Baustelle erfolgt über eine zu erstellende Baustraße.;70,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
20;Schild mit Verkehrszeichen nach StVO, Verkehrszeichen der Größe II,;2,0;St;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
10;Gehweg- und Flächenbefestigung aller Art, ungebundene Bauweise,;20,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
20;Flächenbefestigung aus Betonsteinpflaster aufnehmen und lagern,;20,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
30;wie Pos. zuvor jedoch;15,0;m2;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
40;Bordsteine verschiedener Bauart;15,0;m;gaeb;Vergabeunterlagen/LV + Baubeschreibung/LV_Los4-Freianlagen_20.07.26.x83
