Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Sämtliche Leistungen der Baustelleinrichtung, welche nach DIN 18299 (VOB Teil C: ATV, Allg. Regelungen für;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Lieferung;4,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
20;Einbau/ Montage/ Abdichtung;4,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
30;Lieferung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
40;Einbau/ Montage/ Abdichtung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
50;Lieferung;3,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
60;Einbau/ Montage/ Abdichtung;3,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
70;Lieferung;2,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
80;Einbau/ Montage/ Abdichtung;2,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
90;Basis-Raffstoren mit randgebördelten Lamellen und Seilführung für vor beschriebenes Fenster inkl. Raffstoreblende ähnlich Bestand, inkl. aller notwendiger Bauteile, auch wenn nachfolgende nicht explizit erwähnt.;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
100;Lieferung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
110;Einbau/ Montage/ Abdichtung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
120;Lieferung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
130;Einbau/ Montage/ Abdichtung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
140;Basis-Raffstoren mit randgebördelten Lamellen und Schienenführung für vor beschriebenes Fenster mit Raffstoreaufsatzkasten inkl. aller notwendiger Bauteile, auch wenn nachfolgende nicht explizit erwähnt.;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
150;Lieferung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
160;Einbau/ Montage/ Abdichtung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
170;Lieferung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
180;Einbau/ Montage/ Abdichtung;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Fensterbank innen Holzwerkstoff/ Schichtstoff;18,0;m;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
20;Seitliche Schnittkantenabdeckung der Innenfensterbänke;14,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
30;nachträglich auszuführende Einschnitte in die Fensterbänke;14,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
40;Fensterbank aus Naturwerkstein, einteilig oder technisch beding zweiteilig,;3,3;m;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Liefern und fachgerecht montieren einer einflügeligen Aluminium-Rohrrahmentüranlage;4,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Innentüren aus Holz mit Stahl-Umfassungszarge;2,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
20;Innentür wie vor beschrieben,;2,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
30;Innentür wie vor beschrieben,;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
40;"Wandtürstopper ""Bumsinchen""";11,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Austausch von Türgarnituren bei Bürotüren;15,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
10;Vor Abnahme der kompletten Leistung ist dem AG eine Dokumentation;1,0;St;gaeb;Vergabeunterlagen/LV MLB-2026-0325.X83
